CODI_DIVISIO_TERRITORIAL;MES_DEFUNCIO;NRE_HOMES;NRE_DONES
D-01;01;5;2
D-01;02;0;2
D-01;03;4;0
D-01;04;0;4
D-01;05;3;0
D-01;06;2;4
D-01;07;0;2
D-01;08;0;2
D-01;09;1;2
D-01;10;2;4
D-01;11;2;3
D-01;12;3;2
D-02;01;6;1
D-02;02;4;4
D-02;03;2;6
D-02;04;1;10
D-02;05;2;3
D-02;06;5;6
D-02;07;4;3
D-02;08;3;2
D-02;09;6;2
D-02;10;2;4
D-02;11;4;5
D-02;12;5;3
D-03;01;4;3
D-03;02;6;2
D-03;03;4;4
D-03;04;2;0
D-03;05;1;2
D-03;06;1;2
D-03;07;2;2
D-03;08;2;3
D-03;09;2;2
D-03;10;2;0
D-03;11;6;2
D-03;12;4;1
D-04;01;4;5
D-04;02;1;4
D-04;03;1;1
D-04;04;1;0
D-04;05;1;0
D-04;06;5;1
D-04;07;3;1
D-04;08;1;1
D-04;09;1;1
D-04;10;1;2
D-04;11;0;3
D-04;12;1;1
D-05;01;0;5
D-05;02;3;0
D-05;03;2;2
D-05;04;1;0
D-05;06;0;1
D-05;07;1;0
D-05;09;1;0
D-05;12;2;2
D-06;01;1;3
D-06;02;2;1
D-06;03;1;1
D-06;04;2;2
D-06;05;0;2
D-06;06;2;1
D-06;07;1;0
D-06;09;1;0
D-06;10;5;1
D-06;11;1;3
D-07;01;0;1
D-07;02;1;0
D-07;03;1;1
D-07;05;0;1
D-07;07;1;0
D-07;08;0;1
D-07;09;2;0
D-07;11;1;0
D-07;12;0;1
