X,Y,OBJECTID_1,COL_LEGI_E,ADREçA_ENT,CENS,VOTS,EN_BLANC,NULS,JxSi,C_s,PSC,CUP,PP,CatSiquees,Unió,PACMA,RECORTES_C,operacions,Participa,dividcent,divi_cent,Parti_tot
2.284157255062185,41.999117426386732,1,El Carme,C. Bisbe Morgades 3,2006,1631,5,3,1146,103,81,153,45,42,50,0,3,1631,81.31,16.31,,78.73
2.283672434191684,42.001126926870647,2,Can Puget,Pl. de Dalt Vila 3,780,630,2,3,436,50,28,61,16,17,15,1,1,630,80.77,6.3,,78.73
2.274539756435101,42.001482789913602,3,Casals Gràcia,C. Roca 2 / C. Voltregà 101,3443,2723,13,7,1596,356,252,195,122,114,57,8,3,2723,79.09,27.23,,78.73
2.284676718700046,42.005356600234776,4,Puig-Agut,C. Pintor Guàrdia 8 / C. Bellfort 12,4709,3593,34,14,1739,569,429,229,275,224,61,13,6,3593,76.3,35.93,,78.73
2.297221596944583,42.003058239232679,5,Pompeu Fabra,C. Pompeu Fabra 38,1998,1608,9,2,1114,137,61,145,59,49,26,5,1,1608,80.48,16.08,,78.73
