OBJECTID,Campanya,Provincia,Comarca,Municipi,ID_MUN,Grup,Cultiu,Seca_Regad,HA
1,2015,Barcelona,Osona,GURB,08099,CEREALS,BLAT TOU,S,861.313
2,2015,Barcelona,Osona,GURB,08099,CEREALS,ORDI,S,616.0867
3,2015,Barcelona,Osona,GURB,08099,FARRATGERES,PASTURES DE MENYS DE 5 ANYS,S,39.4227
4,2015,Barcelona,Osona,MANLLEU,08111,FARRATGERES,ALFALS,R,8.7305
5,2015,Barcelona,Osona,MANLLEU,08111,BLAT DE MORO,BLAT DE MORO,R,12.315
6,2015,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,R,12.744
7,2015,Barcelona,Osona,MANLLEU,08111,CEREALS,CIVADA,R,6.6055
8,2015,Barcelona,Osona,MANLLEU,08111,GUARET,GUARET SIE/ SUP. LLIURE SEMBRA,R,2.0849
9,2015,Barcelona,Osona,MANLLEU,08111,HORTICOLES,HORTA,R,3.8649
10,2015,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,R,27.9058
11,2015,Barcelona,Osona,MANLLEU,08111,PROTEAGINOSES,PESOLS,R,4.2782
12,2015,Barcelona,Osona,MANLLEU,08111,FARRATGERES,RAY-GRASS,R,5.7189
13,2015,Barcelona,Osona,MANLLEU,08111,FARRATGERES,ALFALS,S,11.1404
14,2015,Barcelona,Osona,MANLLEU,08111,BLAT DE MORO,BLAT DE MORO,S,44.4911
15,2015,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,236.2258
16,2015,Barcelona,Osona,MANLLEU,08111,CEREALS,CIVADA,S,12.8705
17,2015,Barcelona,Osona,MANLLEU,08111,OLEAGINOSES,COLZA,S,6.2144
18,2015,Barcelona,Osona,MANLLEU,08111,PROTEAGINOSES,FAVES I FAVONS,S,1.4806
19,2015,Barcelona,Osona,MANLLEU,08111,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,S,1.4968
20,2015,Barcelona,Osona,MANLLEU,08111,GUARET,GUARET SIE/ SUP. LLIURE SEMBRA,S,10.75
21,2015,Barcelona,Osona,MANLLEU,08111,HORTICOLES,HORTA,S,0.3116
22,2015,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,S,211.8171
23,2015,Barcelona,Osona,MANLLEU,08111,FARRATGERES,PASTURES DE MENYS DE 5 ANYS,S,17.365
24,2015,Barcelona,Osona,MANLLEU,08111,HORTICOLES,PATATA,S,1.1743
25,2015,Barcelona,Osona,MANLLEU,08111,PROTEAGINOSES,PESOLS,S,14.6928
26,2015,Barcelona,Osona,MANLLEU,08111,FARRATGERES,RAY-GRASS,S,83.0547
27,2015,Barcelona,Osona,MANLLEU,08111,CEREALS,SORGO,S,4.173
28,2015,Barcelona,Osona,MANLLEU,08111,FARRATGERES,TREPADELLA,S,0.2687
29,2015,Barcelona,Osona,MANLLEU,08111,CEREALS,TRITICALE,S,19.7315
30,2015,Barcelona,Osona,MANLLEU,08111,ALTRES USOS,VECA I CIVADA,S,10.5936
31,2015,Barcelona,Osona,MANLLEU,08111,LLEGUMINOSES,VECES,S,8.4104
32,2015,Barcelona,Osona,MASIES DE RODA (LES),08115,OLEAGINOSES,COLZA,R,7.0699
33,2015,Barcelona,Osona,MASIES DE RODA (LES),08115,CEREALS,BLAT TOU,S,86.2575
34,2015,Barcelona,Osona,MASIES DE RODA (LES),08115,PROTEAGINOSES,FAVES I FAVONS,S,0.2168
35,2015,Barcelona,Osona,MASIES DE RODA (LES),08115,CEREALS,ORDI,S,122.3125
36,2015,Barcelona,Osona,L'ESQUIROL,08254,CEREALS,BLAT TOU,S,141.3136
37,2015,Barcelona,Osona,L'ESQUIROL,08254,CEREALS,ORDI,S,316.9533
38,2015,Barcelona,Osona,TORELLO,08285,FARRATGERES,RAY-GRASS,S,86.3086
39,2015,Barcelona,Osona,TORELLO,08285,CEREALS,TRITICALE,S,18.3597
40,2015,Barcelona,Osona,TORELLO,08285,ALTRES USOS,VECA I CIVADA,S,0.2637
