X,Y,OBJECTID,ANY_,MES,POBLACIÓ,CONSULTA,CANAL_D_EN,ARXIU
2.159557213088939,41.387297782569618,1,2010,novembre,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,2,2011,gener,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,3,2011,març,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,4,2011,abril,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,5,2012,març,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,6,2012,març,Barcelona,Externa,Telefònic,històric
2.159557213088939,41.387297782569618,7,2012,juny,Barcelona,Externa,Telefònic,històric
2.159557213088939,41.387297782569618,8,2013,febrer,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,9,2010,juny,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,10,2012,març,Barcelona,Externa,Telefònic,històric
2.159557213088939,41.387297782569618,11,2013,novembre,Barcelona,Externa,Correu,administratiu
2.159557213088939,41.387297782569618,12,2014,maig,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,13,2014,juliol,Barcelona,Externa,Correu,administratiu
2.159557213088939,41.387297782569618,14,2014,abril,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,15,2009,març,Barcelona,Externa,Telefònic,històric
2.159557213088939,41.387297782569618,16,2009,juliol,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,17,2009,agost,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,18,2009,setembre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,19,2009,novembre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,20,2009,novembre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,21,2009,abril,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,22,2010,març,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,23,2010,maig,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,24,2010,maig,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,25,2010,juny,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,26,2010,juliol,Barcelona,Externa,Correu,administratiu
2.159557213088939,41.387297782569618,27,2010,juliol,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,28,2010,juliol,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,29,2010,juliol,Barcelona,Externa,Correu,administratiu
2.159557213088939,41.387297782569618,30,2010,setembre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,31,2010,setembre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,32,2010,octubre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,33,2010,novembre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,34,2011,octubre,Barcelona,Externa,Correu,administratiu
2.159557213088939,41.387297782569618,35,2011,juliol,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,36,2011,agost,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,37,2011,març,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,38,2014,octubre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,39,2011,febrer,Barcelona,Externa,Presencial,administratiu
2.159557213088939,41.387297782569618,40,2011,febrer,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,41,2011,gener,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,42,2012,desembre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,43,2012,novembre,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,44,2012,novembre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,45,2012,novembre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,46,2012,novembre,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,47,2012,juliol,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,48,2012,juliol,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,49,2012,juny,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,50,2012,maig,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,51,2012,abril,Barcelona,Externa,Presencial,administratiu
2.159557213088939,41.387297782569618,52,2013,octubre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,53,2013,octubre,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,54,2013,octubre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,55,2013,juny,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,56,2013,juliol,Barcelona,Externa,Presencial,històric
2.159557213088939,41.387297782569618,57,2013,octubre,Barcelona,Externa,Presencial,administratiu
2.159557213088939,41.387297782569618,58,2013,novembre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,59,2013,novembre,Barcelona,Externa,Correu,històric
2.159557213088939,41.387297782569618,60,2013,octubre,Barcelona,Externa,Telefònic,administratiu
2.159557213088939,41.387297782569618,61,2013,octubre,Barcelona,Externa,Correu,històric
