Descripció,FID,F2016,a2015,a2014,a2013
Persones usuàries ateses pel Servei Local d'Ocupació,1,1392,1840,1251,2172
Persones usuàries ateses pel Servei Local d'Ocupació aturades,2,1021,1389,979,1641
Persones usuàries ateses que han trobat feina,3,264,348,267,305
Persones usuàries ateses que han trobat feina (oferta gestionada pel propi Servei Local d'Ocupació),4,125,137,148,65
