ANY_,MES,TIPUS_TALLER,TALLER,ACTIVITAT,PARTICIPANTS,FID
2015,gener,genèric,Avui cuinem,Amb coca cola,9,1
2015,gener,genèric,Con-eix,Aprenem a fer nyoquis,9,2
2015,gener,idiomes,Let’s cook!,In English Please,12,3
2015,febrer,idiomes,Bon appétit,"En cuisine,en français",23,4
2015,febrer,genèric,Con-eix,Verdures d'hivern,20,5
2015,febrer,genèric,El dia del tast,Olis,11,6
2015,febrer,idiomes,Let’s cook!,In English Please,13,7
2015,febrer,genèric,Tradicions a taula,Calçots,19,8
2015,març,genèric,Avui cuinem,Superaliments,19,9
2015,març,idiomes,Bon appétit,"En cuisine,en français",15,10
2015,març,genèric,Compro i cuino,,6,11
2015,desembre,genèric,Temps x temps,Intercanvi de cuina,12,12
2015,març,genèric,Con-eix,Receptari artístic,8,13
2016,gener,genèric,Avui cuinem,Sense gluten,21,14
2015,març,genèric,La cuina del TempsxTemps,Temps x aprofitar el pa sobrer,15,15
2015,març,idiomes,Let’s cook!,In English Please,15,16
2016,gener,idiomes,Bon appétit,Cuina en francès,12,17
2015,març,genèric,Tradicions a taula,Bunyols de quaresma,24,18
2016,gener,idiomes,Let’s cook!,In English Please,8,19
2015,abril,genèric,Avui cuinem,Creps+Sidra,19,20
2016,febrer,genèric,Avui cuinem,Cuina de quaresma,18,21
2015,abril,idiomes,Bon appétit,"En cuisine,en français",14,22
2016,febrer,idiomes,Bon appétit,Cuina en francès,15,23
2015,abril,genèric,Con-eix,Pop cakes i cup cakes,23,24
2016,febrer,infantil,Els cracks de la cuina,El Carme 4t,45,25
2016,febrer,idiomes,Let’s cook!,In English Please,8,26
2015,abril,idiomes,Let’s cook!,In English Please,7,27
2016,març,genèric,Avui cuinem,Les aus,18,28
2015,maig,genèric,Avui cuinem,Elaborats del peix,20,29
2015,maig,idiomes,Bon appétit,"En cuisine,en français",15,30
2016,març,idiomes,Bon appétit,Cuina en francès,15,31
2016,març,genèric,Cuines del món,Gàmbia,15,32
2015,maig,genèric,Con-eix,Cuina d'estiu,24,33
2015,maig,genèric,El dia del tast,Licors catalans a la taula i a la cuina,16,34
2016,març,infantil,Els cracks de la cuina,El Carme 4t,25,35
2015,maig,genèric,La cuina de la xarxampa,Xerrada xarxampa: alimentació i nutrició en la infància,15,36
2016,març,infantil,Els cracks de la cuina,Puig Agut P3A,16,37
2016,març,infantil,Els cracks de la cuina,Puig Agut P4A,18,38
2015,maig,genèric,Tu no ho llencis!,Fem sabó amb oli vell,10,39
2016,març,infantil,Els cracks de la cuina,Puig Agut P4B,19,40
2015,juny,genèric,Avui cuinem,Cuina vegetariana-asiàtica,26,41
2016,març,infantil,Els cracks de la cuina,Puig Agut P3B,16,42
2015,juny,idiomes,Bon appétit,"En cuisine,en français",15,43
2016,març,infantil,Els cracks de la cuina,Puig Agut P5A,19,44
2015,juny,idiomes,Let’s cook!,In English Please,5,45
2015,juny,genèric,Tu no ho llencis!,Fem ratafia,3,46
2016,març,infantil,Els cracks de la cuina,Puig Agut P5B,18,47
2015,juliol,genèric,Avui cuinem,De tapes,22,48
2016,març,idiomes,Let’s cook!,In English Please,5,49
