codi,Nom_centre,Tipus_de_consum,import,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2010,F2011,F2012,F2013,F2014,F2015,FID
ESC03,ESCOLA POMPEU FABRA,Electricitat dependències,€,ES0031446454055001JA0F,ENDESA ENERGÍA S.A.U.,82013720558,,13147.41,12818.58,15697.42,14004.28,13978.44,12705.26,41
ESC05,EDI-ESCOLA.ADULT,Aigua,€,,SOREA,111100010019,04/03/2010,8.65,,,,,,42
ENT01,CAN PUGET,Electricitat dependències,€,ES0031446461220001EC0F,ENDESA ENERGÍA S.A.U.,82013614551,,307.79,307.67,302.87,312.98,458.67,1129.51,43
ENT01,CAN PUGET,Electricitat dependències,€,ES0031408201050001LQ0F,ENDESA ENERGÍA S.A.U.,82030322571,,,,,,11093.87,14780.34,44
ESC05,EDI-ESCOLA.ADULT,Electricitat dependències,€,ES0031446458438001TP0F,,40035615049,10/08/2010,983.14,,,,,,45
ENT01,CAN PUGET,Electricitat dependències,€,ES0031446461219001WD0F,ENDESA ENERGÍA S.A.U.,82013715953,,4946.59,3239.26,2870,4264.31,4972.6,6022.36,46
ESC05,EDI-ESCOLA.ADULT,Electricitat dependències,€,ES0031408456219001KR0F,,40037525509,01/03/2011,945.25,282.19,,,,,47
ENT01,CAN PUGET,Gas,€,ES0217010254760374HP,ENDESA ENERGÍA S.A.U.,86159970927,,,,,,2387.84,3506.35,48
ESC05,EDI-ESCOLA.ADULT,Gas,€,,,14850235,28/06/2010,2644.5,,,,,,49
ENT02,MUSEU INDUSTRIAL DEL TER,Aigua,€,,SOREA,111100013219,08/06/2011,246,238.77,,,,,50
ESC06,ESCOLA TALLER CAN PATALLARGA,Aigua,€,,SOREA,4751708,09/06/2011,121.98,27.4,,,,,51
ENT02,MUSEU INDUSTRIAL DEL TER,Electricitat dependències,€,ES0031446453788002LB0F,ENDESA ENERGÍA S.A.U.,82013624528,12/02/2014,586.47,731.55,955.24,731.98,94.87,,52
ESC06,ESCOLA TALLER CAN PATALLARGA,Electricitat dependències,€,ES0031408090662001CX0F,ENDESA ENERGÍA S.A.U.,82013701009,,2470.35,1575.9,1880.97,2421.43,2072.62,1870.11,53
ENT02,MUSEU INDUSTRIAL DEL TER,Electricitat dependències,€,ES0031448075719001EJ0F,ENDESA ENERGÍA S.A.U.,82033932968,,,,,,5107.09,24446.45,54
ESC07,TRIPIJOC,Aigua,€,,SOREA,4751705,06/06/2011,69.07,22.12,,,,,55
ENT02,MUSEU INDUSTRIAL DEL TER,Gas,€,ES0217010238592308FE,ENDESA ENERGÍA S.A.U.,86161721705,,,,,,2820.13,7452.28,56
ESC07,TRIPIJOC,Electricitat dependències,€,ES0031446461139001CA0F,ENDESA ENERGÍA S.A.U.,82013720790,,1679.56,2037.05,2477.2,2643.09,2470.98,2484.35,57
ENT05,EMBARCADOR DEL TER,Aigua,€,,SOREA,4755839,07/06/2011,0,0,,,,,58
ESC08,SIDRAL-PATALARGA,Aigua,€,,SOREA,4752173,02/06/2011,51.03,21.46,,,,,59
ENT05,EMBARCADOR DEL TER,Aigua,€,,SOREA,4751715,09/06/2011,92.91,22.65,,,,,60
ESC08,SIDRAL-PATALARGA,Electricitat dependències,€,ES0031446475434001NC0F,ENDESA ENERGÍA S.A.U.,82013623830,,2179.19,2740.9,3295.91,1237.02,821.15,828.91,61
ENT05,EMBARCADOR DEL TER,Electricitat dependències,€,ES0031448081552001XY0F,ENDESA ENERGÍA S.A.U.,82013623144,,1691.52,1444.24,1545.87,1583.04,1714.89,1776.89,62
ESC08,SIDRAL-PATALARGA,Gas,€,ES0217010222363279ST,ENDESA ENERGÍA S.A.U.,999405719737,,2435.76,2138.24,2858.83,6234.97,1168.95,1412.6,63
ENT07,LLAR DE JUBILATS-ASVAT,Aigua,€,,SOREA,4751725,06/06/2011,508.93,198.51,,,,,64
ESC09,LLAR D'INFANTS COLORS,Aigua,€,,SOREA,4754096,03/06/2011,244.79,107.32,,,,,65
ENT07,LLAR DE JUBILATS-ASVAT,Electricitat dependències,€,ES0031446461088001XV0F,ENDESA ENERGÍA S.A.U.,82013716349,,12124.42,10082.8,12929.79,11960.03,11316.13,11989.07,66
ESC09,LLAR D'INFANTS COLORS,Electricitat dependències,€,ES0031448197295001YZ0F,ENDESA ENERGÍA S.A.U.,82013721323,,7273.83,7081.74,7570.84,8158.88,7296.61,6900.4,67
ENT08,UEC I TRIS-TRAS,Electricitat dependències,€,ES0031448378663001KL0F,ENDESA ENERGÍA S.A.U.,82013716767,,2884.26,1609.89,3092.69,2901.47,2189.82,2177.31,68
ESC09,LLAR D'INFANTS COLORS,Gas,€,ES0217010253643352MG,ENDESA ENERGÍA S.A.U.,999405336833,,9980.93,10415.14,12004.54,13100.01,12201.91,11130.36,69
EP01,C. ANTONI FONT FORGAS S/N,Electricitat Quadres enllumenat,€,ES0031446460653001AQ0F,ENDESA ENERGÍA S.A.U.,82014694891,,5988.52,6086.01,7051.29,6857.68,6954.77,6306.91,70
ESC10,ESCOLA QUATRE VENTS,Aigua,€,,SOREA,4754934,06/06/2011,51.27,22.12,,,,,71
EP02,C/ PUIGPARDINES. 58,Electricitat Quadres enllumenat,€,ES0031446459783002NS0F,ENDESA ENERGÍA S.A.U.,82013626772,,1680.03,1641.54,1752.23,1584.75,1763.1,1663.1,72
ESC10,ESCOLA QUATRE VENTS,Electricitat dependències,€,ES0031408176567001GX0F,ENDESA ENERGÍA S.A.U.,82013701938,,12213.14,12008.67,13250.16,11837.31,11496.63,11332.88,73
EP03,CASANOVAS TONA S/N COSTAT ET 1,Electricitat Quadres enllumenat,€,ES0031446459824001RM0F,ENDESA ENERGÍA S.A.U.,82013641881,,3232.73,3533.78,3544.67,3423.57,3851.12,3304.9,74
ESC10,ESCOLA QUATRE VENTS,Gas,€,ES0230010289972481XC,ENDESA ENERGÍA S.A.U.,86161649496,,15551.19,15989.71,16938.19,11217.14,10130.5,9311.43,75
EP04,GREMI TONIS ESQ.PUIGPARDINES,Electricitat Quadres enllumenat,€,ES0031448051709001XN0F,ENDESA ENERGÍA S.A.U.,82013627436,,4010.29,4360.75,4599.45,4040.32,4138.41,3657.08,76
ESC12,ESCOLA D'ADULTS,Electricitat dependències,€,ES0031408457953001HP0F,ENDESA ENERGÍA S.A.U.,82013702722,,2681.47,6545.95,7831.96,7043.79,5359.49,5601.82,77
EP05,PZ FRA BERNADI 0- ENLL.PUB- MANLLEU,Electricitat Quadres enllumenat,€,ES0031408506900001GH0F,ENDESA ENERGÍA S.A.U.,82013646704,,,,314.02,8137.04,7704.92,7643.4,78
ESC14,NOVA SECCIÓ INSTITUT,Electricitat dependències,€,ES0031408514956001KS0F,ENDESA ENERGÍA S.A.U.,82021266613,25/02/2015,,,,3700.38,9204.32,1209.6,79
EP06,PGE.DELS OMS SN COSTAT ET 1623,Electricitat Quadres enllumenat,€,ES0031446458835001BM0F,ENDESA ENERGÍA S.A.U.,82013642203,,1841.22,3279.08,4484.87,4515.08,5175.38,5001.53,80
ESP01,PAVELLÓ D'ESPORTS,Aigua,€,,SOREA,4751712,07/06/2011,1237.54,668.97,,,,,81
EP07,VIVENDA GENERALITAT. 5,Electricitat Quadres enllumenat,€,ES0031446458101001EG0F,ENDESA ENERGÍA S.A.U.,82013642427,,1418.17,2941.5,3437.77,2323.36,2112.55,2147.4,82
ESP01,PAVELLÓ D'ESPORTS,Combustibles líquids dependències,€,,,3,,17024.76,14547.27,22963.3,15367.55,15976.5,10346.25,83
EP08,PINTOR GUARDIA SN CANT.MOSSEN,Electricitat Quadres enllumenat,€,ES0031446458602001TH0F,ENDESA ENERGÍA S.A.U.,82013704734,,4635.72,6066.4,6896.15,5159.78,6026.49,6136.53,84
ESP01,PAVELLÓ D'ESPORTS,Electricitat dependències,€,ES0031446462879001WF0F,ENDESA ENERGÍA S.A.U.,82013721800,,21229.81,21672.14,21316,19286.05,18130.62,18238.8,85
