X,Y,OBJECTID,ADREÇA,DISTRICTE,SECCIONS,NOM
2.284157270057337,41.999117434375968,1,C. Bisbe Morgades 3,01,001 i 002,El Carme
2.283672449187489,42.001126934860636,2,Pl. de Dalt Vila 3,02,003,Can Puget
2.274539771423452,42.001482797903421,3,C. Roca 2 / C. Voltregà 101,02,"001, 002 i 004",Casals Gràcia
2.284676733698924,42.005356608226435,4,C. Pintor Guàrdia 8 / C. Bellfort 12,03,"001, 002, 003 i 004",Puig-Agut
2.29722161195275,42.003058247223841,5,C. Pompeu Fabra 38,04,001 i 002,Pompeu Fabra
