X,Y,FID,Municipi,Any_,Barri,Usuaris
1.955543357862901,41.796340936547153,1,Artés,2016,sense informació,1
2.252408473277273,41.769201615441659,2,Aiguafreda,2016,sense informació,1
2.23558768352203,41.835496737763073,3,Balenyà,2016,sense informació,2
2.159557213032868,41.387297781692524,4,Barcelona,2016,sense informació,17
1.92227011180643,41.331741844135152,5,Begues,2016,sense informació,1
1.44439399502574,41.779117212041832,6,Castellfollit de Riubregós,2016,sense informació,1
2.214472004417946,41.798460625213117,7,Centelles,2016,sense informació,6
2.368852701307905,42.034799464130337,8,L'Esquirol,2016,sense informació,39
2.13467897350324,41.495407093434054,9,Cerdanyola del Vallès,2016,sense informació,1
1.87967885202945,42.033926529062434,10,Gironella,2016,sense informació,1
2.087784279257659,41.613175037469986,11,Castellar del Vallès,2016,sense informació,1
2.315685799528617,41.939940211189843,12,Folgueroles,2016,sense informació,8
1.62953284698925,41.579406063086324,13,Igualada,2016,sense informació,1
2.239416580093107,41.943515067694811,14,Gurb,2016,sense informació,8
2.244897514685115,41.8943216949448,15,Malla,2016,sense informació,1
2.290123854746095,41.609471907314109,16,Granollers,2016,sense informació,3
2.313149646196735,41.989114363277537,17,"Masies de Roda, les",2016,sense informació,40
2.20770903119049,42.110055106692947,18,Montesquiu,2016,sense informació,3
1.827440265923402,41.724800632688158,19,Manresa,2016,sense informació,6
2.248827158423059,42.009118098983755,20,"Masies de Voltregà, les",2016,sense informació,29
2.692574035771676,41.625877589544153,21,Pineda de Mar,2016,sense informació,1
2.328164738667189,41.58635895311464,22,"Roca del Vallès, la",2016,sense informació,1
1.413177972923325,41.625642079467561,23,Montmaneu,2016,sense informació,1
2.312879775972674,41.984530603714475,24,Roda de Ter,2016,sense informació,45
2.028221457776866,42.004300074520856,25,Prats de Lluçanès,2016,sense informació,1
2.034407883149859,41.489656398825332,26,Rubí,2016,sense informació,1
2.105336396306795,41.545488489072206,27,Sabadell,2016,sense informació,2
2.488514745918115,41.687867815995951,28,Sant Celoni,2016,sense informació,1
2.465313729868534,42.025242649734352,29,Rupit i Pruit,2016,sense informació,1
2.180981373316667,41.988526461709185,30,Sant Bartomeu del Grau,2016,sense informació,4
2.246757541164743,41.758462491647172,31,Sant Martí de Centelles,2016,sense informació,2
2.238134137118494,42.017230082498209,32,Sant Hipòlit de Voltregà,2016,sense informació,27
2.322358186640522,41.926058023404693,33,Sant Julià de Vilatorta,2016,sense informació,6
2.222344887809826,42.102377276203768,34,Sant Quirze de Besora,2016,sense informació,4
1.786327331960702,41.427912239287814,35,Sant Sadurní d'Anoia,2016,sense informació,1
2.294797145870533,42.07349474388765,36,Sant Pere de Torelló,2016,sense informació,9
2.271694597122835,42.063966965532934,37,Sant Vicenç de Torelló,2016,sense informació,11
2.189853214322042,41.91104348333738,38,Santa Eulàlia de Riuprimer,2016,sense informació,1
2.283198304368262,41.902413576312391,39,Santa Eugènia de Berga,2016,sense informació,4
1.809070112824418,41.236416078855754,40,Sitges,2016,sense informació,1
2.165036466571747,42.035404097085937,41,Sobremunt,2016,sense informació,1
2.286135571924011,41.873056126134827,42,Taradell,2016,sense informació,2
2.257224885510787,42.126951535974214,43,Santa Maria de Besora,2016,sense informació,3
2.230173743403543,41.848897394534774,44,Tona,2016,sense informació,2
2.418200212577442,41.995667896559723,45,Tavertet,2016,sense informació,1
2.719201187187891,41.697104059184326,46,Tordera,2016,sense informació,1
2.017109887211395,41.556587775493846,47,Terrassa,2016,sense informació,2
2.255639465131964,41.932233330077544,48,Vic,2016,sense informació,32
2.292962193124683,41.993489912130798,49,sense informació,2016,sense informació,14
2.308930279395041,41.544980266099145,50,Vilanova del Vallès,2016,sense informació,1
2.266119942392795,42.046789826123955,51,Torelló,2016,sense informació,22
2.288249379291947,41.999993287439544,52,Manlleu,2016,Cavalleria,687
2.283686186496929,41.998779363903637,53,Manlleu,2016,Baix Vila,871
2.29735487280312,41.996745153904243,54,Manlleu,2016,disseminats,44
2.282097921590838,42.002046867599432,55,Manlleu,2016,Nou,305
2.272945362689204,42.001253277311783,56,Manlleu,2016,Gràcia,863
2.285257447021733,42.007417612907787,57,Manlleu,2016,Erm,2214
2.283973794150638,42.001041486165164,58,Manlleu,2016,Dalt Vila,234
2.288864333846581,42.003979788014355,59,Manlleu,2016,El Puig,626
2.292962193124683,41.993489912130798,60,Manlleu,2016,sense informació,346
2.284636627170748,41.9957537720855,61,Manlleu,2016,Vista Alegre,113
2.279067203396399,42.004731733241947,62,Manlleu,2016,Vilamirosa,595
