X,Y,OBJECTID,Col_legi,adreça,districte,seccions,num_electo,vots_emeso,nuls,blancs,unio_cat,PSC_PSOE,PACMA,ERC_CATSí,PP,C_s,PCPC,DL,UPyD,EN_COMÚ,RECORTES_C,participa,per_gràfic
2.28425328446203,41.999075618548574,1,El Carme,C. Bisbe Morgades 3,1,001 i 002,2015,1358,0,9,23,110,8,409,80,58,2,483,2,171,3,67.394541,13.58
2.274100600291382,42.001258991939515,2,Casals Gràcia,C. Roca 2 / C. Voltregà 101,2,"001, 002 i 004",3428,2325,10,13,31,344,25,543,173,195,6,643,0,339,3,67.82,23.25
2.283672434191684,42.001126926870647,3,Can Puget,Pl. Dalt Vila 3,2,003,772,541,8,2,14,54,8,169,29,30,2,169,1,54,1,70.07772,5.41
2.284890039030492,42.005778155001259,4,Puig-Agut,C. Pintor Guàrdia 8 / C. Bellfort 12,3,"001, 002, 003 i 004",4694,3079,26,20,36,546,30,551,289,365,4,675,3,525,9,65.594376,30.79
2.296711835507791,42.002985485393722,5,Pompeu Fabra,C. Pompeu Fabra 38,4,001 i 002,2000,1368,11,6,22,112,19,404,66,68,1,490,1,166,2,68.4,13.68
