OBJECTID,F__OBJECTI,totalLengt,totalTime,RUTA,NUM_RUTA,Passes,imatge
1,1,6.462144,8763.394379,circular de Manlleu,17,10954,https://situam.maps.arcgis.com/sharing/rest/content/items/a3a6fc6505fd4f1b8378b2e6a301ea8a/data
2,0,0,0, ,0,0,
