X,Y,OBJECTID,Data_Avís,mes,Data_Inspe,Dies_fins,Espai,Plaga,Barri,Any_contro
2.285257447021733,42.007417612907787,101,2016-01-10T00:00:00.000Z,gener,2016-01-10T00:00:00.000Z,0,altres,Rates,Erm,2016
2.285257447021733,42.007417612907787,102,2016-02-15T00:00:00.000Z,febrer,2016-02-18T00:00:00.000Z,3,altres,Rates,Erm,2016
2.291805414789052,42.009255988666311,103,2016-03-12T00:00:00.000Z,març,2016-03-15T00:00:00.000Z,3,Via pública,Rates,La Coromina,2016
2.272945362689204,42.001253277311783,104,2016-02-25T00:00:00.000Z,febrer,2016-03-02T00:00:00.000Z,6,Edifici,Rates,Gràcia,2016
2.283686186496929,41.998779363903637,105,2016-04-21T00:00:00.000Z,abril,2016-05-10T00:00:00.000Z,19,Edifici,Abelles,Baix Vila,2016
2.291805414789052,42.009255988666311,106,2016-04-04T00:00:00.000Z,abril,2016-04-06T00:00:00.000Z,2,Via pública,Rates,La Coromina,2016
2.283686186496929,41.998779363903637,107,2016-04-04T00:00:00.000Z,abril,2016-04-06T00:00:00.000Z,2,Via pública,Rates,Baix Vila,2016
2.288864333846581,42.003979788014355,108,2016-05-02T00:00:00.000Z,maig,2016-05-02T00:00:00.000Z,0,Edifici,Formigues,El Puig,2016
2.288864333846581,42.003979788014355,109,2016-05-02T00:00:00.000Z,maig,2016-05-02T00:00:00.000Z,0,Via pública,Abelles,El Puig,2016
2.283686186496929,41.998779363903637,110,2016-05-02T00:00:00.000Z,maig,2016-05-11T00:00:00.000Z,9,altres,Abelles,Baix Vila,2016
2.288249379291947,41.999993287439544,111,2016-05-03T00:00:00.000Z,maig,2016-06-13T00:00:00.000Z,41,altres,Formigues,Cavalleria,2016
2.272945362689204,42.001253277311783,112,2016-05-20T00:00:00.000Z,maig,2016-05-20T00:00:00.000Z,0,Via pública,Abelles,Gràcia,2016
2.285257447021733,42.007417612907787,113,2016-05-22T00:00:00.000Z,maig,2016-07-21T00:00:00.000Z,60,Solar,Rates,Erm,2016
2.285257447021733,42.007417612907787,114,2016-05-23T00:00:00.000Z,maig,2016-05-31T00:00:00.000Z,8,Solar,Diplòpodes,Erm,2016
2.283686186496929,41.998779363903637,115,2016-06-01T00:00:00.000Z,juny,2016-06-01T00:00:00.000Z,0,altres,Vespes,Baix Vila,2016
2.291805414789052,42.009255988666311,116,2016-06-08T00:00:00.000Z,juny,2016-06-12T00:00:00.000Z,4,altres,Mosquits,La Coromina,2016
2.272945362689204,42.001253277311783,117,2016-06-13T00:00:00.000Z,juny,2016-06-14T00:00:00.000Z,1,Solar,Rates,Gràcia,2016
