X,Y,OBJECTID,NOM_EXPLOT,BUSTIA,COOR_X,COOR_Y,TIPUS_EXPL,ESPECIE,ESTAT_SUBE
2.276119050628028,42.007124679863111,151,GRANJA PIELLA, ,440056.42,4650820.69,Producció i reproducció,Gallines i pollastres,Inactiva
2.276119050628028,42.007124679863111,152,GRANJA PIELLA, ,440056.42,4650820.69,Producció i reproducció,Gallines i pollastres,Inactiva
2.276119050628028,42.007124679863111,153,GRANJA PIELLA, ,440056.42,4650820.69,Producció i reproducció,Gallines i pollastres,Inactiva
2.287881982845302,42.013547805099719,154,MAS SERRAT,110,441036.43,4651525.68,Producció i reproducció,Boví,Activa
2.287881982845302,42.013547805099719,155,MAS SERRAT,110,441036.43,4651525.68,Producció i reproducció,Cabrum,Inactiva
2.287881982845302,42.013547805099719,156,MAS SERRAT,110,441036.43,4651525.68,Producció i reproducció,Oví,Inactiva
2.267969935899512,42.001669049992181,157,LA PORCELLERA,419,439376.42,4650220.69,Producció i reproducció,Porcí,Activa
2.267969935899512,42.001669049992181,158,LA PORCELLERA,419,439376.42,4650220.69,Producció i reproducció,Èquids,Activa
2.267969935899512,42.001669049992181,159,LA PORCELLERA,419,439376.42,4650220.69,Producció i reproducció,Boví,Inactiva
2.291745387554904,42.024559717693826,160,MAS NIUBO,106,441366.44,4652745.68,Producció i reproducció,Boví,Activa
2.291745387554904,42.024559717693826,161,MAS NIUBO,106,441366.44,4652745.68,Producció i reproducció,Cabrum,Activa
2.291745387554904,42.024559717693826,162,MAS NIUBO,106,441366.44,4652745.68,Producció i reproducció,Oví,Activa
2.279726815269667,42.019171147885174,163,SANT JAUME NOU,101,440366.43,4652155.69,Producció i reproducció,Boví,Activa
2.279726815269667,42.019171147885174,164,SANT JAUME NOU,101,440366.43,4652155.69,Producció i reproducció,Conills,Inactiva
2.277381179703212,42.012986906612419,165,MAS CAMPURAT,107,440166.43,4651470.69,Producció i reproducció,Boví,Activa
2.277381179703212,42.012986906612419,166,MAS CAMPURAT,107,440166.43,4651470.69,Producció i reproducció,Gall dindi,Inactiva
2.277381179703212,42.012986906612419,167,MAS CAMPURAT,107,440166.43,4651470.69,Producció i reproducció,Gallines i pollastres,Inactiva
2.277381179703212,42.012986906612419,168,MAS CAMPURAT,107,440166.43,4651470.69,Producció i reproducció,Gallines i pollastres,Inactiva
2.277381179703212,42.012986906612419,169,MAS CAMPURAT,107,440166.43,4651470.69,Producció i reproducció,Gallines i pollastres,Inactiva
2.277381179703212,42.012986906612419,170,MAS CAMPURAT,107,440166.43,4651470.69,Producció i reproducció,Gallines i pollastres,Inactiva
2.277381179703212,42.012986906612419,171,MAS CAMPURAT,107,440166.43,4651470.69,Producció i reproducció,Èquids,Inactiva
2.275278128023311,41.996086212682613,172,MAS MOLINOT, ,439976.41,4649595.68,Explotació per a la pràctica eqüestre,Èquids,Activa
2.285648777215782,42.018847803759911,173,MAS MAIANS,102,440856.43,4652115.68,Producció i reproducció,Boví,Activa
2.285648777215782,42.018847803759911,174,MAS MAIANS,102,440856.43,4652115.68,Producció i reproducció,Porcí,Activa
