X,Y,OBJECTID,FID_,SERVEI_O_E,TIPOLOGIA,GRUP,LLOC_WEB
2.278264824000828,41.997597620871169,1,0,Camp municipal d'Esports,Equipament,Esportiu,http://www.manlleu.cat/mod/adreces-i-telefons/id80/camp-municipal-d-esports.htm?cat=1
2.289474303950002,41.998733461413856,2,0,Circuit 10km passeig del Ter,Equipament,Esportiu,http://www.manlleu.cat/mod/adreces-i-telefons/id126/circuit-10km-passeig-del-ter.htm?cat=1
2.288218458284499,42.002193237816172,3,0,Espai lúdic gent gran,Equipament,Esportiu,http://www.manlleu.cat/mod/adreces-i-telefons/id127/espai-ludic-gent-gran.htm?cat=1
2.275680548794848,41.997606899224763,4,0,Pavelló municipal d'Esports,Equipament,Esportiu,http://www.manlleu.cat/mod/adreces-i-telefons/id13/pavello-municipal-d-esports.htm?cat=1
2.293807527148955,42.002948448709731,5,0,Piscina Coberta Municipal,Equipament,Esportiu,http://www.manlleu.cat/mod/adreces-i-telefons/id18/piscina-coberta-municipal.htm?cat=1
2.29306759922247,42.003248608697362,6,0,Piscina Municipal d'Estiu,Equipament,Esportiu,http://www.manlleu.cat/mod/adreces-i-telefons/id14/piscina-municipal-d-estiu.htm?cat=1
2.274518878910453,41.997476819227956,7,0,Pista d'Atletisme,Equipament,Esportiu,http://www.manlleu.cat/mod/adreces-i-telefons/id19/pista-d-atletisme.htm?cat=1
2.283068566779284,41.997190112351966,8,0,Pista de Futbol Sala de La Salle,Equipament,Esportiu,http://www.manlleu.cat/mod/adreces-i-telefons/id20/pista-de-futbol-sala-de-la-salle.htm?cat=1
2.287071193783993,42.009265161075817,9,0,Pista poliesportiva (carrer Vilamontà),Equipament,Esportiu,http://www.manlleu.cat/mod/adreces-i-telefons/id82/pista-poliesportiva-carrer-vilamonta-.htm?cat=1
2.280304248529109,41.997844780580387,10,0,Rocòdrom Can Tiba-li,Equipament,Esportiu,http://www.manlleu.cat/mod/adreces-i-telefons/id79/rocodrom-can-tiba-li.htm?cat=1
2.273612476992163,41.997404882096951,11,0,Skate Park,Equipament,Esportiu,http://www.manlleu.cat/mod/adreces-i-telefons/id125/skate-park.htm?cat=1
2.273282360498269,41.997392560099598,12,0,Parc lúdic i de salut,Equipament,Esportiu,http://www.manlleu.cat/mod/cataleg-de-serveis/id30/parcs-ludics-i-de-salut.htm?cat=108
2.279703568454833,41.998885562641419,13,0,Parc lúdic i de salut,Equipament,Esportiu,http://www.manlleu.cat/mod/cataleg-de-serveis/id30/parcs-ludics-i-de-salut.htm?cat=108
