X,Y,OBJECTID,Centre_Esc,Infantil_1,P3,LinP3,P4,LinP4,P5,LinP5,F1r,Lin1r,F2n,Lin2n,F3r,Lin3r,F4t,Lin4t,F5è,Lin5è,F6è,Lin6è,F1rESO,Lin1rESO,F2nESO,Lin2nESO,F3rESO,Lin3rESO,F4tESO,Lin4tESO
2.274539771423452,42.001482797903428,1,Casals Gràcia,0,22,1,26,1,25,1,24,1,22,1,25,1,22,1,25,1,24,1,25,1,31,1,28,1,30,1
2.29722161195275,42.003058247223841,2,Pompeu Fabra,0,51,2,46,2,50,2,74,3,66,3,72,3,49,2,40,2,67,3,0,0,0,0,0,0,0,0
2.285061015822264,42.005024497758399,3,Puig-Agut,0,21,1,31,2,36,2,33,2,30,2,32,2,31,2,32,2,32,2,0,0,0,0,0,0,0,0
2.277697611104971,42.008184757786275,4,Quatre Vents,0,46,2,51,2,50,2,69,3,48,2,64,3,58,3,47,2,50,2,0,0,0,0,0,0,0,0
2.284157270057337,41.999117434375968,5,El Carme-Vedruna,0,34,2,60,3,66,3,63,3,72,3,67,3,55,3,58,3,61,3,0,0,0,0,0,0,0,0
2.282946006659817,41.99796404279941,6,La Salle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,3,92,3,87,3,86,3
2.274389976307569,42.002422788243571,7,IES Antoni Pous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,3,63,2,54,2,55,2
2.292654841795488,42.004918123722462,8,S.I La Teuleria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,47,2,48,2,41,2
2.282018234344256,42.004031272514922,9,Escola Bressol Colors,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.288112386951496,42.008970432348875,10,Escola Bressol Els Picarols,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
