OBJECTID,REF_CADA_1,DISTRICTE,SECCIó,BARRI_VE_1,ZONA,Shape__Area,Shape__Length
368,0906012DG,3,2,ERM,C,2.9054881e-08,0.001018052500006
369,0901531DG,1,2,BAIX VILA,A,2.9247846e-08,0.001405180875941
370,1103122DG,4,1,CAVALLERIA,B,2.947948e-08,0.000742580010055
371,0902714DG,1,2,BAIX VILA,A,2.9491388e-08,0.000775612738957
372,0906010DG,3,2,ERM,C,2.9635286e-08,0.001032625698886
373,1103127DG,4,1,CAVALLERIA,B,2.9866641e-08,0.000677410379803
374,0602006DG,1,1,BAIX VILA,A,3.0675115e-08,0.000872504183567
375,0807709DG,2,4,ERM,C,3.0995592e-08,0.000774288576594
376,0602019DG,1,1,BAIX VILA,A,3.1091364e-08,0.000996880524407
377,0901111DG,1,2,BAIX VILA,A,3.1152557e-08,0.00106003679154
378,1007008DG,3,2,EL PUIG,C,3.1166383e-08,0.000776237552937
379,0900013DG,1,2,BAIX VILA,A,3.1477646e-08,0.000771220413016
380,0901518DG,1,2,BAIX VILA,A,3.1483645e-08,0.001136382020138
381,0900011DG,1,2,BAIX VILA,A,3.1550576e-08,0.000746703637402
382,0903609DG,1,2,BAIX VILA,B,3.2714443e-08,0.000944674824277
383,0800004DG,1,2,BAIX VILA,A,3.2300397e-08,0.000808545611994
384,0901116DG,1,2,BAIX VILA,A,3.2316778e-08,0.000826199461492
385,0901519DG,1,2,BAIX VILA,A,4.0494631e-08,0.000970776364113
386,0901114DG,1,2,BAIX VILA,A,3.2502302e-08,0.000828554821355
387,1006013DG,3,2,EL PUIG,C,3.3039292e-08,0.001231898448696
388,1007017DG,3,2,EL PUIG,C,3.3101971e-08,0.000738339647066
389,0502005DG,1,1,BAIX VILA,A,3.3110921e-08,0.001230132158709
390,0902715DG,1,2,BAIX VILA,A,3.3112558e-08,0.000751100660775
391,0602038DG,1,1,BAIX VILA,A,3.3282644e-08,0.000764923956374
392,1103133DG,4,1,CAVALLERIA,B,3.3318937e-08,0.000740386258696
393,0804605DG,2,3,DALT VILA,B,3.3672683e-08,0.000796962119282
394,0806059DG,2,3,DALT VILA,C,3.3752929e-08,0.00079358513041
395,1103117DG,4,1,CAVALLERIA,B,3.3850107e-08,0.000854551300555
396,0902018DG,1,2,BAIX VILA,A,3.3860035e-08,0.000985595720579
397,0801014DG,1,2,BAIX VILA,A,3.393485e-08,0.000976128095686
398,0901118DG,1,2,BAIX VILA,A,3.3942996e-08,0.000836532663501
399,0702303DG,1,2,BAIX VILA,A,4.4262756e-08,0.000851709239445
400,0903610DG,1,2,BAIX VILA,B,3.4181373e-08,0.000845821296783
401,0904043DG,2,3,DALT VILA,B,3.4366083e-08,0.001075270962078
402,0801013DG,1,2,BAIX VILA,A,3.4444382e-08,0.000980601073803
403,0602011DG,1,1,BAIX VILA,A,3.4480391e-08,0.000845207980132
404,0602015DG,1,1,BAIX VILA,A,3.4729516e-08,0.001010840816367
405,0807710DG,2,4,ERM,C,3.4894426e-08,0.000851474588125
406,0701028DG,1,1,BAIX VILA,A,3.4893737e-08,0.000818011857152
407,0901119DG,1,2,BAIX VILA,A,3.5163795e-08,0.000766804024026
408,0901115DG,1,2,BAIX VILA,A,3.5195825e-08,0.000846791509038
409,0701003DG,1,1,BAIX VILA,A,3.5329238e-08,0.000984555133402
410,1103111DG,4,1,CAVALLERIA,B,3.5400561e-08,0.000782808057666
411,0701006DG,1,1,BAIX VILA,A,3.5507073e-08,0.000996344817674
412,0902717DG,1,2,BAIX VILA,A,3.5527763e-08,0.000863241615692
413,0901110DG,1,2,BAIX VILA,A,3.5539441e-08,0.00108833691385
414,0906046DG,3,2,ERM,C,3.5598656e-08,0.000963165127214
415,1006009DG,3,2,EL PUIG,C,3.5626128e-08,0.001274264220042
416,0900004DG,1,2,BAIX VILA,A,3.5638929e-08,0.000851770904314
417,0705019DG,2,3,NOU,B,3.5808517e-08,0.000757069566955
418,0602010DG,1,1,BAIX VILA,A,3.6004119e-08,0.000847437744774
419,0807707DG,2,4,ERM,C,3.6076662e-08,0.000781375005149
420,0800011DG,1,2,BAIX VILA,A,3.6262859e-08,0.001044641062283
421,0904802DG,2,3,DALT VILA,B,3.6314477e-08,0.000865165356134
422,1008503DG,3,3,ERM,C,3.6455342e-08,0.000776048367539
423,0602059DG,1,1,BAIX VILA,A,3.6678589e-08,0.000859288693699
424,0800010DG,1,2,BAIX VILA,A,3.6880145e-08,0.001059657487847
425,0800015DG,1,2,BAIX VILA,A,3.7322005e-08,0.00102029954722
426,0800009DG,1,2,BAIX VILA,A,3.7463948e-08,0.001063449744609
427,0806058DG,2,3,DALT VILA,C,3.7533401e-08,0.000869258957016
428,0902019DG,1,2,BAIX VILA,A,3.7832195e-08,0.000914660925222
429,0704004DG,2,3,NOU,B,3.7964427e-08,0.000806769424606
430,0703302DG,2,3,DALT VILA,B,3.8180823e-08,0.000978378452776
431,0503008DG,1,1,BAIX VILA,A,3.8486823e-08,0.00088172975344
432,0901515DG,1,2,BAIX VILA,A,3.8489745e-08,0.000827178095018
433,0902113DG,1,2,BAIX VILA,A,3.8546813e-08,0.000872630428589
434,0906040DG,3,2,ERM,C,3.8758696e-08,0.000947160876513
435,0603013DG,1,1,DALT VILA,B,3.8894864e-08,0.00080315048034
436,0902703DG,1,2,BAIX VILA,A,3.8984002e-08,0.001137572246859
437,0602049DG,1,1,BAIX VILA,A,3.9062218e-08,0.000983297184526
438,0604005DG,2,3,NOU,B,3.9111078e-08,0.001104770348294
439,0602047DG,1,1,BAIX VILA,A,3.9576404e-08,0.000932560308303
440,0903606DG,1,2,BAIX VILA,B,3.9836695e-08,0.000835919623853
441,0908502DG,3,3,ERM,C,3.9954e-08,0.000847067920567
442,0705018DG,2,3,NOU,B,2.0995471e-08,0.000600428720806
443,1003701DG,4,1,CAVALLERIA,B,4.0377237e-08,0.000912167682135
444,0806054DG,2,3,DALT VILA,C,4.0899482e-08,0.000918028742086
445,1006001DG,3,2,EL PUIG,C,4.1167314e-08,0.000879862781733
446,0908501DG,3,3,ERM,C,4.1179583e-08,0.000910102786908
447,0704011DG,2,3,NOU,B,4.1690129e-08,0.000907060786546
448,0900003DG,1,2,BAIX VILA,A,4.188286e-08,0.000898687115398
449,0601003DG,1,1,BAIX VILA,A,4.233215e-08,0.00083302530279
450,0906009DG,3,2,ERM,C,4.2475243e-08,0.001134951943626
451,0906042DG,3,2,ERM,C,4.2944148e-08,0.001011105389578
452,0602048DG,1,1,BAIX VILA,A,4.3018188e-08,0.001072454917194
453,1103114DG,4,1,CAVALLERIA,B,4.3169295e-08,0.000993328127692
454,0908503DG,3,3,ERM,C,4.34508e-08,0.000870978086651
455,0603010DG,1,1,DALT VILA,B,4.3841327e-08,0.000861705046412
456,0800008DG,1,2,BAIX VILA,A,4.4306014e-08,0.00101066553818
457,1007018DG,3,2,EL PUIG,C,4.4393394e-08,0.000828530317018
458,0804109DG,2,3,NOU,B,4.4666102e-08,0.00091780063088
459,0704010DG,2,3,NOU,B,4.4705548e-08,0.001006174305573
460,0602025DG,1,1,BAIX VILA,A,4.5077114e-08,0.001104992902532
461,0602024DG,1,1,BAIX VILA,A,4.5150894e-08,0.001103253121109
462,0901528DG,1,2,BAIX VILA,A,4.5226668e-08,0.001223814328128
463,0807719DG,2,4,ERM,C,4.5439213e-08,0.000835843538897
464,0806043DG,2,3,DALT VILA,B,4.5521894e-08,0.00103425710408
465,0702301DG,1,2,BAIX VILA,A,4.9721461e-08,0.00095295407417
466,0906041DG,3,2,ERM,C,4.5748511e-08,0.000965163483133
467,0602056DG,1,1,BAIX VILA,A,4.6462177e-08,0.000893469255022
468,1003004DG,4,1,CAVALLERIA,B,4.676274e-08,0.001294423664278
469,0901517DG,1,2,BAIX VILA,A,4.6862647e-08,0.001214050533871
470,1006005DG,3,2,EL PUIG,C,4.7126248e-08,0.001379433942503
471,1003006DG,4,1,CAVALLERIA,B,4.7131209e-08,0.001319843083092
472,0906039DG,3,2,ERM,C,4.7629243e-08,0.001050246016714
473,0902713DG,1,2,BAIX VILA,A,4.7766855e-08,0.000878701599579
474,0805031DG,2,3,NOU,B,4.8171027e-08,0.00091391132365
475,0800024DG,1,2,BAIX VILA,A,4.8462067e-08,0.001703638026616
476,0806001DG,2,3,DALT VILA,C,4.9122895e-08,0.000952452411599
477,1006004DG,3,2,EL PUIG,C,4.9251828e-08,0.001416433946796
478,0602001DG,1,1,BAIX VILA,A,4.917769e-08,0.000953922939616
479,0602040DG,1,1,BAIX VILA,A,4.9543068e-08,0.000959555416048
480,0801015DG,1,2,BAIX VILA,A,4.9983447e-08,0.001223766561031
481,0602020DG,1,1,BAIX VILA,A,5.1059059e-08,0.000952002684538
