OBJECTID,REF_CADA_1,DISTRICTE,SECCIó,BARRI_VE_1,ZONA,Shape__Area,Shape__Length
196,0805035DG,2,3,NOU,B,1.5731238e-08,0.000782537935973
197,0701009DG,1,1,BAIX VILA,A,1.5908257e-08,0.000898507440266
198,0800028DG,1,2,BAIX VILA,A,1.5991138e-08,0.000566686198135
199,0901113DG,1,2,BAIX VILA,A,1.6006821e-08,0.00054030432115
200,0904032DG,2,3,DALT VILA,B,1.6030533e-08,0.000611615310439
201,0906005DG,3,2,ERM,C,1.6052347e-08,0.000644592513885
202,0902119DG,1,2,BAIX VILA,A,1.6162551e-08,0.000596709293209
203,1103118DG,4,1,CAVALLERIA,B,1.6206531e-08,0.000682953028276
204,0800006DG,1,2,BAIX VILA,A,1.622508e-08,0.000825173899099
205,0701005DG,1,1,BAIX VILA,A,1.6264182e-08,0.000873638557277
206,1008502DG,3,3,ERM,C,1.6331384e-08,0.000546667416553
207,0906038DG,3,2,ERM,C,1.6580657e-08,0.000510462692345
208,0802708DG,1,2,BAIX VILA,A,1.6628335e-08,0.000559033960419
209,0906006DG,3,2,ERM,C,1.669707e-08,0.000648783687599
210,0902109DG,1,2,BAIX VILA,A,1.5114096e-08,0.000524119731848
211,0806035DG,2,3,DALT VILA,B,1.6725757e-08,0.000586596209823
212,0701001DG,1,1,BAIX VILA,A,1.672568e-08,0.000908395565139
213,0603001DG,1,1,DALT VILA,B,1.6856174e-08,0.000621827073354
214,0805034DG,2,3,NOU,B,1.6931509e-08,0.000831631622474
215,0603006DG,1,1,DALT VILA,B,1.694013e-08,0.000528831184123
216,0502002DG,1,1,BAIX VILA,A,1.701678e-08,0.00065617350441
217,0800007DG,1,2,BAIX VILA,A,1.7115442e-08,0.000821501251718
218,0904034DG,2,3,DALT VILA,B,1.717754e-08,0.000699948340413
219,0906022DG,3,2,ERM,C,1.7289997e-08,0.000548987212066
220,0807708DG,2,4,ERM,C,1.7541368e-08,0.000601321467248
221,0902015DG,1,2,BAIX VILA,A,1.7557783e-08,0.000575185975109
222,0906008DG,3,2,ERM,C,1.7592609e-08,0.000699194401465
223,0502009DG,1,1,BAIX VILA,A,1.760394e-08,0.000714857492411
224,0701023DG,1,1,BAIX VILA,A,1.7638056e-08,0.000692426972831
225,0701004DG,1,1,BAIX VILA,A,1.7651287e-08,0.000895870441818
226,0902701DG,1,2,BAIX VILA,A,1.7669537e-08,0.000589877242815
227,0807706DG,2,4,ERM,C,1.7707098e-08,0.000633175577842
228,0702305DG,1,2,BAIX VILA,A,2.1543108e-08,0.000773548805418
229,0800019DG,1,2,BAIX VILA,A,1.775859e-08,0.000600637096179
230,0806037DG,2,3,DALT VILA,B,1.7773416e-08,0.000554356808366
231,0904033DG,2,3,DALT VILA,B,1.7779307e-08,0.00067070459638
232,0806033DG,2,3,DALT VILA,B,1.7871046e-08,0.000547729671565
233,0800014DG,1,2,BAIX VILA,A,1.7961769e-08,0.000920646836871
234,1007010DG,3,2,EL PUIG,C,1.7993698e-08,0.000693316828276
235,0903612DG,1,2,BAIX VILA,B,1.8018833e-08,0.000731156995166
236,0805026DG,2,3,NOU,B,1.8047487e-08,0.000655061318035
237,0900027DG,1,2,BAIX VILA,A,1.8117751e-08,0.000734117130619
238,0502010DG,1,1,BAIX VILA,A,1.8146066e-08,0.000719720710867
239,0902010DG,1,2,BAIX VILA,A,1.8232872e-08,0.000927338928168
240,0802705DG,1,2,BAIX VILA,A,1.8298772e-08,0.000596662459577
241,0701017DG,1,1,BAIX VILA,A,1.8341138e-08,0.000696783088018
242,0902705DG,1,2,BAIX VILA,A,1.8501891e-08,0.00086367999527
243,0602045DG,1,1,BAIX VILA,A,1.8508435e-08,0.000775559511892
244,0800013DG,1,2,BAIX VILA,A,1.860625e-08,0.000936386175506
245,0702309DG,1,2,BAIX VILA,A,1.8677708e-08,0.000631390341113
246,0804104DG,2,3,NOU,B,1.8748376e-08,0.000623305245041
247,0804415DG,2,3,DALT VILA,B,1.8898853e-08,0.000561739209077
248,0806060DG,2,3,DALT VILA,C,1.8956255e-08,0.000611483272455
249,0903611DG,1,2,BAIX VILA,B,1.8983386e-08,0.000739935870999
250,0805043DG,2,3,NOU,B,1.9123065e-08,0.000665119930734
251,0602055DG,1,1,BAIX VILA,A,1.9137249e-08,0.00063311133165
252,0800012DG,1,2,BAIX VILA,A,1.9163337e-08,0.000943771903237
253,0602046DG,1,1,BAIX VILA,A,1.9397869e-08,0.000804207694349
254,0604004DG,2,3,NOU,B,1.9431194e-08,0.00057491592682
255,0806038DG,2,3,DALT VILA,B,1.9443458e-08,0.000615253523755
256,0803802DG,1,2,BAIX VILA,B,1.9528479e-08,0.000562029606176
257,0902704DG,1,2,BAIX VILA,A,1.953529e-08,0.000780208253463
258,0805002DG,2,3,NOU,B,1.9558173e-08,0.000601359693696
259,0900001DG,1,2,BAIX VILA,A,1.9719174e-08,0.000629020683286
260,0704007DG,2,3,NOU,B,1.9815051e-08,0.000826737452678
261,1103115DG,4,1,CAVALLERIA,B,1.9841983e-08,0.000822535392665
262,0702310DG,1,2,BAIX VILA,A,1.9947904e-08,0.00065760473738
263,0904040DG,2,3,DALT VILA,B,2.0049031e-08,0.000761344174814
264,0906020DG,3,2,ERM,C,2.0109914e-08,0.000755471551818
265,0800018DG,1,2,BAIX VILA,A,2.0158849e-08,0.000629623799824
266,0704008DG,2,3,NOU,B,2.0366168e-08,0.000834416261434
267,0902014DG,1,2,BAIX VILA,A,2.0453764e-08,0.001250838032434
268,0703303DG,2,3,DALT VILA,B,2.0478671e-08,0.000679461400339
269,0701010DG,1,1,BAIX VILA,A,2.0536717e-08,0.000925002091986
270,0601006DG,1,1,BAIX VILA,A,2.0577119e-08,0.000830312016116
271,0800016DG,1,2,BAIX VILA,A,2.0694867e-08,0.000646241106847
272,0906011DG,3,2,ERM,C,2.0833153e-08,0.000978056472788
