X,Y,OBJECTID,Centre_Esc,Infantil_1,P3,LinP3,P4,LinP4,P5,LinP5,Primer,Lin1r,Segon,Lin2n,Tercer,Lin3r,Quart,Lin4t,Cinquè,Lin5è,Sisè,Lin6è,ESO_1r,Lin1rESO,ESO_2n,Lin2nESO,ESO_3r,Lin3rESO,ESO_4t,Lin4tESO
2.274539771423452,42.001482797903428,1,Casals Gràcia,0,23,1,24,1,23,1,25,1,21,1,23,1,21,1,19,1,19,1,28,1,27,1,27,1,21,1
2.29722161195275,42.003058247223841,2,Pompeu Fabra,0,49,2,73,3,71,3,68,3,49,2,45,2,69,3,45,2,49,2,0,0,0,0,0,0,0,0
2.285061015822264,42.005024497758399,3,Puig-Agut,0,41,2,47,2,35,2,41,2,45,2,35,2,43,2,34,2,32,2,0,0,0,0,0,0,0,0
2.277697611104971,42.008184757786275,4,Quatre Vents,0,50,2,74,3,48,2,70,3,64,3,48,2,46,2,58,3,48,2,0,0,0,0,0,0,0,0
2.284157270057337,41.999117434375968,5,El Carme-Vedruna,0,58,3,64,3,72,3,68,3,53,3,60,3,63,3,67,3,67,3,0,0,0,0,0,0,0,0
2.282946006659817,41.99796404279941,6,La Salle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,3,90,3,94,3,83,3
2.274389976307569,42.002422788243571,7,IES Antoni Pous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,58,2,61,2,69,3
2.292654841795488,42.004918123722462,8,S.I La Teuleria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,43,2,41,2,28,2
2.282018234344256,42.004031272514922,9,Escola Bressol Colors,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.288112386951496,42.008970432348875,10,Escola Bressol Els Picarols,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
