Entitat,WEB,FID
AFADIP – Associació de families pel desenvolupament integral de la persona,http://www.entitatsmanlleu.cat/diba_entitat/associacio-de-families-pel-desenvolupament-integral-de-la-persona/,1
Agrupació Esportiva Cultural Manlleu (AEC Manlleu),http://www.entitatsmanlleu.cat/diba_entitat/agrupacio-esportiva-cultural-manlleu/,2
Agrupació Esportiva Ocellaire Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/agrupacio-esportiva-ocellaire-manlleu/,3
Agrupació sardanista manlleuenca,http://www.entitatsmanlleu.cat/diba_entitat/agrupacio-sardanista-manlleuenca-2/,4
Agrupación cultural andaluza Peña flamenca de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/agrupacion-cultural-andaluza-pena-flamenca-de-manlleu/,5
Amics flama Canigo i Focs de St. Joan de Manlleu – Tradifoc,http://www.entitatsmanlleu.cat/diba_entitat/amics-flama-canigo-i-focs-de-st-joan-de-manlleu-tradifoc/,6
AMPA Escola Bressol Els picarols,http://www.entitatsmanlleu.cat/diba_entitat/ampa-escola-bressol-els-picarols/,7
AMPA Escola Bressol Municipal Colors,http://www.entitatsmanlleu.cat/diba_entitat/ampa-escola-bressol-municipal-colors/,8
AMPA Escola Casals Gràcia,http://www.entitatsmanlleu.cat/diba_entitat/ampa-escola-casals-gracia/,9
AMPA Escola El Carme-Vedruna,http://www.entitatsmanlleu.cat/diba_entitat/ampa-col%c2%b7legi-el-carme-vedruna/,10
AMPA Escola La Salle,http://www.entitatsmanlleu.cat/diba_entitat/ampa-col%c2%b7legi-la-salle/,11
AMPA Escola Municipal de Música de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/ampa-escola-municipal-de-musica-de-manlleu/,12
AMPA Escola Pompeu Fabra Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/ampa-escola-pompeu-fabra-de-manlleu/,13
AMPA Escola Puig-Agut,http://www.entitatsmanlleu.cat/diba_entitat/ampa-escola-puig-agut/,14
AMPA Escola Quatre Vents,http://www.entitatsmanlleu.cat/diba_entitat/associacio-de-mares-i-pares-dalumes-del-col%c2%b7legi-quatre-vents-de-manlleu/,15
AMPA IES Antoni Pous i Argila,http://www.entitatsmanlleu.cat/diba_entitat/ampa-ies-antoni-pous-i-argila/,16
AMPA Secció Institut La Teuleria,http://www.entitatsmanlleu.cat/diba_entitat/ampa-seccio-institut-la-teuleria/,17
Assemblea Nacional Catalana. Manlleu per la Independència,http://www.entitatsmanlleu.cat/diba_entitat/assemblea-nacional-catalana-manlleu-per-la-independencia/,18
Associació Amics de la Música de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-amics-de-la-musica-de-manlleu/,19
Associació animalista de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-animalista-de-manlleu/,20
Associació Automodelisme Manlleu Tot Terreny ,http://www.entitatsmanlleu.cat/diba_entitat/associacio-automodelisme-manlleu-tot-terreny/,21
Associacio Col·leccionistes plaques de cava de Manlleu,http://www.entitatsmanlleu.cat/diba_entitat/associacio-col%c2%b7leccionistes-plaques-de-cava-de-manlleu/,22
