Mes,Any_,Nivell,Presentats,Aptes,No_aptes,FID
Juliol,2011,1. Bàsic,6,3,3,84
Març,2016, 2. Mitjà ,1,1,0,85
Desembre,2013,2. Mitjà,2,2,0,86
Febrer,2013,2. Mitjà,1,1,0,87
Maig,2016,1. Bàsic ,3,3,0,88
Juny,2011,1. Bàsic,5,4,1,89
Gener,2013,2. Mitjà,2,2,0,90
Maig,2011,1. Bàsic,7,5,2,91
Maig,2016,2. Mitjà ,2,2,0,92
Juliol,2013,2. Mitjà,2,1,1,93
Març,2011,1. Bàsic,8,5,3,94
Juny,2016,1. Bàsic ,3,2,1,95
Juny,2013,2. Mitjà,2,2,0,96
Novembre,2011,1. Bàsic,5,3,2,97
Juny,2016,3. Avançat ,2,0,0,98
Novembre,2013,2. Mitjà,2,2,1,99
Octubre,2011,1. Bàsic,1,1,0,100
Juny,2016,2. Mitjà ,2,0,2,101
Octubre,2013,2. Mitjà,2,1,1,102
Setembre,2011,1. Bàsic,2,2,0,103
Juliol,2016,1. Bàsic ,3,3,0,104
Setembre,2013,2. Mitjà,5,2,3,105
Abril,2011,2. Mitjà,9,6,3,106
Juliol,2016,2. Mitjà ,2,2,0,107
Febrer,2013,3. Avançat,1,0,1,108
Setembre,2016,1. Bàsic ,11,9,2,109
Desembre,2011,2. Mitjà,7,4,3,110
Gener,2013,3. Avançat,1,0,1,111
Febrer,2011,2. Mitjà,2,1,1,112
Setembre,2016,3. Avançat ,1,0,0,113
Juny,2013,3. Avançat,2,0,2,114
Juliol,2011,2. Mitjà,4,4,0,115
Setembre,2016,2. Mitjà ,3,2,1,116
Abril,2014,1. Bàsic,6,5,1,117
Juny,2011,2. Mitjà,6,2,4,118
Octubre,2016,1. Bàsic ,3,2,1,119
Desembre,2014,1. Bàsic,5,2,3,120
Maig,2011,2. Mitjà,2,1,1,121
Octubre,2016, 2. Mitjà ,13,8,5,122
Febrer,2014,1. Bàsic,1,1,0,123
Novembre,2016,1. Bàsic ,3,3,0,124
Març,2011,2. Mitjà,5,5,0,125
Gener,2014,1. Bàsic,2,2,0,126
Novembre,2011,2. Mitjà,2,1,1,127
Novembre,2016,2. Mitjà ,3,3,0,128
Juliol,2014,1. Bàsic,7,5,2,129
Octubre,2011,2. Mitjà,3,3,0,130
Desembre,2016,1. Bàsic ,2,1,1,131
Juny,2014,1. Bàsic,7,4,3,132
Setembre,2011,2. Mitjà,5,5,0,133
Desembre,2016,2. Mitjà ,1,0,1,134
Maig,2014,1. Bàsic,9,9,0,135
Desembre,2011,3. Avançat,1,0,1,136
Novembre,2014,1. Bàsic,13,8,5,137
Novembre,2011,3. Avançat,2,0,2,138
Octubre,2014,1. Bàsic,16,13,3,139
Octubre,2011,3. Avançat,4,0,4,140
Setembre,2014,1. Bàsic,4,3,1,141
Abril,2012,1. Bàsic,7,3,4,142
Desembre,2014,2. Mitjà,5,1,4,143
Desembre,2012,1. Bàsic,10,9,1,144
Febrer,2014,2. Mitjà,3,3,0,145
Febrer,2012,1. Bàsic,5,5,0,146
Gener,2012,1. Bàsic,1,1,0,147
Juliol,2014,2. Mitjà,6,4,2,148
Juny,2014,2. Mitjà,5,3,2,149
Juliol,2012,1. Bàsic,18,9,9,150
Juny,2012,1. Bàsic,18,10,8,151
Maig,2014,2. Mitjà,5,2,3,152
Novembre,2014,2. Mitjà,6,6,0,153
Maig,2012,1. Bàsic,10,9,1,154
Març,2012,1. Bàsic,2,1,1,155
Octubre,2014,2. Mitjà,2,0,2,156
Novembre,2012,1. Bàsic,7,7,0,157
Setembre,2014,2. Mitjà,3,3,0,158
Octubre,2012,1. Bàsic,5,4,1,159
Desembre,2014,3. Avançat,2,0,2,160
Febrer,2014,3. Avançat,2,1,1,161
Setembre,2012,1. Bàsic,7,5,2,162
Març,2014,3. Avançat,2,0,2,163
Abril,2012,2. Mitjà,1,1,0,164
Desembre,2012,2. Mitjà,6,3,3,165
Novembre,2014,3. Avançat,5,0,5,166
Octubre,2014,3. Avançat,2,0,2,167
Gener,2012,2. Mitjà,5,2,3,168
