Mes,Any_,Nivell,Presentats,Aptes,No_aptes,FID
Abril,2015,1. Bàsic,5,5,0,1
Desembre,2015,1. Bàsic,3,2,1,2
Febrer,2015,1. Bàsic,6,3,3,3
Gener,2015,1. Bàsic,2,2,0,4
Juliol,2015,1. Bàsic,5,3,2,5
Juny,2015,1. Bàsic,4,1,3,6
Març,2015,1. Bàsic,2,1,1,7
Novembre,2015,1. Bàsic,10,7,3,8
Setembre,2015,1. Bàsic,4,4,0,9
Abril,2015,2. Mitjà,2,1,1,10
Desembre,2015,2. Mitjà,2,2,0,11
Febrer,2015,2. Mitjà,6,5,1,12
Gener,2015,2. Mitjà,1,0,1,13
Juliol,2015,2. Mitjà,4,3,1,14
Juny,2015,2. Mitjà,2,1,1,15
Maig,2015,2. Mitjà,1,0,1,16
Novembre,2015,2. Mitjà,7,5,2,17
Octubre,2015,2. Mitjà,2,0,2,18
Abril,2010,1. Bàsic,1,1,0,19
Juliol,2012,2. Mitjà,2,1,1,20
Setembre,2015,2. Mitjà,1,1,0,21
Desembre,2010,1. Bàsic,11,9,2,22
Juny,2012,2. Mitjà,2,1,1,23
Abril,2015,3. Avançat,1,1,0,24
Juliol,2010,1. Bàsic,15,14,1,25
Novembre,2012,2. Mitjà,3,1,2,26
Desembre,2015,3. Avançat,1,0,1,27
Juny,2010,1. Bàsic,7,6,1,28
Octubre,2012,2. Mitjà,4,3,1,29
Febrer,2015,3. Avançat,1,0,1,30
Maig,2010,1. Bàsic,1,1,0,31
Setembre,2012,2. Mitjà,3,0,3,32
Juliol,2015,3. Avançat,2,1,1,33
Març,2010,1. Bàsic,9,8,1,34
Juliol,2012,3. Avançat,1,0,1,35
Juny,2015,3. Avançat,1,0,1,36
Novembre,2010,1. Bàsic,17,10,7,37
Març,2012,3. Avançat,1,1,0,38
Març,2015,3. Avançat,1,1,0,39
Octubre,2010,1. Bàsic,12,9,3,40
Novembre,2012,3. Avançat,1,0,1,41
Setembre,2015,3. Avançat,1,0,1,42
Setembre,2010,1. Bàsic,12,9,3,43
Octubre,2012,3. Avançat,1,0,1,44
Octubre,2015,1. Bàsic ,0,0,0,45
Abril,2010,2. Mitjà,3,1,2,46
Setembre,2012,3. Avançat,1,0,1,47
Octubre,2015,2. Mitjà ,2,0,2,48
Desembre,2010,2. Mitjà,6,5,1,49
Abril,2013,1. Bàsic,1,1,0,50
Novembre,2015,1. Bàsic ,10,7,3,51
Febrer,2010,2. Mitjà,1,1,0,52
Desembre,2013,1. Bàsic,2,2,0,53
Novembre,2015,2. Mitjà ,7,5,2,54
Febrer,2013,1. Bàsic,4,2,2,55
Juliol,2010,2. Mitjà,7,6,1,56
Desembre,2015,1. Bàsic ,3,2,1,57
Gener,2013,1. Bàsic,10,7,3,58
Juny,2010,2. Mitjà,8,3,5,59
Desembre,2015,3. Avançat ,1,0,0,60
Juliol,2013,1. Bàsic,11,6,5,61
Maig,2010,2. Mitjà,3,3,0,62
Març,2010,2. Mitjà,5,4,1,63
Desembre,2015,2. Mitjà ,2,2,0,64
Juny,2013,1. Bàsic,7,5,2,65
Maig,2013,1. Bàsic,4,3,1,66
Gener,2016,1. Bàsic ,1,1,0,67
Novembre,2010,2. Mitjà,4,2,2,68
Octubre,2010,2. Mitjà,2,1,1,69
Gener,2016,2. Mitjà ,1,1,0,70
Març,2013,1. Bàsic,1,1,0,71
Setembre,2010,2. Mitjà,6,4,2,72
Febrer,2016,1. Bàsic ,1,0,1,73
Novembre,2013,1. Bàsic,3,2,1,74
Octubre,2013,1. Bàsic,1,1,0,75
Febrer,2016,3. Avançat ,0,0,0,76
Abril,2011,1. Bàsic,2,2,0,77
Desembre,2011,1. Bàsic,2,1,1,78
Febrer,2016,2. Mitjà ,2,1,1,79
Setembre,2013,1. Bàsic,7,4,3,80
Abril,2013,2. Mitjà,2,1,1,81
Març,2016,1. Bàsic ,3,3,0,82
Febrer,2011,1. Bàsic,2,2,0,83
