codi,Nom_centre,Tipus_consum,consum,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2012,F2013,F2014,F2015,F2016,FID
EP01,C. ANTONI FONT FORGAS S/N,Electricitat Quadres d'enllumenat,kWh,ES0031446460653001AQ0F,ENDESA ENERGÍA S.A.U.,410316267,,43613,43538,45234,40651,25340,70
HAB03,HABITATGE SOCIAL,Gas,kWh,ES0217010152158203LD,ENDESA ENERGÍA S.A.U.,430607813,,0,0,0,0,590,71
ENT07,LLAR DE JUBILATS-ASVAT,Electricitat dependències,kWh,ES0031446461088001XV0F,ENDESA ENERGÍA S.A.U.,409337725,,69344,66835,61357,65091,57952,72
EP02,C/ PUIGPARDINES. 58,Electricitat Quadres d'enllumenat,kWh,ES0031446459783002NS0F,ENDESA ENERGÍA S.A.U.,409248148,,12878,12444,14424,11774,5111,73
ADM10,ARXIU I SOLITÀRIA,Combustibles líquids dependències,KWh,,,10,01/01/2014,0,4903,0,0,0,74
ENT08,UEC I TRIS-TRAS,Electricitat dependències,kWh,ES0031448378663001KL0F,ENDESA ENERGÍA S.A.U.,409338143,,11455,9344,9697,9239,8594,75
EQU01,MERCAT MUNICIPAL,Combustibles líquids dependències,KWh,,,12,,0,0,0,14708,0,76
EP03,CASANOVAS TONA S/N COSTAT ET 1,Electricitat Quadres d'enllumenat,kWh,ES0031446459824001RM0F,ENDESA ENERGÍA S.A.U.,409263257,,21167,20594,22781,18943,9753,77
ENT09,TEATRE CENTRE,Electricitat dependències,kWh,ES0031446449226001TZ0F,ENDESA ENERGÍA S.A.U.,430578627,,0,0,0,0,12,78
EP04,GREMI TONIS ESQ.PUIGPARDINES,Electricitat Quadres d'enllumenat,kWh,ES0031448051709001XN0F,ENDESA ENERGÍA S.A.U.,409248812,,33193,31604,34182,26255,16778,79
EQU01,MERCAT MUNICIPAL,Electricitat dependències,kWh,ES0031448443599002FM0F,ENDESA ENERGÍA S.A.U.,409338756,,4619,4775,4245,4430,6802,80
EQU11,CENTRE EL CANAL,Combustibles líquids dependències,KWh,,,11,,29415,50006,107855,58830,49025,81
EP05,"PZ FRA BERNADI 0, ENLL.PUB, MANLLEU",Electricitat Quadres d'enllumenat,kWh,ES0031408506900001GH0F,ENDESA ENERGÍA S.A.U.,409268080,,1275,52455,53555,52589,53170,82
EQU01,MERCAT MUNICIPAL,Electricitat dependències,kWh,ES0031448443599003FY0F,ENDESA ENERGÍA S.A.U.,409236286,,294,171,138,130,253,83
ESC01,ESCOLA PUIG-AGUT,Combustibles líquids dependències,KWh,,,1,20/05/2014,222652,294150,63733,0,0,84
EP06,PGE.DELS OMS SN COSTAT ET 1623,Electricitat Quadres d'enllumenat,kWh,ES0031446458835001BM0F,ENDESA ENERGÍA S.A.U.,409263579,,28859,28360,33287,30273,31127,85
ESC03,ESCOLA POMPEU FABRA,Combustibles líquids dependències,KWh,,,2,,196100,215710,205905,201003,137270,86
EQU01,MERCAT MUNICIPAL,Electricitat dependències,kWh,ES0031448443599012FS0F,GAS NATURAL FENOSA,1139242376,27/11/2012,25595,0,0,0,0,87
EP07,VIVENDA GENERALITAT. 5,Electricitat Quadres d'enllumenat,kWh,ES0031446458101001EG0F,ENDESA ENERGÍA S.A.U.,409263803,,21093,12262,16020,15244,14850,88
EQU02,COMPORTA CANAL,Electricitat dependències,kWh,ES0031446453780001QZ0F,ENDESA ENERGÍA S.A.U.,409236642,,1144,1168,1169,1168,1174,89
ESP01,PAVELLÓ D'ESPORTS,Combustibles líquids dependències,KWh,,,3,,252969,171097,201003,163861,178422,90
EP08,PINTOR GUARDIA SN CANT.MOSSEN,Electricitat Quadres d'enllumenat,kWh,ES0031446458602001TH0F,ENDESA ENERGÍA S.A.U.,409326110,,46270,33722,39110,39801,39185,91
EQU03,ESCOMESA RESCLOSA TEULA I ENLLUMENAT PÚBLIC DOLCET,Electricitat dependències,kWh,ES0031408337087001ZC0F,ENDESA ENERGÍA S.A.U.,409242146,,8364,13649,3670,3652,5539,92
ESP03,CAMP DE FUTBOL,Combustibles líquids dependències,KWh,,,7,,0,49005,148575,156086,121651,93
EP09,AVDA DIPUTACIO. 18,Electricitat Quadres d'enllumenat,kWh,ES0031446462245001ZW0F,ENDESA ENERGÍA S.A.U.,409327230,,69850,70737,71642,63601,35310,94
VAR04,"EVENTUALS (Fires, Tonis, Pista Gel...)",Combustibles líquids dependències,KWh,,,13,,0,0,0,15845,47633,95
EQU04,TURBINES LES 3 FÀBRIQUES,Electricitat dependències,kWh,ES0031408359020001CJ0F,ENDESA ENERGÍA S.A.U.,409321285,,12658,5574,4200,5067,1409,96
VEH01,VEHICLES BRIGADA MUNICIPAL,Combustibles líquids altres,l,,,9,17/09/2013,3443,3758,0,0,0,97
EP10,VILACETRU-S/N 1,Electricitat Quadres d'enllumenat,kWh,ES0031446462179001LN0F,ENDESA ENERGÍA S.A.U.,409249367,,2911,1388,0,0,0,98
EQU05,ESCOMESA COMPORTES CAMP DE FUTBOL,Electricitat dependències,kWh,ES0031408373739001WW0F,ENDESA ENERGÍA S.A.U.,409231781,,481,661,285,463,475,99
EP11,VOLTREGA 155-2,Electricitat Quadres d'enllumenat,kWh,ES0031446462180001VT0F,ENDESA ENERGÍA S.A.U.,409250126,,24051,21017,22001,21552,21739,100
EQU06,CARGOLA MERCAT MUNICIPAL,Electricitat dependències,kWh,ES0031408435824001TK0F,ENDESA ENERGÍA XXI,-1323379968,31/10/2011,0,0,0,0,0,101
EP12,AVDA DIPUTACIO DAVANT Nº6,Electricitat Quadres d'enllumenat,kWh,ES0031446462012001AS0F,ENDESA ENERGÍA S.A.U.,409327668,,42199,38304,45350,38769,23308,102
EQU07,TURBINES HIDRAULIQUES,Electricitat dependències,kWh,ES0031408413499001VV0F,ENDESA ENERGÍA S.A.U.,409232595,,0,138,2453,5058,5085,103
EP13,PTGE VENDRELL. SN,Electricitat Quadres d'enllumenat,kWh,ES0031446461202001EY0F,ENDESA ENERGÍA S.A.U.,409328010,,40666,40693,40319,38867,35204,104
EQU08,SANT JAUME,Electricitat dependències,kWh,ES0031446462839001BG0F,ENDESA ENERGÍA S.A.U.,409267778,,16327,18902,18160,18960,19555,105
EP14,PASSEIG TER S/N PAVELLO ESPORT,Electricitat Quadres d'enllumenat,kWh,ES0031446462880001EH0F,ENDESA ENERGÍA S.A.U.,409264240,,51735,51629,52425,51461,54379,106
EQU09,CEMENTIRI,Electricitat dependències,kWh,ES0031446460995001SY0F,ENDESA ENERGÍA S.A.U.,409237277,,1611,2706,5149,1938,1961,107
EP15,C/ VAZQUEZ MELLA. 24,Electricitat Quadres d'enllumenat,kWh,ES0031408345376001LG0F,ENDESA ENERGÍA S.A.U.,409268177,,48770,51049,53003,47529,31137,108
EQU10,FONT I ASCENSOR PLAÇA FRA BERNADÍ,Electricitat dependències,kWh,ES0031408501445001YC0F,ENDESA ENERGÍA S.A.U.,409321795,,2041,6013,8665,8415,7903,109
