OBJECTID_1,Districte,Secció,Col_Electo,Districte_,CDC,ERC_CATSÍ,ECP,PSC_PSOE,PP,C_s,PACMA,RECORTES_C,PCPC,CENS,VOTS_COMPT,ABSTENCION,VOTS_NULS,EN_BLANC,Gràfic,Més_votat
1,02,001,Casals Gràcia,02-001,216,225,116,91,56,34,12,2,0,1228,767,461,5,10,7.62,ERC-CATSÍ - Esquerra Republicana/Catalunya Sí
2,02,002,Casals Gràcia,02-002,159,161,127,138,78,57,5,1,2,1234,744,490,5,11,7.39,ERC-CATSÍ - Esquerra Republicana/Catalunya Sí
3,02,004,Casals Gràcia,02-004,156,148,85,84,46,47,2,0,0,974,576,398,4,4,5.72,CDC - Convergència Democràtica de Catalunya
4,03,003,Puig-Agut,03-003,100,111,117,138,79,73,13,2,3,1110,647,463,9,2,6.38,PSC-PSOE -Partit dels Socialistes de Catalunya
5,03,001,Puig-Agut,03-001,126,129,105,120,67,70,5,0,0,1126,633,493,8,3,6.25,ERC-CATSÍ - Esquerra Republicana/Catalunya Sí
6,03,002,Puig-Agut,03-002,203,216,140,108,55,38,13,5,3,1303,790,513,6,2,7.84,ERC-CATSÍ - Esquerra Republicana/Catalunya Sí
7,02,003,Can Puget,02-003,166,163,60,48,31,18,4,0,1,789,502,287,4,7,4.98,CDC - Convergència Democràtica de Catalunya
8,04,001,Pompeu Fabra,04-001,142,119,36,23,27,27,3,0,2,618,381,237,1,1,3.8,CDC - Convergència Democràtica de Catalunya
9,01,002,El Carme,01-002,134,119,52,30,27,12,3,0,0,621,388,233,3,9,3.85,CDC - Convergència Democràtica de Catalunya
10,04,002,Pompeu Fabra,04-002,281,303,95,67,47,31,13,3,0,1380,859,521,10,9,8.49,ERC-CATSÍ - Esquerra Republicana/Catalunya Sí
11,01,001,El Carme,01-001,300,255,106,60,56,39,7,1,1,1376,841,535,7,9,8.34,CDC - Convergència Democràtica de Catalunya
12,03,004,Puig-Agut,03-004,114,119,148,115,92,58,3,1,0,1160,662,498,5,7,6.57,ECP - En Comú Podem/Guanyem el Canvi
