codi,Centre,Tipus_consum,consum,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2010,F2011,F2012,F2013,F2014,F2015,FID
BOM01,EDIFICI-BOMBA AIGUA,Aigua,m3,,SOREA,111100000000,05/09/2010,0,,,,,,37
ESC06,ESCOLA TALLER CAN PATALLARGA,Aigua,m3,,SOREA,4751708,09/06/2011,167,34,,,,,38
ESC05,EDI-ESCOLA.ADULT,Electricitat dependències,Kwh,ES0031446458438001TP0F,,40035615049,10/08/2010,3341,,,,,,39
ESP02,PISCINA COBERTA,Aigua,m3,,SOREA,4756431,09/06/2011,11448,5473,,,,,40
EQU01,MERCAT MUNICIPAL,Electricitat dependències,Kwh,ES0031446458440001HF0F,,40035615053,30/06/2010,33087,,,,,,41
FON03,FONT PARC C/ ESQUIROL,Aigua,m3,,SOREA,4755785,09/06/2011,4,4,,,,,42
ESC05,EDI-ESCOLA.ADULT,Gas,Kwh,,,14850235,28/06/2010,47826,,,,,,43
FON15,FONT DEL C/CASSERRES,Aigua,m3,,SOREA,4756699,09/06/2011,225,2,,,,,44
ADM06,OFICINA PROMOCIÓ ECONÒMICA,Aigua,m3,,SOREA,111100000000,07/06/2010,3,,,,,,45
REG12,GIRATORI CTRA RODA /AV. GARROTXA,Aigua,m3,,SOREA,4755820,09/06/2011,429,184,,,,,46
ADM04,JUTJAT DE PAU,Electricitat dependències,Kwh,ES0031446461084001CL0F,,40035242848,15/05/2010,1058,,,,,,47
REG34,BOCA REG CASTELLOT LA SALVA,Aigua,m3,,SOREA,4755854,09/06/2011,0,0,,,,,48
MAG01,NAU+ENLLUM. C ST. FERRAN. 13 GAS MANLLEU,Electricitat dependències,Kwh,ES0031446449166001JK0F,,40034700156,11/05/2010,0,,,,,,49
ENT02,MUSEU INDUSTRIAL DEL TER,Aigua,m3,,SOREA,111100000000,08/06/2011,346,335,,,,,50
ESC05,EDI-ESCOLA.ADULT,Aigua,m3,,SOREA,111100000000,04/03/2010,10,,,,,,51
ESC01,ESCOLA PUIG-AGUT,Aigua,m3,,SOREA,4756639,08/06/2011,836,380,,,,,52
ADM02,AJUNTAMENT,Electricitat dependències,Kwh,ES0031446461083001TP0F,ENDESA ENERGÍA S.A.U.,82013713620,,171978,155548,162314,156190,153437,148505,53
ESP02,PISCINA COBERTA,Aigua,m3,,SOREA,4751714,08/06/2011,2794,51841,,,,,54
ESP02,PISCINA COBERTA,Aigua,m3,,SOREA,4751707,08/06/2011,53,0,,,,,55
ADM06,OFICINA PROMOCIÓ ECONÒMICA,Electricitat dependències,Kwh,ES0031446462914001YR0F,ENDESA ENERGÍA S.A.U.,82013714360,,43250,38812,42890,37089,39647,46575,56
FON09,FONT PG. SANT JOAN,Aigua,m3,,SOREA,4755802,08/06/2011,24,6,,,,,57
ADM11,BIBLIOTECA MOSSEN BLANCAFORT,Electricitat dependències,Kwh,ES0031446462070001HD0F,ENDESA ENERGÍA S.A.U.,82013715520,,10816,12504,12333,12381,11979,13773,58
FON13,FONT PARC DE MONTSERRAT,Aigua,m3,,SOREA,4755847,08/06/2011,0,0,,,,,59
ADM13,NAUS PYSESA,Electricitat dependències,Kwh,ES0031446462621001PK0F,ENDESA ENERGÍA S.A.U.,82013714833,,42323,116270,38639,68604,58390,59204,60
INC01,CONTRAINCENDIS,Aigua,m3,,SOREA,4756663,08/06/2011,0,0,,,,,61
ENT01,CAN PUGET,Electricitat dependències,Kwh,ES0031446461220001EC0F,ENDESA ENERGÍA S.A.U.,82013614551,,1138,946,736,588,1033,5073,62
ENT01,CAN PUGET,Electricitat dependències,Kwh,ES0031408201050001LQ0F,ENDESA ENERGÍA S.A.U.,82030322571,,,,,,63973,84533,63
NMU01,CONSORCI HOSPITALARI DE VIC,Aigua,m3,,SOREA,4756815,08/06/2011,15770,5366,,,,,64
ENT01,CAN PUGET,Electricitat dependències,Kwh,ES0031446461219001WD0F,ENDESA ENERGÍA S.A.U.,82013715953,,22908,10715,7700,11914,18712,26724,65
NMU02,COLOM SCP,Aigua,m3,,SOREA,4751740,08/06/2011,697,364,,,,,66
