any_,Homes,Dones,Total,FID
2016,776.1,944.8,1720.8,1
2015,913.3,1039.7,1953,2
2014,1033.3,1092.8,2126.2,3
2013,1149.9,1152.7,2302.6,4
2012,1123.7,1101.6,2225.3,5
2011,1100.5,1069.6,2170.1,6
2010,1007.2,1000.5,2007.7,7
2009,929.8,905.9,1835.8,8
2008,513.6,620.5,1134.1,9
2007,326.8,539.8,866.6,10
2006,289.8,551.8,841.7,11
2005,296.5,581.8,878.3,12
