OBJECTID,Long,Tipologia
1,4336,carril bici en paviment tou
2,328,carril bici sobre vorera
3,52,carrer de plataforma única amb convivència de la bicicleta
4,93,carrer de plataforma única amb convivència de la bicicleta
5,95,carrer de plataforma única amb convivència de la bicicleta
6,23,carrer de plataforma única amb convivència de la bicicleta
7,85,carrer de plataforma única amb convivència de la bicicleta
8,186,carrer de plataforma única amb convivència de la bicicleta
9,35,carrer de plataforma única amb convivència de la bicicleta
10,72,carrer de plataforma única amb convivència de la bicicleta
11,73,carrer de plataforma única amb convivència de la bicicleta
12,6,carrer de plataforma única amb convivència de la bicicleta
13,69,carrer de plataforma única amb convivència de la bicicleta
14,85,carrer de plataforma única amb convivència de la bicicleta
15,22,carrer de plataforma única amb convivència de la bicicleta
16,111,carrer de plataforma única amb convivència de la bicicleta
17,347,carrer de plataforma única amb convivència de la bicicleta
18,326,carrer de plataforma única amb convivència de la bicicleta
19,82,carrer de plataforma única amb convivència de la bicicleta
20,120,carrer de plataforma única amb convivència de la bicicleta
21,328,carrer de plataforma única amb convivència de la bicicleta
22,328,carrer de plataforma única amb convivència de la bicicleta
23,215,carrer de plataforma única amb convivència de la bicicleta
24,54,carrer de plataforma única amb convivència de la bicicleta
25,130,carrer de plataforma única amb convivència de la bicicleta
26,34,carrer de plataforma única amb convivència de la bicicleta
27,16,carrer de plataforma única amb convivència de la bicicleta
28,29,carrer de plataforma única amb convivència de la bicicleta
29,132,carrer de plataforma única amb convivència de la bicicleta
30,161,carrer de plataforma única amb convivència de la bicicleta
31,156,carrer de plataforma única amb convivència de la bicicleta
32,226,carrer de plataforma única amb convivència de la bicicleta
33,45,carrer de plataforma única amb convivència de la bicicleta
34,55,carrer de plataforma única amb convivència de la bicicleta
35,55,carrer de plataforma única amb convivència de la bicicleta
36,51,carrer de plataforma única amb convivència de la bicicleta
