X,Y,OBJECTID,Data_incor,Mes,Expedient,Sexe,Edat,Municipi,Franja_eda,Barri
2.288249379291947,41.999993287439544,142,05/02/2015,febrer,S,Dona,24,Manlleu,16 a 24 anys,Cavalleria
2.285257447021733,42.007417612907787,143,05/02/2015,febrer,S,Dona,17,Manlleu,16 a 24 anys,Erm
2.285257447021733,42.007417612907787,144,06/02/2015,febrer,S,Home,59,Manlleu,55 a 64 anys,Erm
2.288864333846581,42.003979788014355,145,11/02/2015,febrer,S,Home,51,Manlleu,45 a 54 anys,El Puig
2.285257447021733,42.007417612907787,146,12/02/2015,febrer,S,Dona,36,Manlleu,35 a 44 anys,Erm
2.283686186496929,41.998779363903637,147,16/02/2015,febrer,S,Home,17,Manlleu,16 a 24 anys,Baix Vila
2.285257447021733,42.007417612907787,148,16/02/2015,febrer,S,Dona,18,Manlleu,16 a 24 anys,Erm
2.285257447021733,42.007417612907787,149,16/02/2015,febrer,S,Home,31,Manlleu,25 a 34 anys,Erm
2.288249379291947,41.999993287439544,150,19/02/2015,febrer,S,Dona,36,Manlleu,35 a 44 anys,Cavalleria
2.285257447021733,42.007417612907787,151,19/02/2015,febrer,S,Dona,42,Manlleu,35 a 44 anys,Erm
2.285257447021733,42.007417612907787,152,19/02/2015,febrer,S,Home,61,Manlleu,55 a 64 anys,Erm
2.285257447021733,42.007417612907787,153,18/02/2015,febrer,S,Dona,34,Manlleu,25 a 34 anys,Erm
2.285257447021733,42.007417612907787,154,23/02/2015,febrer,S,Dona,26,Manlleu,25 a 34 anys,Erm
2.282097921590838,42.002046867599432,155,19/02/2015,febrer,S,Home,58,Manlleu,55 a 64 anys,Nou
2.272945362689204,42.001253277311783,156,26/02/2015,febrer,S,Home,21,Manlleu,16 a 24 anys,Gràcia
2.272945362689204,42.001253277311783,157,23/02/2015,febrer,S,Dona,33,Manlleu,25 a 34 anys,Gràcia
2.283686186496929,41.998779363903637,158,26/02/2015,febrer,S,Home,22,Manlleu,16 a 24 anys,Baix Vila
2.284636627170748,41.9957537720855,159,25/02/2015,febrer,S,Home,21,Manlleu,16 a 24 anys,Vista Alegre
2.283686186496929,41.998779363903637,160,04/03/2015,març,S,Dona,26,Manlleu,25 a 34 anys,Baix Vila
2.285257447021733,42.007417612907787,161,25/02/2015,febrer,S,Home,20,Manlleu,16 a 24 anys,Erm
2.282097921590838,42.002046867599432,162,02/03/2015,març,S,Home,19,Manlleu,16 a 24 anys,Nou
2.291805414789052,42.009255988666311,163,02/03/2015,març,S,Home,23,Manlleu,16 a 24 anys,La Coromina
2.285257447021733,42.007417612907787,164,05/03/2015,març,S,Home,20,Manlleu,16 a 24 anys,Erm
2.285257447021733,42.007417612907787,165,09/03/2015,març,S,Dona,32,Manlleu,25 a 34 anys,Erm
2.288864333846581,42.003979788014355,166,09/03/2015,març,S,Home,56,Manlleu,55 a 64 anys,El Puig
2.279067203396399,42.004731733241947,167,04/03/2015,març,S,Home,35,Manlleu,35 a 44 anys,Vilamirosa
2.285257447021733,42.007417612907787,168,12/03/2015,març,S,Home,57,Manlleu,55 a 64 anys,Erm
2.285257447021733,42.007417612907787,169,05/03/2015,març,S,Home,20,Manlleu,16 a 24 anys,Erm
2.285257447021733,42.007417612907787,170,11/03/2015,març,S,Dona,27,Manlleu,25 a 34 anys,Erm
2.288249379291947,41.999993287439544,171,11/03/2015,març,S,Dona,41,Manlleu,35 a 44 anys,Cavalleria
2.283686186496929,41.998779363903637,172,16/03/2015,març,S,Home,35,Manlleu,35 a 44 anys,Baix Vila
2.288249379291947,41.999993287439544,173,09/03/2015,març,S,Dona,22,Manlleu,16 a 24 anys,Cavalleria
2.284636627170748,41.9957537720855,174,13/03/2015,març,S,Dona,19,Manlleu,16 a 24 anys,Vista Alegre
2.279067203396399,42.004731733241947,175,09/03/2015,març,S,Home,50,Manlleu,45 a 54 anys,Vilamirosa
2.285257447021733,42.007417612907787,176,18/03/2015,març,S,Home,21,Manlleu,16 a 24 anys,Erm
2.29373360322073,42.001613054857437,177,16/03/2015,març,S,Dona,40,Manlleu,35 a 44 anys,La Salut
2.285257447021733,42.007417612907787,178,17/03/2015,març,S,Dona,41,Manlleu,35 a 44 anys,Erm
2.283686186496929,41.998779363903637,179,16/03/2015,març,S,Home,33,Manlleu,25 a 34 anys,Baix Vila
2.29373360322073,42.001613054857437,180,16/03/2015,març,S,Home,46,Manlleu,45 a 54 anys,La Salut
2.285257447021733,42.007417612907787,181,19/03/2015,març,S,Dona,21,Manlleu,16 a 24 anys,Erm
2.285257447021733,42.007417612907787,182,19/03/2015,març,S,Home,23,Manlleu,16 a 24 anys,Erm
2.288249379291947,41.999993287439544,183,19/03/2015,març,S,Home,37,Manlleu,35 a 44 anys,Cavalleria
2.285257447021733,42.007417612907787,184,18/03/2015,març,S,Home,18,Manlleu,16 a 24 anys,Erm
2.29735487280312,41.996745153904243,185,19/03/2015,març,S,Dona,59,Manlleu,55 a 64 anys,disseminats
2.285257447021733,42.007417612907787,186,19/03/2015,març,S,Dona,28,Manlleu,25 a 34 anys,Erm
2.285257447021733,42.007417612907787,187,25/03/2015,març,S,Dona,19,Manlleu,16 a 24 anys,Erm
2.285257447021733,42.007417612907787,188,26/03/2015,març,S,Home,33,Manlleu,25 a 34 anys,Erm
2.284636627170748,41.9957537720855,189,25/03/2015,març,S,Home,44,Manlleu,35 a 44 anys,Vista Alegre
2.285257447021733,42.007417612907787,190,23/03/2015,març,S,Home,42,Manlleu,35 a 44 anys,Erm
2.279067203396399,42.004731733241947,191,23/03/2015,març,S,Home,59,Manlleu,55 a 64 anys,Vilamirosa
2.272945362689204,42.001253277311783,192,30/03/2015,març,S,Dona,19,Manlleu,16 a 24 anys,Gràcia
2.288249379291947,41.999993287439544,193,26/03/2015,març,S,Home,18,Manlleu,16 a 24 anys,Cavalleria
2.279067203396399,42.004731733241947,194,31/03/2015,març,S,Home,17,Manlleu,16 a 24 anys,Vilamirosa
2.285257447021733,42.007417612907787,195,30/03/2015,març,S,Home,43,Manlleu,35 a 44 anys,Erm
2.285257447021733,42.007417612907787,196,01/04/2015,abril,S,Home,50,Manlleu,45 a 54 anys,Erm
2.288864333846581,42.003979788014355,197,01/04/2015,abril,S,Dona,24,Manlleu,16 a 24 anys,El Puig
2.29373360322073,42.001613054857437,198,08/04/2015,abril,S,Home,18,Manlleu,16 a 24 anys,La Salut
2.285257447021733,42.007417612907787,199,01/04/2015,abril,S,Home,59,Manlleu,55 a 64 anys,Erm
2.285257447021733,42.007417612907787,200,01/04/2015,abril,S,Dona,52,Manlleu,45 a 54 anys,Erm
2.285257447021733,42.007417612907787,201,09/04/2015,abril,S,Home,48,Manlleu,45 a 54 anys,Erm
2.288864333846581,42.003979788014355,202,08/04/2015,abril,S,Home,31,Manlleu,25 a 34 anys,El Puig
2.285257447021733,42.007417612907787,203,09/04/2015,abril,S,Home,49,Manlleu,45 a 54 anys,Erm
2.272945362689204,42.001253277311783,204,08/04/2015,abril,S,Dona,40,Manlleu,35 a 44 anys,Gràcia
2.285257447021733,42.007417612907787,205,09/04/2015,abril,S,Dona,33,Manlleu,25 a 34 anys,Erm
2.283686186496929,41.998779363903637,206,13/04/2015,abril,S,Home,52,Manlleu,45 a 54 anys,Baix Vila
2.272945362689204,42.001253277311783,207,09/04/2015,abril,S,Home,18,Manlleu,16 a 24 anys,Gràcia
2.285257447021733,42.007417612907787,208,13/04/2015,abril,S,Home,56,Manlleu,55 a 64 anys,Erm
2.285257447021733,42.007417612907787,209,15/04/2015,abril,S,Home,56,Manlleu,55 a 64 anys,Erm
2.285257447021733,42.007417612907787,210,20/04/2015,abril,S,Dona,51,Manlleu,45 a 54 anys,Erm
2.285257447021733,42.007417612907787,211,10/04/2015,abril,S,Dona,32,Manlleu,25 a 34 anys,Erm
2.291805414789052,42.009255988666311,212,13/04/2015,abril,S,Dona,45,Manlleu,45 a 54 anys,La Coromina
2.288864333846581,42.003979788014355,213,21/04/2015,abril,S,Dona,22,Manlleu,16 a 24 anys,El Puig
