Tribut,F2017,F2016,F2015,F2014,F2013,F2012,F2011,F2010,FID
IBI urbana - Tipus,0.666,0.666,0.706,0.706,0.706,0.718,0.68,0.719,1
IBI rústega - Tipus,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,2
Plusvàlua - coeficient antiguitat - Fins a 5 anys,3.53,3.15,3.15,3.15,3.15,3.1,3.4,3.4,3
Plusvàlua - coeficient antiguitat - Fins a 10 anys,3.02,2.7,2.7,2.7,2.7,2.6,2.8,2.8,4
Plusvàlua - coeficient antiguitat - Fins a 15 anys,2.76,2.46,2.46,2.46,2.46,2.35,2.3,2.3,5
Plusvàlua - coeficient antiguitat - Fins a 20 anys,2.59,2.31,2.31,2.31,2.31,2.2,2,2,6
Plusvàlua - coeficient antiguitat - Més de 20 anys,2.59,2.31,2.31,2.31,2.31,2.2,2,2,7
Plusvàlua - Tipus de gravamen,30,30,30,30,30,30,30,30,8
IAE - Categoria fiscal de via pública 1a,2.33,2.33,2.33,2.33,2.33,2.26,2.19,2.19,9
IAE - Categoria fiscal de via pública 2a,1.91,1.91,1.91,1.91,1.91,1.85,1.79,1.79,10
IAE - Categoria fiscal de via pública 3a,1.33,1.33,1.33,1.33,1.33,1.29,1.25,1.25,11
IAE - Categoria fiscal de via pública 4a,1.18,1.18,1.18,1.18,1.18,1.18,1.14,1.14,12
