X,Y,OBJECTID_1,ADREÇA,DISTRICTE,SECCIONS,NOM,Nombre_Vot,r_Avançam,n_Avançam,Total_Vots,IVC_EUIA_E,ERC_JFM_AM,PSC_CP,MOVIMENT_D,PxC,CUP_PA,CiU,PP,En_Blanc,Nuls,TOTAL_PERCENT,No_han_votat,A_Candidatures,Vàlids,per_dividir_vots_totals
2.284157270057337,41.999117434375897,1,C. Bisbe Morgades 3,01,001 i 002,El Carme,2025,649,925,1176,35,362,94,122,13,192,274,33,43,8,20.25,849,1125,1168,11.76
2.283672449187489,42.001126934860636,2,Pl. de Dalt Vila 3,02,003,Can Puget,769,279,368,460,15,139,27,34,10,90,123,8,10,4,7.69,309,446,456,4.6
2.274539771423452,42.001482797903421,3,C. Roca 2 / C. Voltregà 101,02,"001, 002 i 004",Casals Gràcia,3474,970,1394,1790,117,517,207,142,43,245,396,71,46,3,34.74,1684,1738,1784,17.9
2.284676733698922,42.005356608226435,4,C. Pintor Guàrdia 8 / C. Bellfort 12,03,"001, 002, 003 i 004",Puig-Agut,4749,1291,1840,2368,213,501,456,156,73,298,442,150,54,30,47.49,2381,2289,2343,23.68
2.297221611952751,42.003058247223805,5,C. Pompeu Fabra 38,04,001 i 002,Pompeu Fabra,2015,640,880,1158,38,367,85,58,10,223,277,41,39,11,20.15,857,1099,1138,11.58
