"AÑO","TITULO","FECHA_ELECCIONES","DISTRITO","SECCION","MESA","PARTIDO","NUM_VOTOS","PORCENTAJE"
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","Electores",470,100
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","Abstenciones",208,44.2553191489361702127659574468085106383
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","Votantes",262,55.7446808510638297872340425531914893617
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","Blancos",7,2.67175572519083969465648854961832061069
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","Validos",262,100
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","Nulos",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","PSOE",67,25.57251908396946564885496183206106870229
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","PP",153,58.39694656488549618320610687022900763359
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","IU_BA",9,3.43511450381679389312977099236641221374
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","UPYD",19,7.25190839694656488549618320610687022901
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","LV_GVE",3,1.14503816793893129770992366412213740458
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","II",1,.3816793893129770992366412213740458015267
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","PACMA",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","EDP_V",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","AA",1,.3816793893129770992366412213740458015267
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","PCPE",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","UNA",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","DN",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","PUM_J",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","IZAN_RG",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","LIBERTAS",1,.3816793893129770992366412213740458015267
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","AES",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","CDS",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","FN",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","IF",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","FE_JONS",1,.3816793893129770992366412213740458015267
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","POSI",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","SAIN",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","PFYV",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","MSR",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","PREPAL",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","CEU",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","PH",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","FA",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","PSA",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","RC",0,0
2009,"Elecciones al Parlamento Europeo","07-JUN-09",1,1,"A","CDL",0,0
