NUM_BIEN,ORDEN,NOMBRE,UTILIZACION,SUPERFICIE_TITULO,AÑO_CONSTRUCCION,SITUACION,LON,LAT,ENTIDAD
"751","1","Fuente de Rozaes o Podre, con lavadero y abrevadero.","Fuente, lavadero y abrevadero.","23","0","Camín de la Fuente Rozaes, 125. Santurio (barrio L´Aldea)","","","Ayuntamiento de Gijón/Xixón"
"771","1","Polígono 103, Parcela 195 (Catastro de 1954) Fuente de Isabel II.: Fuente y Lavadero de Isabel II.","Fuente, lavadero y abrevadero.","194.7","1867","Barrio Pontica","","","Ayuntamiento de Gijón/Xixón"
"1046","1","Centro Municipal Antiguas Escuelas de Poago.","Centro Social","176.09","2004","Camín de la Zampulla, 235. Poago (barrio Zarracina)","","","Ayuntamiento de Gijón/Xixón"
"1114","1","Local nº 1. Centro Cívico y Social de Cenero.","Asociación de Vecinos L`Abadía de Cenero","96.16","2004","Sotiello. L´Abadía Cenero","","","Ayuntamiento de Gijón/Xixón"
"1114","2","Local nº 2. Centro Cívico y Social de Cenero.","Asociación de Vecinos L`Abadía de Cenero","55.76","2004","Sotiello. L´Abadía Cenero","","","Ayuntamiento de Gijón/Xixón"
"1114","3","Local nº 3. Centro Cívico y Social de Cenero.","Asociación de Vecinos L`Abadía de Cenero","97.25","2004","Sotiello. L´Abadía Cenero","","","Ayuntamiento de Gijón/Xixón"
"1116","1","Edificio antigua escuela rural en Lavandera.","","182.9","1937","Carretera de Lavandera, 3246. Lavandera (barrio Tueya)","","","Ayuntamiento de Gijón/Xixón"
"1140","1","Edificio Centro de Interpretación de la Naturaleza del Monte de Deva. Finca Coto de Apolinar de Rato (antigua vivienda)","Centro de Interpretación de la Naturaleza","300","0","Barrio Rioseco, s/n  (Monte Deva)","","","Ayuntamiento de Gijón/Xixón"
"1140","2","Edificio nave agrícola en la finca Coto de Apolinar de Rato. Centro de Interpretación de la Naturaleza","Centro de Interpretación de la Naturaleza y ACPRA,","3006","1989","Barrio Rioseco, s/n  (Monte Deva)","","","Ayuntamiento de Gijón/Xixón"
"1141","1","Edificio Centro de investigación del Parque Arqueológico de la Campa Torres.","Sala exposiciones","0","0","Carretera de La Campa Torres, 3824","","","Ayuntamiento de Gijón/Xixón"
"1141","2","Edificio acogida de visitantes del Parque Arqueológico de la Campa Torres.","","0","1998","Carretera de La Campa Torres, 3824","","","Ayuntamiento de Gijón/Xixón"
"1141","3","Edificio biblioteca del Parque Arqueológico de la Campa Torres.","","0","1998","Carretera de La Campa Torres, 3824","","","Ayuntamiento de Gijón/Xixón"
"1142","1","Edificio de Recepción de Visitantes del Parque Arqueológico Veranes","Edificio de recepción visitas","0","2006","Camín de la Venta Veranes","","","Ayuntamiento de Gijón/Xixón"
"1142","2","Edificio para protección mosaico Parque Arqueológico de Veranes","","0","2007","Camín de la Venta Veranes","","","Ayuntamiento de Gijón/Xixón"
"1143","1","Edificio principal Casa Rosario Acuña","Escuela Taller "Torre del Reloj"","610","0","Camino de Los Areces, 1258 (Somió. Barrio Las Caserías)","","","Ayuntamiento de Gijón/Xixón"
"1143","2","Edificio almacen, Casa Rosario Acuña","Escuela Taller "Torre del Reloj"","0","1993","Camino de Los Areces, 1258 (Somió. Barrio Las Caserías)","","","Ayuntamiento de Gijón/Xixón"
"1144","1","Edificio principal de la Casa de Nicanor Piñole","Vivienda","180","1840","Camín del Estanco, 546 - Barrio La Pontica","","","Ayuntamiento de Gijón/Xixón"
"1144","2","Panera en la finca Casa Nicanor Piñole","Granero","0","1840","Camín del Estanco, 546 - Barrio La Pontica","","","Ayuntamiento de Gijón/Xixón"
"1145","1","Edificio principal campo de golf  La Llorea.","","5745","0","Carretera N-632 (Ribadesella-Canero) 6779 - Llorea","","","Ayuntamiento de Gijón/Xixón"
"1145","2","Edificio antiguo palacio campo de golf  La Llorea.","Hotel","1484.5","0","Carretera N-632 (Ribadesella-Canero) 6779 - Llorea","","","Ayuntamiento de Gijón/Xixón"
"1145","3","Edificio vigilantes campo de golf  La Llorea","","128","0","Carretera N-632 (Ribadesella-Canero) 6779 - Llorea","","","Ayuntamiento de Gijón/Xixón"
"1145","4","Edificio mantenimiento campo de golf  La Llorea.","Utilizado por le empresa de mantenimiento","171","0","Carretera N-632 (Ribadesella-Canero) 6779 - Llorea","","","Ayuntamiento de Gijón/Xixón"
"1145","5","Edificio almacén campo de golf de La Llorea.","","171","0","Carretera N-632 (Ribadesella-Canero) 6779 - Llorea","","","Ayuntamiento de Gijón/Xixón"
"1145","6","Edificio taller campo de golf  La Llorea","","265.65","0","Carretera N-632 (Ribadesella-Canero) 6779 - Llorea","","","Ayuntamiento de Gijón/Xixón"
"1146","1","Edificio Servicios Generales del Camping Municipal de Deva","Ubicación de Servicios Generales","513.36","1991","Camín de La Pasadiella, 85 (Cabueñes. Barrio La Pontica)","","","Ayuntamiento de Gijón/Xixón"
"1146","2","Edificio de recepción, cafetería, del Camping Municipal de Deva","Ubicación de Cafetería","738.72","1991","Camín de La Pasadiella, 85 (Cabueñes. Barrio La Pontica)","","","Ayuntamiento de Gijón/Xixón"
"1146","3","Edificio tienda del Camping Municipal de Deva","Recepción, oficinas y sala del conserje.","192","1991","Camín de La Pasadiella, 85 (Cabueñes. Barrio La Pontica)","","","Ayuntamiento de Gijón/Xixón"
"1146","4","Edificio vivienda del Camping Municipal de Deva","Vivienda del Conserje","135.51","1992","Camín de La Pasadiella, 85 (Cabueñes. Barrio La Pontica)","","","Ayuntamiento de Gijón/Xixón"
"1146","5","Edificio almacen del Camping Municipal de Deva","Ubicación de almacén","30.25","1991","Camín de La Pasadiella, 85 (Cabueñes. Barrio La Pontica)","","","Ayuntamiento de Gijón/Xixón"
"1146","6","Edificio Aseos 1 del Camping Municipal de Deva","Vestuarios, Lavaderos y aseos","169","1991","Camín de La Pasadiella, 85 (Cabueñes. Barrio La Pontica)","","","Ayuntamiento de Gijón/Xixón"
"1146","7","Edificio Aseos 2 del Camping Municipal de Deva","Vestuarios Lavaderos y aseos","169","1991","Camín de La Pasadiella, 85 (Cabueñes. Barrio La Pontica)","","","Ayuntamiento de Gijón/Xixón"
"1146","8","Edificio Aseos 3 del Camping Municipal de Deva","Vestuarios, Lavaderos y aseos","169","1991","Camín de La Pasadiella, 85 (Cabueñes. Barrio La Pontica)","","","Ayuntamiento de Gijón/Xixón"
"1147","1","Edificio principal del Colegio Público Jacinto Benavente","Colegio Público","0","1977","Camín de la Iglesia, 342 - Vega","","","Ayuntamiento de Gijón/Xixón"
"1147","2","Edificio de Educación Infantil del Colegio Público Jacinto Benavente","Colegio Público. Educación Infantil.","0","1977","Camín de la Iglesia, 342 - Vega","","","Ayuntamiento de Gijón/Xixón"
"1147","3","Edificio gimnasio del Colegio Público Jacinto Benavente","Gimnasio del Colegio Público","0","1977","Camín de la Iglesia, 342 - Vega","","","Ayuntamiento de Gijón/Xixón"
"1147","4","Edificio anexo del Colegio Público Jacinto Benavente","Laboratorio del Colegio Público","0","0","Camín de la Iglesia, 342 - Vega","","","Ayuntamiento de Gijón/Xixón"
"1147","5","Edificio Guardería Infantil (Educación Infantil de 0 a 3 años) La Camocha","Giardería infantil","0","2010","Camín de la Iglesia, 342 - Vega","","","Ayuntamiento de Gijón/Xixón"
"1148","1","Edificio del Colegio Público Pinzales. Escuelas de La Rebollada","Colegio Público Pinzales","196","1964","Camín de Caravedo - L`Abadia Cenero","","","Ayuntamiento de Gijón/Xixón"
"1149","1","Lavadero en la Pontica. El Castañal","Lavadero","0","1958","Camín del Trole, 155. Cabueñes (barrio La Pontica)","","","Ayuntamiento de Gijón/Xixón"
"1150","1","Lavadero del Güeyo. Cimadevilla (Cabueñes)","No se utiliza","0","0","Carretera de Somió, 5260. Cabueñes (barrio Cimadevilla)","","","Ayuntamiento de Gijón/Xixón"
"1153","1","Edificio tanatorio del Cementerio de Cenero","Cementerio","0","0","Camín del Cementerio - Caraveo","","","Ayuntamiento de Gijón/Xixón"
"1154","1","Edificio en Peñaferruz, Cenero (antigua escuela municipal)","Vivienda y fines sociales.","0","1958","Peñaferruz. L`Abadia Cenero","","","Ayuntamiento de Gijón/Xixón"
"1156","1","Lavadero en L´Abadía de Cenero","Lavadero","0","0","Camín de la Ermita. L´Abadía de Cenero (barrio Batiao)","","","Ayuntamiento de Gijón/Xixón"
"1157","1","Edificio de lavadero en Barrio Reguera - Deva","Lavadero","0","0","Carretera Deva, 1286","","","Ayuntamiento de Gijón/Xixón"
"1158","1","Edificio en el barrio de La Iglesia, Fano (antigua escuela municipal)","Asociación de Vecinos","354","2002","Caleya de la Escuela, 11 - Fano","","","Ayuntamiento de Gijón/Xixón"
"1159","1","Edificio del antiguo Colegio Público Porceyo","Utilizado parte como Colegio de Primaria","314","1974","Camín de Sotiello a Porceyo, 154 - Porceyo","","","Ayuntamiento de Gijón/Xixón"
