NOMBRE,CALLE,TIPO,NÚMERO ACCESOS
"CALLE NUÑEZ DE BALBOA","NUÑEZ DE BALBOA","CALLE","23"
"CALLE CELESTINO JUNQUERA","CELESTINO JUNQUERA","CALLE","18"
"CALLE CERIÑOLA","CERIÑOLA","CALLE","27"
"CALLE HERNAN CORTES","HERNAN CORTES","CALLE","40"
"CALLE PERIODISTA ADEFLOR","PERIODISTA ADEFLOR","CALLE","1"
"CALLE LABORATORIOS","LABORATORIOS","CALLE","22"
"CALLE AURORA DE ALBORNOZ","AURORA DE ALBORNOZ","CALLE","3"
"CALLE ORELLANA","ORELLANA","CALLE","6"
"GRUP NUESTRA SEÑORA DEL CARMEN","NUESTRA SEÑORA DEL CARMEN","GRUP","51"
"CALLE CONTRACAY","CONTRACAY","CALLE","5"
"CALLE RECTORIA","RECTORIA","CALLE","6"
"CALLE DOMINGUEZ GIL","DOMINGUEZ GIL","CALLE","5"
"CALLE CARIDAD","CARIDAD","CALLE","11"
"CALLE VICENTE FERNANDEZ","VICENTE FERNANDEZ","CALLE","20"
"CALLE PINTOR ORLANDO PELAYO","PINTOR ORLANDO PELAYO","CALLE","14"
"CALLE MOROS","MOROS","CALLE","52"
"CALLE DONOSO CORTES","DONOSO CORTES","CALLE","9"
"CALLE ROMAN FERNANDEZ","ROMAN FERNANDEZ","CALLE","6"
"CALLE HERNANDO DE SOTO","HERNANDO DE SOTO","CALLE","13"
"PASEO MURO DE SAN LORENZO","MURO DE SAN LORENZO","PASEO","4"
"CALLE DON QUIJOTE","DON QUIJOTE","CALLE","12"
"CALLE JESUS REVUELTA DIEGO","JESUS REVUELTA DIEGO","CALLE","10"
"CALLE ESCULTOR NAVASCUES","ESCULTOR NAVASCUES","CALLE","5"
"CALLE ESPINOSA","ESPINOSA","CALLE","12"
"CALLE MURALLA LA","MURALLA LA","CALLE","12"
"CALLE ARGANDONA","ARGANDONA","CALLE","50"
"CALLE SANTA CANDIDA","SANTA CANDIDA","CALLE","15"
"CALLE LUZ","LUZ","CALLE","6"
"CMNO FABRICA DE LOZA","FABRICA DE LOZA","CMNO","24"
