Estación,Título,latitud,longitud,Fecha Solar (UTC),SO2,NO,NO2,CO,PM10,O3,dd,vv,TMP,HR,PRB,RS,LL,BEN,TOL,MXIL,PM25
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-28T03:00:00","4","2","24","0.1","","16","165","0.1","19","78","1011","54","0","0.4","1.5","1.5",""
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-28T02:00:00","4","1","16","0.1","21","29","133","0.16","19.5","75","1010","55","0","0.3","0.5","0.4","8"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-28T01:00:00","3","2","17","0.1","18","31","187","0.11","19.3","77","1011","54","0","0.2","0.3","0.3","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-28T00:00:00","3","1","15","0.1","16","37","199","0.58","19.4","79","1010","54","0","0.2","0.5","0.6","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T23:00:00","3","2","15","0.1","19","39","197","0.5","19.4","82","1011","54","0","0.3","0.8","0.9","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T22:00:00","3","1","14","0.1","25","37","175","0.53","19.6","84","1012","54","0","0.4","1","1","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T21:00:00","3","16","42","0.27","39","13","190","1.28","21.1","85","1011","55","2.8","0.7","2.4","2.9","22"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T20:00:00","3","21","55","0.3","37","19","134","0.37","22","81","1010","55","0.4","0.9","3","3.4","16"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T19:00:00","3","18","56","0.56","47","26","274","0.12","23.6","68","1009","55","0.8","0.6","3.5","4.4","11"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T18:00:00","2","5","41","0.1","24","24","235","0.11","22.9","70","1008","55","0","0.3","1.3","1.7","6"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T17:00:00","3","5","26","0.1","21","43","312","0.1","23.8","66","1008","83","0","0.4","1.7","1.8","7"
"1","Estación Avenida Constitución","43.529806","-5.673428","2017-08-27T16:00:00","3","6","21","0.1","21","60","342","0.4","28.9","43","1007","353","0","0.3","0.8","1.2","15"
