titulo,latitud,longitud,lugar
"","43.5148206050484","-5.67951873915187",""
"CALLE INSTITUTO_6 - 1","43.5447646565996","-5.66368649959873","INSTITUTO"
"CALLE CLAUDIO ALVARGONZALEZ_S/N - 1","43.5458446714533","-5.66474503014677","PASEO CLAUDIO ALVARGONZALEZ"
"CALLE HONESTO BATALON_3 - 1","43.5474152602515","-5.66373039968503","HONESTO BATALON"
"CALLE MARIA BANDUJO_10 - 1","43.546530013823","-5.66213168924238","MARIA BANDUJO"
"CALLE MARQUES DE SAN ESTEBAN_56 - 1","43.5413404928053","-5.67017243789806","MARQUES SAN ESTEBAN 55"
"CALLE MARQUES DE SAN ESTEBAN_30 - 1","43.541827667877","-5.66796498119389","MARQUES SAN ESTEBAN 33"
"CALLE MARQUES DE SAN ESTEBAN_24 - 1","43.5421383441551","-5.66700194380749","MARQUES SAN ESTEBAN 25"
"CALLE MARQUES DE SAN ESTEBAN_4 - 1","43.543246787979","-5.66542289222922","MARQUES SAN ESTEBAN FRENTE GASOLIN."
"CALLE VENTURA ALVAREZ SALA_4 - 1","43.544606481202","-5.66237260202872","VENTURA ALV. SALA"
"CALLE  LA MERCED_22 - 3","43.5425402962368","-5.66233855901665","MERCED"
"PLAZA  DE EUROPA_5 - 1","43.5371263498648","-5.66253963681264","PL EUROPA"
"CALLE LIBERTAD_2 - 1","43.5417633664743","-5.66454698103229","LIBERTAD"
"AVDA TORCUATO FERNANDEZ MIRANDA_2 - 1","43.5377182593035","-5.64619219575741","TORCUATO F. MIRANDA"
"CALLE EZCURDIA_144 - 1","43.5374606298982","-5.6480181542572","EZCURDIA"
"CALLE VICENTE INNERARITY_124 - 1","43.5368225522429","-5.65010745065605","VICENTE INERARITY"
"CALLE VICENTE INNERARITY_10 - 1","43.5360709529116","-5.65066415066869","VICENTE INERARITY"
"CALLE MENENDEZ PELAYO_17 - 1","43.5395203117674","-5.65161672000343","MDEZ. PELAYO"
"CALLE MENENDEZ PELAYO_9 - 1","43.53871007394","-5.6522733028235","MDEZ. PELAYO"
"CALLE AGUADO_1 - 1","43.5375187157915","-5.65022674150388","AGUADO"
"CALLE AGUADO_19 - 1","43.5386136604053","-5.64929120361036","AGUADO"
"CALLE AGUADO_31 - 1","43.5394114895763","-5.64859761172017","AGUADO"
"AVDA COSTA_9 - 1","43.5395449646967","-5.66748635651152","LLANES"
"CALLE LUZ_S/N - 1","43.5402860252864","-5.68237691411177","PL. LUZ"
"CALLE ROSALIA DE CASTRO_21 - 1","43.5398902908576","-5.68990900239646","ROSALIA CASTRO"
"CALLE MARGARITA XIRGU_2 - 2","43.5388312078868","-5.69885943011887","MARGARITA XIRGU"
"CALLE ESTRELLA_1 - 1","43.5405986659035","-5.68873381806853","LA ESTRELLA"
"AVDA TORCUATO FERNANDEZ MIRANDA_50 - 1","43.5354366037875","-5.64000945309579","TORCUATO F. MIRANDA"
"PLAZA ROMUALDO ALVARGONZALEZ LANQUIN_5 - 2","43.5415935605106","-5.65875650437473","CAPUA"
"CALLE SANTA DORADIA_2 - 1","43.5390867504551","-5.65744421845332","SANTA DORADIA"
"CALLE COVADONGA_32 - 1","43.5388227927538","-5.66166722120183","COVADONGA"
"CALLE CASIMIRO VELASCO_20 - 1","43.5396714415666","-5.66092821404469","CASIMIRO VELASCO"
"CTRA VILLAVICIOSA_23 - 1","43.5339498126716","-5.63927072053888","VILLAVICIOSA"
"CALLE PINTOR CARREÑO MIRANDA_7 - 1","43.5354820061421","-5.64441882442174","CARREÑO MIRANDA"
"CALLE PARIS_S/N - 1","43.53467098672","-5.63988497589883","PARIS"
"CALLE PINTOR MAROLA_2 - 1","43.5365018079416","-5.64551063862268","PINTOR MAROLA"
"CALLE GENERAL SUAREZ VALDES_6 - 1","43.5358494607016","-5.64793168191027","GRAL SUAREZ VALDES"
"AVDA TORCUATO FERNANDEZ MIRANDA_22 - 1","43.5366809253536","-5.64414113698607","TORCUATO FDEZ. MIRANDA"
