url,identificador,locale,send,nombre,telefono,fax,correo-electronico,web,horario,descripcion,direccion,localizacion,categorias
"http://www.gijon.es/directorios/show/176-centro-de-lectura-de-porceyo","176","es","fecha-actualizacion2014-01-22 12:02:23 +0100","Centro de lectura de Porceyo","Porceyo, Cerca de Riba. 33392 Gijón - Antiguas Escuelas, Porceyo Cerca de Riba<br/>","Centro de lectura, Bibliotecas, Centro de Lectura"
"http://www.gijon.es/directorios/show/175-centro-de-lectura-de-fano","175","es","fecha-actualizacion2014-01-22 12:02:23 +0100","Centro de lectura de Fano","Caleya de la Escuela, 11. 33291 Gijón","Centro de lectura, Bibliotecas, Centro de Lectura"
"http://www.gijon.es/directorios/show/174-centro-de-lectura-de-jove-barrio-de-pescadores","174","es","fecha-actualizacion2014-01-22 12:02:23 +0100","Centro de lectura de Jove-Barrio de pescadores","985301736","Grupo Escolar Cofradía de Pescadores de Jove. 33290-Gijón","Centro de lectura, Bibliotecas, Centro de Lectura"
"http://www.gijon.es/directorios/show/173-centro-de-lectura-de-granda","173","es","fecha-actualizacion2014-01-22 12:02:23 +0100","Centro de lectura de Granda","985137452","Antiguas Escuelas de Niños. 33391-Gijón","Centro de lectura, Bibliotecas, Centro de Lectura"
"http://www.gijon.es/directorios/show/172-centro-de-lectura-de-santa-barbara-nuevo-gijon","172","es","fecha-actualizacion2014-01-22 12:02:23 +0100","Centro de lectura de Santa Bárbara- Nuevo Gijón","985387585","Peña Santa de Enol, 4. 33211 Gijón","Centro de lectura, Bibliotecas, Centro de Lectura"
"http://www.gijon.es/directorios/show/171-centro-de-lectura-de-nuevo-gijon","171","es","fecha-actualizacion2014-01-22 12:02:23 +0100","Centro de lectura de Nuevo Gijón","985147087","Peña Santa de Enol, 4. 33211 Gijón","43.52578 -5.680396","Centro de lectura, Bibliotecas, Centro de Lectura"
"http://www.gijon.es/directorios/show/170-centro-de-lectura-de-cimadevilla","170","es","fecha-actualizacion2014-01-22 12:02:23 +0100","Centro de lectura de Cimadevilla","985354761","Casa "El Chino", Cimadevilla. 33201 Gijón","Centro de lectura, Bibliotecas, Centro de Lectura"
