ID_CALLE,TIPO,CALLE,NUMERO,LONGITUD,LATITUD,TITULO
"4674","CALLE","MARQUES DE CASA VALDES","69","-5.653952614","43.538999131","CALLE MARQUES DE CASA VALDES 69"
"4674","CALLE","MARQUES DE CASA VALDES","67","-5.654097191","43.539062688","CALLE MARQUES DE CASA VALDES 67"
"4674","CALLE","MARQUES DE CASA VALDES","65","-5.654287774","43.539147956","CALLE MARQUES DE CASA VALDES 65"
"4342","CALLE","PLAYA","2","-5.654265203","43.539416765","CALLE PLAYA 2"
"4342","CALLE","PLAYA","8","-5.654108878","43.539602722","CALLE PLAYA 8"
"4342","CALLE","PLAYA","10","-5.654052252","43.539671745","CALLE PLAYA 10"
"4342","CALLE","PLAYA","12","-5.653940959","43.539803714","CALLE PLAYA 12"
"2544","CALLE","EMILIO TUYA","10","-5.652171219","43.54011791","CALLE EMILIO TUYA 10"
"2544","CALLE","EMILIO TUYA","14","-5.651873824","43.539985525","CALLE EMILIO TUYA 14"
"2544","CALLE","EMILIO TUYA","16","-5.651697176","43.539908682","CALLE EMILIO TUYA 16"
"4758","CALLE","MENENDEZ PELAYO","19","-5.65152601","43.539728762","CALLE MENENDEZ PELAYO 19"
"4758","CALLE","MENENDEZ PELAYO","17","-5.65168306","43.53953883","CALLE MENENDEZ PELAYO 17"
"4758","CALLE","MENENDEZ PELAYO","15","-5.651865553","43.539321737","CALLE MENENDEZ PELAYO 15"
"4758","CALLE","MENENDEZ PELAYO","13","-5.651931945","43.539246167","CALLE MENENDEZ PELAYO 13"
"2700","CALLE","EZCURDIA","41","-5.65220164","43.539258707","CALLE EZCURDIA 41"
"2700","CALLE","EZCURDIA","39","-5.652375731","43.539339931","CALLE EZCURDIA 39"
"2700","CALLE","EZCURDIA","37","-5.652553559","43.539416926","CALLE EZCURDIA 37"
"2700","CALLE","EZCURDIA","35","-5.652683472","43.539476018","CALLE EZCURDIA 35"
"5568","CALLE","PREMIO REAL","16","-5.652591382","43.539713423","CALLE PREMIO REAL 16"
"5568","CALLE","PREMIO REAL","18","-5.652358779","43.54000308","CALLE PREMIO REAL 18"
"2700","CALLE","EZCURDIA","72","-5.652806954","43.539371319","CALLE EZCURDIA 72"
"2700","CALLE","EZCURDIA","74","-5.652693762","43.539321815","CALLE EZCURDIA 74"
"2700","CALLE","EZCURDIA","78","-5.652495673","43.539240591","CALLE EZCURDIA 78"
"2700","CALLE","EZCURDIA","80","-5.652352543","43.539177844","CALLE EZCURDIA 80"
"2700","CALLE","EZCURDIA","82","-5.652213575","43.539110931","CALLE EZCURDIA 82"
"4758","CALLE","MENENDEZ PELAYO","11","-5.652216629","43.538898957","CALLE MENENDEZ PELAYO 11"
"4758","CALLE","MENENDEZ PELAYO","9","-5.652399117","43.538682125","CALLE MENENDEZ PELAYO 9"
"4758","CALLE","MENENDEZ PELAYO","7","-5.652514619","43.538536608","CALLE MENENDEZ PELAYO 7"
"4674","CALLE","MARQUES DE CASA VALDES","85","-5.65267569","43.538441282","CALLE MARQUES DE CASA VALDES 85"
"4674","CALLE","MARQUES DE CASA VALDES","83","-5.65286755","43.538524173","CALLE MARQUES DE CASA VALDES 83"
"4674","CALLE","MARQUES DE CASA VALDES","81","-5.653009021","43.538585805","CALLE MARQUES DE CASA VALDES 81"
"4674","CALLE","MARQUES DE CASA VALDES","79","-5.653107842","43.538627683","CALLE MARQUES DE CASA VALDES 79"
"4674","CALLE","MARQUES DE CASA VALDES","77","-5.653213586","43.538671632","CALLE MARQUES DE CASA VALDES 77"
"5568","CALLE","PREMIO REAL","2","-5.653359366","43.538797054","CALLE PREMIO REAL 2"
"5568","CALLE","PREMIO REAL","4","-5.653290942","43.538873059","CALLE PREMIO REAL 4"
"5568","CALLE","PREMIO REAL","6","-5.653225456","43.538951742","CALLE PREMIO REAL 6"
"5568","CALLE","PREMIO REAL","10","-5.653066119","43.53914272","CALLE PREMIO REAL 10"
"5568","CALLE","PREMIO REAL","12","-5.652988041","43.539239072","CALLE PREMIO REAL 12"
"6750","AVDA","RUFO G RENDUELES","10","-5.650607478","43.540269554","AVDA RUFO G RENDUELES 10"
"6750","AVDA","RUFO G RENDUELES","11","-5.650293685","43.540246131","AVDA RUFO G RENDUELES 11"
"1596","CALLE","CANGA ARGUELLES","23","-5.649798036","43.539948457","CALLE CANGA ARGUELLES 23"
"1596","CALLE","CANGA ARGUELLES","19","-5.649880799","43.539851557","CALLE CANGA ARGUELLES 19"
"1596","CALLE","CANGA ARGUELLES","17","-5.649947358","43.539769016","CALLE CANGA ARGUELLES 17"
