"AÑO","TITULO","FECHA_ELECCIONES","DISTRITO","SECCION","MESA","PARTIDO","NUM_VOTOS","PORCENTAJE"
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","PSOE",143,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","AP",398,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","PCE",10,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","CDS",19,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"B","Electores",858,100
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"B","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"B","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"B","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"B","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"B","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"B","PSOE",166,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"B","AP",410,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"B","PCE",14,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"B","CDS",24,
1983,"Elecciones Autonómicas","08-MAY-83",1,8,"U","Electores",976,100
1983,"Elecciones Autonómicas","08-MAY-83",1,8,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,8,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,8,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,8,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,8,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,8,"U","PSOE",164,
1983,"Elecciones Autonómicas","08-MAY-83",1,8,"U","AP",471,
1983,"Elecciones Autonómicas","08-MAY-83",1,8,"U","PCE",11,
1983,"Elecciones Autonómicas","08-MAY-83",1,8,"U","CDS",29,
1983,"Elecciones Autonómicas","08-MAY-83",1,9,"U","Electores",1384,100
1983,"Elecciones Autonómicas","08-MAY-83",1,9,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,9,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,9,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,9,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,9,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,9,"U","PSOE",448,
1983,"Elecciones Autonómicas","08-MAY-83",1,9,"U","AP",376,
1983,"Elecciones Autonómicas","08-MAY-83",1,9,"U","PCE",54,
1983,"Elecciones Autonómicas","08-MAY-83",1,9,"U","CDS",35,
1983,"Elecciones Autonómicas","08-MAY-83",1,10,"U","Electores",857,100
1983,"Elecciones Autonómicas","08-MAY-83",1,10,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,10,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,10,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,10,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,10,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,10,"U","PSOE",193,
1983,"Elecciones Autonómicas","08-MAY-83",1,10,"U","AP",348,
1983,"Elecciones Autonómicas","08-MAY-83",1,10,"U","PCE",31,
1983,"Elecciones Autonómicas","08-MAY-83",1,10,"U","CDS",31,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"A","Electores",814,100
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"A","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"A","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"A","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"A","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"A","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"A","PSOE",264,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"A","AP",194,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"A","PCE",42,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"A","CDS",24,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"B","Electores",927,100
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"B","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"B","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"B","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"B","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"B","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"B","PSOE",332,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"B","AP",193,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"B","PCE",53,
1983,"Elecciones Autonómicas","08-MAY-83",1,11,"B","CDS",25,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"A","Electores",810,100
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"A","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"A","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"A","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"A","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"A","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"A","PSOE",228,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"A","AP",252,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"A","PCE",30,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"A","CDS",22,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"B","Electores",765,100
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"B","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"B","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"B","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"B","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"B","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"B","PSOE",207,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"B","AP",265,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"B","PCE",34,
1983,"Elecciones Autonómicas","08-MAY-83",1,12,"B","CDS",17,
