NOMBRE,UBICACION,OBJETO,TITULO,AUTOR,TEMA,MATERIALES,MEDIDAS
"Desnudos (reproducción)","Parque de Isabel la Católica","Grupo escultórico","Desnudos (reproducción)","Antonio de la Cruz Collado (reproducida por Manuel Alvarez)","Escultura","Piedra",""
"La Juani","Parque de Isabel la Católica","Grupo escultórico","La Juani","Francisco González Macías","Escultura","Piedra",""
"Crucero","Parque de Isabel la Católica","Crucero","Crucero","Desconocido","Escultura","Piedra",""
"Niño estrangulando una oca (copia)","Parque de Isabel la Católica","Grupo escultórico","Niño estrangulando una oca (copia)","Desconocido","Escultura","Piedra",""
"Monumento a César Augusto","Plaza del Campo Valdés","Estatua","Monumento a César Augusto","Fundición Hermanos Codina","Escultura","Bronce",""
"Monumento a la Madre del Emigrante","El Rinconín","Estatua","Monumento a la Madre del Emigrante","Ramón Muriedas Mazorra","Escultura","Bronce",""
"Monumento a Severo Ochoa","Avenida Severo Ochoa (La Urgisa)","Busto","Monumento a Severo Ochoa","Francisco González Macías","Escultura","Bronce",""
"Monumento a Acisclo Fernández Vallín","Parque de Isabel la Católica","Busto","Monumento a Acisclo Fernández Vallín","Francisco González Macías","Escultura","Bronce",""
"Monumento a Calixto Rato","Parque del Cerillero, Plaza Fernando VI","Busto","Monumento a Calixto Rato","Francisco González Macías","Escultura","Bronce",""
"Monumento a Dionisio Cifuentes Suárez","Plaza de Villamanín","Busto","Monumento a Dionisio Cifuentes Suárez","Francisco González Macías","Escultura","Bronce",""
"Monumento a Carlos Prieto Alvarez Buylla","Parque de El Lauredal","Busto","Monumento a Carlos Prieto Alvarez Buylla","Francisco González Macías","Escultura","Bronce",""
"Monumento a Rubén Darío","Parque de Isabel la Católica","Monolito","Monumento a Rubén Darío","Desconocido","Escultura","Granito y bronce",""
"Monumento a Arturo Arias","Plaza del periodista Arturo Arias","Busto","Monumento a Arturo Arias","Francisco González Macías","Escultura","Bronce",""
"Monumento a Mariano Moré","Parque de Los Hermanos Castro","Busto","Monumento a Mariano Moré","Jesús Moreta","Escultura","Bronce",""
"Monolito homenaje a Alfonso Camín","Carbayera de Roces","Monolito","Monolito homenaje a Alfonso Camín","Enrique Alvarez-Sala y Casa Gargallo","Arquitectura","Piedra",""
"Monumento a José Ramón Zaragoza","Parque de Los Hermanos Castro","Busto","Monumento a José Ramón Zaragoza","Gerardo Zaragoza","Escultura","Bronce",""
"Monumento al Mundial de Fútbol 1982","Parque de Isabel la Católica","Monolito","Monumento al Mundial de Fútbol 1982","Desconocido","Arquitectura","Granito y bronce",""
"Zona de juegos del Parque de Severo Ochoa","Parque de Severo Ochoa",""Plaza", esculturas","Zona de juegos del Parque de Severo Ochoa","Grupo G","Arquitectura, escultura","Hormigón",""
"Monumento a "Marola"","Parque de Isabel la Católica","Busto","Monumento a "Marola"","Félix Alonso Arena","Escultura","Piedra y bronce",""
"Decoración Parque de El Lauredal","Parque de El Lauredal","Esculturas","Decoración Parque de El Lauredal","Grupo G ?","Escultura","Hormigón",""
"Homenaje a la Navegación","Acceso Escuela Sup. Marina Civil, Campus Universit. Viesques","Escultura","Homenaje a la Navegación","Vicente Vázquez Canónico","Escultura","Bronce",""
"Arbol de la ciencia","Cabueñes","Escultura","Arbol de la ciencia","Juan Zaratiegui","Escultura","Hierro y pintura",""
"Elogio del Horizonte","Cerro de Santa Catalina","Escultura","Elogio del Horizonte","Eduardo Chillida","Escultura","Hormigón",""
"Metamorfosis (Copulaciones)","Parque de Laviada","Fuente","Metamorfosis","Pedro Sanjurjo, Pieycha","Escultura","Fluorita",""
"Mosaico Plaza Teatro Jovellanos","Paseo de Begoña","Pavimento","Mosaico Plaza Teatro Jovellanos","Mabel Alvarez Lavandera y Ricardo Rodríguez Deus","Arquitectura","Baldosas de mosaico (mármol)",""
"Escalada","Jardines del Palacio de Deportes, Paseo del Doctor Fleming","Escultura","Escalada","Pablo Maojo","Escultura","Hierro y pintura",""
"Monolito a Alfonso Camín","Paseo del Muro","Monolito","Monolito a Alfonso Camín","Demarcación de Costas y Primur","Arquitectura","Piedra y bronce",""
"Nordeste","Subida al Cerro","Escultura","Nordeste","Joaquín Vaquero Turcios","Escultura","Acero cortén",""
"Monumento a Claudio Alvargonzález Sánchez","C/ Claudio Alvargonzález","Busto","Monumento a Claudio Alvargonzález Sánchez","Manuel Alvarez, El Ponticu","Escultura","Bronce",""
"Monumento a José Martí","Plaza ciudad de La Habana","Monolito","Monumento a José Martí","Desconocido","Escultura","Piedra y yeso",""
"Monolito a Manuel Orueta","Plaza del ingeniero Orueta","Monolito","Monolito a Manuel Orueta","Desconocido","Arquitectura","Granito y bronce",""
"Decoración Plaza del Humedal y Calle Palacio Valdés.","Plaza del Humedal y Calle Palacio Valdés","Gradas, escultura (Cubo) y pavimento","Decoración Plaza del Humedal y Calle Palacio Valdés.","Alejandro Mieres y Bernardo Sanjurjo","Diseño artístico","Granito, vidrio, luz y mortero epoxi",""
"Monumento a José Miguel Caso González","Campo Valdés","Busto","Monumento a José Miguel Caso González","Juan Martínez Rionda","Escultura","Bronce",""
"Paisaje Germinador","Parque del Cabo San Lorenzo, La Providencia","Escultura","Paisaje Germinador","Miguel Angel Lombardía","Escultura","Bronce",""
"Homenaje a Galileo Galilei XV","Parque del Cabo San Lorenzo, La Providencia","Escultura","Homenaje a Galileo Galilei XV","Amadeo Gabino","Escultura","Acero",""
"Sombras de luz","Mayán de Tierra, Casablanca","Grupo escultórico","Sombras de luz","Fernando Alba","Escultura","Acero cortén",""
