EJERCICIO,OFERTA,DIAS_PAGO_RECIBO,COD_ACTIVIDAD,EDICION,ACTIVIDAD,RESTRINGIDA_ENTIDADES,ACTIVIDAD_DIARIA,PROGRAMA,INICIO,FIN,INICIO_MATRICULACION,FIN_MATRICULACION,TEMA,SUBTEMA,FORMATO,TIPO_DESTINATARIO,GRUPO_TARIFA,TARIFA,CANAL_PUBLICACION,NOTAS_RECIBO,NUM_PLAZAS,SOLICITUDES,CONCEDIDAS,RESERVADAS,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,DOMINGO
"2017","Club de Lectura Juvenil 2017","1","CLJ-CALZ","1","Club de lectura Juvenil de La Calzada","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 06.00.00.000000 PM","31-DEC-17 12.00.00.000000 AM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Juvenil","","","D","","15","10","9","0","","","","18:30-20:00 / Centro Municipal Integrado Ateneo La Calzada-Biblioteca","","",""
"2017","Club de Lectura Juvenil 2017","1","CLJ-COTO","1","Club de Lectura Juvenil de El Coto","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 12.00.00.000000 AM","31-DEC-17 12.00.00.000000 AM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Juvenil","","","D","","15","0","0","0","","","18:00-19:30 / Centro Municipal Integrado El Coto-Biblioteca de El Coto","","","",""
"2017","Club de Lectura Juvenil 2017","1","CLJ-LLANO","1","Club de Lectura Juvenil  del Llano","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 06.00.00.000000 PM","31-DEC-17 11.59.00.000000 PM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Juvenil","","","D","","15","0","0","0","","","","","","",""
"2017","Club de Lectura Adultos 2017","1","CLA-CAMO","1","Club de Lectura de La Camocha","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 06.00.00.000000 PM","31-DEC-17 06.00.00.000000 PM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Adultos","","","D","","20","20","20","0","","","","18:00-19:30 / Centro Municipal La Camocha-Biblioteca de La Camocha","","",""
"2017","Club de Lectura Adultos 2017","1","CLA-POLI","1","Club de Lectura de El Polígono","0","0","Clubs de Lectura en las bibliotecas municipales","05-JAN-17 07.00.00.000000 PM","31-DEC-17 12.40.00.000000 PM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Adultos","","","D","","25","17","16","0","","","","19:00-21:00 / Centro Municipal Polígono de Pumarín-Biblioteca del Polígono de Pumarín","","",""
"2017","Club de Lectura Adultos 2017","1","CLA-AREN","1","Club de Lectura de L'Arena","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 07.00.00.000000 PM","31-DEC-17 12.00.00.000000 AM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Adultos","","","D","","20","0","0","0","","","19:00-20:30 / Centro Municipal Integrado de La Arena-Biblioteca","","","",""
"2017","Club de Lectura Adultos 2017","1","CLA-GIJS","1","Club de Lectura de Gijón-Sur","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 07.00.00.000000 PM","31-DEC-17 09.00.00.000000 PM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Adultos","","","D","","20","0","0","0","","","19:00-20:30 / Centro Municipal Integrado de Pumarín Gijón Sur-Biblioteca adultos","","","",""
"2017","Club de Lectura Adultos 2017","1","CLA-LLANO","1","Club de Lectura de El Llano","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 07.00.00.000000 PM","31-DEC-17 09.00.00.000000 PM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Adultos","","","D","","25","1","1","0","","19:00-20:30 / Centro Municipal Integrado El Llano-BIBLIO INFANTIL","","","","",""
"2017","Club de Lectura Adultos 2017","1","CLA-CALZ","2","Club de Lectura de La Calzada","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 12.00.00.000000 AM","31-DEC-17 12.00.00.000000 AM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Adultos","","","D","","20","18","16","0","","","11:30-13:00 / Centro Municipal Integrado Ateneo La Calzada-Biblioteca","","","",""
"2017","Club de Lectura Adultos 2017","1","CLA-CALZ","1","Club de Lectura de La Calzada","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 07.40.00.000000 PM","31-DEC-17 02.20.00.000000 PM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Adultos","","","D","","20","20","20","0","","","","19:00-20:30 / Centro Municipal Integrado Ateneo La Calzada-Biblioteca","","",""
"2017","Club de Lectura Adultos 2017","1","CLA-COTO","2","Club de Lectura de El Coto","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 08.00.00.000000 PM","31-DEC-17 11.59.00.000000 PM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Adultos","","","D","","25","22","20","0","","","20:00-21:30 / Centro Municipal Integrado El Coto-Biblioteca de El Coto","","","",""
"2017","Club de Lectura Adultos 2017","1","CLA-COTO","1","Club de Lectura de El Coto","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 06.00.00.000000 PM","31-DEC-17 11.59.00.000000 PM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Adultos","","","D","","25","24","24","0","18:00-19:30 / Centro Municipal Integrado El Coto-Biblioteca de El Coto","","","","","",""
"2017","Club de Lectura Adultos 2017","1","CLA-CONT","1","Club de Lectura de Contrueces","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 10.00.00.000000 AM","31-DEC-17 12.00.00.000000 AM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Adultos","","","D","","25","14","14","0","","","10:30-12:00 / Centro Municipal Contrueces-Biblioteca de Contrueces","","","",""
"2017","Talleres Literarios 2017","1","TL-AREN","1","Taller de escritura de L'Arena","0","0","Talleres Literarios","01-JAN-17 07.00.00.000000 PM","31-DEC-17 12.00.00.000000 AM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Talleres Literarios","Plazas limitadas. Inscripción previa","Adultos","","","D","","25","0","0","0","","19:00-20:30 / Centro Municipal Integrado de La Arena-Biblioteca","","","","",""
"2017","Talleres Literarios 2017","1","TL-LLANO","1","Taller de creatividad literaria de El Llano","0","0","Talleres Literarios","01-JAN-17 07.00.00.000000 PM","31-DEC-17 12.00.00.000000 AM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Talleres Literarios","Plazas limitadas. Inscripción previa","Adultos","","","D","","15","0","0","0","","","19:00-20:30 / Centro Municipal Integrado El Llano-BIBLIO INFANTIL","","","",""
"2017","Open Café Impulsa","1","001","1","Open Café Impulsa","0","0","Open Café","01-MAY-17 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","01-APR-17 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Impulsa Empresas","","Congreso, seminario, jornada, encuentro, feria","Personas físicas","","","I","","0","10","8","2","09:00-20:00 / Edificio Impulsa-Open Cafe","09:00-20:00 / Edificio Impulsa-Open Cafe","09:00-20:00 / Edificio Impulsa-Open Cafe","09:00-20:00 / Edificio Impulsa-Open Cafe","09:00-20:00 / Edificio Impulsa-Open Cafe","",""
"2017","Open Café Impulsa","1","001","2","Open Café Impulsa","0","0","Open Café","01-MAY-17 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","01-APR-17 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Impulsa Empresas","","Congreso, seminario, jornada, encuentro, feria","Personas físicas","","","I","","0","9","5","3","09:00-20:00 / Antigua Fábrica de CRISTASA-Open Cafe","09:00-20:00 / Antigua Fábrica de CRISTASA-Open Cafe","09:00-20:00 / Antigua Fábrica de CRISTASA-Open Cafe","09:00-20:00 / Antigua Fábrica de CRISTASA-Open Cafe","09:00-20:00 / Antigua Fábrica de CRISTASA-Open Cafe","",""
