CALLE,NUMERO,POTENCIA (W),LONGITUD,LATITUD
"Móstoles","7","16500","-5.684568319","43.539862"
"Felipe V","3","10390","-5.64917927","43.536448684"
"Álava","48","36300","-5.674149422","43.52740544"
"Fray Ceferino Gonzalez","15","26400","-5.664055763","43.533265288"
"Gerona","6","13860","-5.685294622","43.541091867"
"Bazán","29","10390","-5.697603673","43.532086185"
"Mª Cristina","11","10390","-5.650913508","43.530791221"
"Quevedo","67","10390","-5.647550392","43.531448623"
"Oscar Olavarria","18","13860","-5.664880085","43.546484381"
"Av. Torcuato Fernandez Miranda","40","10390","-5.641712039","43.535954903"
"Fuente del Real","41","10390","-5.659086232","43.531601483"
"Cabrilleros","14","10390","-5.703295369","43.540800776"
"Av. de Castilla","33","10390","-5.645457141","43.538857136"
"Chile","6","10390","-5.689618811","43.537886081"
"Monsacro","14","3460","-5.682260878","43.527325539"
"Foces del Rio Aller","4","10390","-5.68092515","43.537806106"
"Magnus Blikstad","64","10390","-5.670812017","43.533482421"
"Venezuela","1","10390","-5.696920033","43.538767942"
"Zaragoza","3","10390","-5.686135403","43.538176295"
"Zapateros","8","13860","-5.684236308","43.517337279"
"Feijoo","80","13860","-5.647082755","43.531839424"
"Altamira","2","13200","-5.674795189","43.517039865"
"Joaquin Solís","18","13860","-5.658846538","43.530926013"
"Periodista Paco Ignacio Taibo Villa","1","13860","-5.647078933","43.529209489"
"Gustave Eiffel","Frente 164","13860","-5.680765153","43.510554267"
"Pola de Siero","6","13860","-5.669669954","43.539350803"
"Juan de la Cierva","","10390","-5.68796505","43.529543888"
"Torrecerredo","","13860","-5.679468993","43.527524415"
"Av. Salvador Allende","40","17320","-5.680485321","43.517514684"
"Ruta del Alba","5","24250","-5.682055958","43.53684235"
"Camino de los Rosales","317","10390","-5.627620257","43.537175928"
"Camino de las Hayas","","10390","-5.616399811","43.544754334"
"Camino de los Tulipanes","280","13860","-5.628478811","43.530768121"
"Camino de los Nardos","547","13860","-5.614438849","43.536179846"
"Camino de los Madroños","","9200","-5.611240765","43.543651645"
"Becquer","12","6930","-5.666427826","43.534043871"
"Perez de Ayala","9","6900","-5.667533541","43.532482089"
"Azcarraga","16","6900","-5.663087177","43.532962837"
"Juan I","Frente 6","6900","-5.659012494","43.535157914"
"Martín","11","6900","-5.703623648","43.541277773"
"Rioja","1","6930","-5.698592557","43.531718974"
"Camino de les Cabañes","","9200","-5.709999563","43.558297944"
"Caveda","38","6900","-5.661776407","43.534195763"
"Manuel Llaneza","2","6900","-5.65972551","43.536577334"
"Panadés","10","6900","-5.669405294","43.530576997"
"Valencia","6","6900","-5.671163484","43.527943689"
"Recoletas","","6900","-5.663125975","43.545588088"
"Av. Juan Carlos I","","27710","-5.692584091","43.535757779"
"Av. Juan Carlos I","","43650","-5.697482834","43.53553507"
"Lucero","20","13200","-5.693268969","43.540988697"
"Feijoo","49","13200","-5.651729263","43.53221389"
"Av. de los Campones","266","31180","-5.709922489","43.525490427"
"Parque Vicente Ferrer","","34640","-5.673735841","43.517854215"
"Maria Zambrano","6","24250","-5.69989931","43.538319591"
"Arquímedes","","17320","-5.697397105","43.503740134"
"San José","71","17320","-5.664356839","43.534012246"
"Carlos Marx","","45000","-5.675618331","43.538001317"
"La Mancha","9","17320","-5.674106003","43.525118042"
"Peña Ubiña","11","31180","-5.681049617","43.526648347"
"Belmonte de Miranda","4","16500","-5.668482697","43.54124549"
"Eduardo Varela","3","27710","-5.668142109","43.517996902"
"Poeta Luis Álvarez Piñer","2","20790","-5.669208418","43.520276164"
"Av. de Oviedo","7","43650","-5.681741675","43.523229733"
"Concha Espina","6","20790","-5.685098244","43.522727607"
"Orán","5","10390","-5.677069649","43.528233274"
"Narciso Monturiol","18","24250","-5.691727994","43.528241034"
"Av. Portugal ","","10390","-5.679502587","43.533796323"
"Carlos Marx","24","4400","-5.67226402","43.536448714"
"Carlos Marx","50","29700","-5.673634381","43.537351871"
"Puerto de la Cubilla","18","17320","-5.672734852","43.533976231"
"Camino de la Barniella","","6600","-5.657509951","43.503815803"
"Camino de la Barniella","","6600","-5.656322058","43.502856158"
"Carretera de Pola de Siero","","6900","-5.659659124","43.510497524"
"Camino del Cementerio","","8050","-5.658423718","43.525305301"
"Carretera de Pola de Siero","11","10390","-5.655356831","43.52809121"
"Camino de la Iglesia","342","13200","-5.650396942","43.491675624"
"Ernesto Winter","1","6930","-5.65557098","43.48586175"
"Camino del Lunes","260","3460","-5.65805836","43.485494525"
"Travesía de la Nozaleda","","6930","-5.681368393","43.515024384"
"Álava","74","6930","-5.683395955","43.520518452"
"Crta. Carbonera","62","34640","-5.672340408","43.519419235"
"Faustina Álvarez García","","17321","-5.685764873","43.526376045"
"Camino de la Maera","2240","3460","-5.675389912","43.466232147"
"Camino de la Maera","2785","3.46","-5.672894266","43.461849559"
"Camino de Villaverde","689","3450","-5.665327375","43.479796306"
"Camino del Xacotu","","3460","-5.669005225","43.466415255"
"Camino de Güerces","2025","6930","-5.668762177","43.482510927"
"Monsacro","28","13860","-5.683779516","43.526637629"
"Severo Ochoa","","10390","-5.670294583","43.531875631"
"Baleares","1","24250","-5.673309663","43.529866667"
"Álava","48","34640","-5.67390858","43.527592236"
"Cataluña","10","6930","-5.671830503","43.529255973"
"Andalucía","7","13860","-5.669806319","43.529841105"
"Candás","20","29600","-5.669230357","43.538243613"
"Atanasio Menendez","16","15","-5.681854906","43.54109525"
"Quevedo","15","3460","-5.654618305","43.53174602"
"Camino del Cortijo","38","13860","-5.688670284","43.538226332"
"Av.Principe de Asturias","60","29600","-5.694137867","43.540863856"
"Av.Principe de Asturias","76","20","-5.694681588","43.542183146"
"Av.Principe de Asturias","78","20790","-5.695194264","43.543530177"
"Manuel R Álvarez","34","17320","-5.701036202","43.541370311"
"Hernán Cortés","4","13860","-5.701863379","43.540389324"
"Hernán Cortés","45","3460","-5.705742746","43.539965539"
"Jose Maria Martinez","3","6930","-5.655590082","43.521228186"
"Paseo de la Infancia","Frente 6","17320","-5.666391795","43.53839257"
"Gaspar García Laviana","71","10390","-5.665884848","43.525808042"
"Cean Bermudez","42","6600","-5.662417126","43.534190734"
