Fecha,Temperatura interior,Monóxido de nitrógeno,Dióxido de nitrógeno,Partículas en suspensión < PM10,Óxidos de nitrógeno,Ozono,Ozono quimioluminiscente,Velocidad del viento,Dirección del viento,Temperatura,Humedad relativa,Presión,Radiación solar,Precipitaciones
31/10/2017 06:00,,,,,,,,,,,,,,,
31/10/2017 05:00,19.8,1.0,9.0,4.0,,60.0,59.0,2.9,37,8.2,66,950,4,0.0
31/10/2017 04:00,19.7,1.0,6.0,5.0,,62.0,61.0,2.7,40,8.8,65,950,4,0.0
31/10/2017 03:00,19.7,1.0,7.0,2.0,,57.0,56.0,2.9,43,9.3,65,950,4,0.0
31/10/2017 02:00,19.5,1.0,7.0,2.0,,55.0,54.0,2.6,36,10.1,64,950,4,0.0
31/10/2017 01:00,19.4,1.0,10.0,3.0,,52.0,51.0,2.3,39,10.9,61,950,4,0.0
31/10/2017 00:00,19.4,2.0,17.0,6.0,,44.0,43.0,1.8,41,11.6,61,950,4,0.0
30/10/2017 23:00,19.4,4.0,29.0,19.0,,33.0,33.0,1.5,45,12.7,58,950,4,0.0
30/10/2017 22:00,19.5,37.0,69.0,26.0,,5.0,4.0,1.2,52,13.4,57,950,4,0.0
30/10/2017 21:00,19.7,58.0,78.0,25.0,,3.0,3.0,0.9,61,14.5,54,949,4,0.0
30/10/2017 20:00,19.9,88.0,93.0,26.0,,5.0,4.0,1.0,65,15.6,51,949,4,0.0
30/10/2017 19:00,20.0,97.0,102.0,10.0,,5.0,5.0,0.8,72,16.7,47,948,4,0.0
30/10/2017 18:00,20.7,65.0,86.0,9.0,,9.0,10.0,1.0,65,18.1,43,948,6,0.0
30/10/2017 17:00,21.2,19.0,40.0,8.0,,45.0,45.0,1.8,60,19.7,38,947,92,0.0
30/10/2017 16:00,21.7,13.0,25.0,5.0,,59.0,58.0,2.4,54,20.1,38,947,280,0.0
30/10/2017 15:00,21.9,11.0,20.0,10.0,,63.0,62.0,2.6,59,19.7,40,947,420,0.0
30/10/2017 14:00,22.0,10.0,17.0,13.0,,65.0,64.0,3.2,56,19.1,40,948,521,0.0
30/10/2017 13:00,23.0,8.0,12.0,13.0,,67.0,65.0,3.7,64,18.4,42,948,580,0.0
30/10/2017 12:00,22.7,8.0,15.0,16.0,,,,3.4,58,17.4,44,949,587,0.0
30/10/2017 11:00,21.1,,,19.0,,44.0,39.0,2.7,52,15.4,51,950,483,2.2
30/10/2017 10:00,19.5,,,21.0,,29.0,28.0,2.1,50,13.2,57,950,374,0.0
30/10/2017 09:00,19.5,44.0,50.0,22.0,,17.0,16.0,1.9,37,11.2,62,950,240,0.0
30/10/2017 08:00,19.1,73.0,73.0,14.0,,4.0,4.0,1.4,40,9.6,67,950,71,0.0
30/10/2017 07:00,19.2,40.0,59.0,6.0,,7.0,7.0,1.3,41,8.9,70,949,6,0.0
30/10/2017 06:00,,,,,,,,,,,,,,,
30/10/2017 05:00,19.2,2.0,14.0,5.0,,41.0,41.0,1.7,32,9.8,68,949,4,0.0
