AÑO,NUMNACIMIENTOS
1996,215
1997,320
1998,338
1999,401
2000,454
2001,505
2002,563
2003,648
2004,770
2005,794
2006,841
2007,961
2008,1024
2009,1062
2010,977
2011,993
2012,1023
2013,1013
2014,1029
