DISTRITO,SECCION,MESA,OPCION,VOTOS
01,001,A,AB,0
01,001,A,AE,0
01,001,A,AN,0
01,001,A,BL,4
01,001,A,CBLANCO,0
01,001,A,CDE,0
01,001,A,CDS,0
01,001,A,CPC,0
01,001,A,DN,0
01,001,A,E2000,0
01,001,A,FAU,0
01,001,A,FE,0
01,001,A,FEJ,0
01,001,A,IU,36
01,001,A,LI,0
01,001,A,LOS VERDES,0
01,001,A,LOS VERDES GV,0
01,001,A,OTROS,4
01,001,A,PACMA,0
01,001,A,PAIE,0
01,001,A,PC,0
01,001,A,PCPE,0
01,001,A,PFV,0
01,001,A,PH,0
01,001,A,PHA,0
01,001,A,PLC,0
01,001,A,PLEVE,0
01,001,A,PMJ,0
01,001,A,PNF,0
01,001,A,POSI,0
01,001,A,PP,156
01,001,A,PRPL,0
01,001,A,PSAI,0
01,001,A,PSD,0
01,001,A,PSOE,184
01,001,A,PUEE,0
01,001,A,PUL,0
01,001,A,TC,0
01,001,A,UPD,17
01,001,B,AB,0
01,001,B,AE,0
01,001,B,AN,0
01,001,B,BL,0
01,001,B,CBLANCO,0
01,001,B,CDE,0
01,001,B,CDS,0
01,001,B,CPC,0
01,001,B,DN,0
01,001,B,E2000,0
01,001,B,FAU,0
01,001,B,FE,0
01,001,B,FEJ,0
01,001,B,IU,37
01,001,B,LI,0
01,001,B,LOS VERDES,0
01,001,B,LOS VERDES GV,0
01,001,B,OTROS,0
01,001,B,PACMA,0
01,001,B,PAIE,0
01,001,B,PC,0
01,001,B,PCPE,0
01,001,B,PFV,0
01,001,B,PH,0
01,001,B,PHA,0
01,001,B,PLC,0
01,001,B,PLEVE,0
01,001,B,PMJ,0
01,001,B,PNF,0
01,001,B,POSI,0
01,001,B,PP,225
01,001,B,PRPL,0
01,001,B,PSAI,0
01,001,B,PSD,0
01,001,B,PSOE,165
01,001,B,PUEE,0
01,001,B,PUL,0
01,001,B,TC,0
01,001,B,UPD,16
01,002,A,AB,0
01,002,A,AE,0
01,002,A,AN,0
01,002,A,BL,5
01,002,A,CBLANCO,0
01,002,A,CDE,0
01,002,A,CDS,0
01,002,A,CPC,0
01,002,A,DN,0
01,002,A,E2000,0
01,002,A,FAU,0
01,002,A,FE,0
01,002,A,FEJ,0
01,002,A,IU,96
01,002,A,LI,0
01,002,A,LOS VERDES,0
01,002,A,LOS VERDES GV,0
01,002,A,OTROS,5
01,002,A,PACMA,0
01,002,A,PAIE,0
01,002,A,PC,0
01,002,A,PCPE,0
01,002,A,PFV,0
01,002,A,PH,0
01,002,A,PHA,0
01,002,A,PLC,0
01,002,A,PLEVE,0
01,002,A,PMJ,0
01,002,A,PNF,0
01,002,A,POSI,0
01,002,A,PP,72
01,002,A,PRPL,0
01,002,A,PSAI,0
01,002,A,PSD,0
01,002,A,PSOE,264
01,002,A,PUEE,0
01,002,A,PUL,0
01,002,A,TC,0
01,002,A,UPD,10
01,002,B,AB,0
01,002,B,AE,0
01,002,B,AN,0
01,002,B,BL,4
01,002,B,CBLANCO,0
01,002,B,CDE,0
01,002,B,CDS,0
01,002,B,CPC,0
01,002,B,DN,0
01,002,B,E2000,0
01,002,B,FAU,0
01,002,B,FE,0
01,002,B,FEJ,0
01,002,B,IU,93
01,002,B,LI,0
01,002,B,LOS VERDES,0
01,002,B,LOS VERDES GV,0
01,002,B,OTROS,11
01,002,B,PACMA,0
01,002,B,PAIE,0
01,002,B,PC,0
01,002,B,PCPE,0
01,002,B,PFV,0
01,002,B,PH,0
01,002,B,PHA,0
01,002,B,PLC,0
01,002,B,PLEVE,0
01,002,B,PMJ,0
01,002,B,PNF,0
01,002,B,POSI,0
01,002,B,PP,90
01,002,B,PRPL,0
01,002,B,PSAI,0
01,002,B,PSD,0
01,002,B,PSOE,273
01,002,B,PUEE,0
01,002,B,PUL,0
01,002,B,TC,0
01,002,B,UPD,30
01,003,A,AB,0
01,003,A,AE,0
01,003,A,AN,0
01,003,A,BL,3
01,003,A,CBLANCO,0
01,003,A,CDE,0
01,003,A,CDS,0
01,003,A,CPC,0
01,003,A,DN,0
01,003,A,E2000,0
01,003,A,FAU,0
01,003,A,FE,0
01,003,A,FEJ,0
01,003,A,IU,90
01,003,A,LI,0
01,003,A,LOS VERDES,0
01,003,A,LOS VERDES GV,0
01,003,A,OTROS,0
01,003,A,PACMA,0
01,003,A,PAIE,0
01,003,A,PC,0
01,003,A,PCPE,0
01,003,A,PFV,0
01,003,A,PH,0
01,003,A,PHA,0
01,003,A,PLC,0
01,003,A,PLEVE,0
01,003,A,PMJ,0
01,003,A,PNF,0
01,003,A,POSI,0
01,003,A,PP,82
01,003,A,PRPL,0
01,003,A,PSAI,0
01,003,A,PSD,0
01,003,A,PSOE,250
01,003,A,PUEE,0
01,003,A,PUL,0
01,003,A,TC,0
01,003,A,UPD,11
01,003,B,AB,0
01,003,B,AE,0
01,003,B,AN,0
01,003,B,BL,4
01,003,B,CBLANCO,0
01,003,B,CDE,0
01,003,B,CDS,0
01,003,B,CPC,0
01,003,B,DN,0
01,003,B,E2000,0
01,003,B,FAU,0
01,003,B,FE,0
01,003,B,FEJ,0
01,003,B,IU,82
01,003,B,LI,0
01,003,B,LOS VERDES,0
01,003,B,LOS VERDES GV,0
01,003,B,OTROS,0
01,003,B,PACMA,0
01,003,B,PAIE,0
01,003,B,PC,0
01,003,B,PCPE,0
01,003,B,PFV,0
01,003,B,PH,0
01,003,B,PHA,0
01,003,B,PLC,0
01,003,B,PLEVE,0
01,003,B,PMJ,0
01,003,B,PNF,0
01,003,B,POSI,0
01,003,B,PP,88
01,003,B,PRPL,0
01,003,B,PSAI,0
01,003,B,PSD,0
01,003,B,PSOE,238
01,003,B,PUEE,0
01,003,B,PUL,0
01,003,B,TC,0
01,003,B,UPD,19
01,004,A,AB,0
01,004,A,AE,0
01,004,A,AN,0
01,004,A,BL,4
01,004,A,CBLANCO,0
01,004,A,CDE,0
01,004,A,CDS,0
01,004,A,CPC,0
01,004,A,DN,0
01,004,A,E2000,0
01,004,A,FAU,0
01,004,A,FE,0
01,004,A,FEJ,0
01,004,A,IU,64
01,004,A,LI,0
01,004,A,LOS VERDES,0
01,004,A,LOS VERDES GV,0
01,004,A,OTROS,0
01,004,A,PACMA,0
01,004,A,PAIE,0
01,004,A,PC,0
01,004,A,PCPE,0
01,004,A,PFV,0
01,004,A,PH,0
01,004,A,PHA,0
01,004,A,PLC,0
01,004,A,PLEVE,0
01,004,A,PMJ,0
01,004,A,PNF,0
01,004,A,POSI,0
01,004,A,PP,152
01,004,A,PRPL,0
01,004,A,PSAI,0
01,004,A,PSD,0
01,004,A,PSOE,285
01,004,A,PUEE,0
01,004,A,PUL,0
01,004,A,TC,0
01,004,A,UPD,13
01,004,B,AB,0
01,004,B,AE,0
01,004,B,AN,0
01,004,B,BL,5
01,004,B,CBLANCO,0
01,004,B,CDE,0
01,004,B,CDS,0
01,004,B,CPC,0
01,004,B,DN,0
01,004,B,E2000,0
01,004,B,FAU,0
01,004,B,FE,0
01,004,B,FEJ,0
01,004,B,IU,76
01,004,B,LI,0
01,004,B,LOS VERDES,0
01,004,B,LOS VERDES GV,0
01,004,B,OTROS,0
