LON,LAT,DIRECCION,ZONA,TARIFA,LINEA
-3.528069536021788,40.349709272965981,Avda de Pablo Iglesias N 78,AV.PABLO IGLESIAS-JOVELLANOS,B1,330
-3.527826539635552,40.34894535724569,Calle  Jovellanos N 28,JOVELLANOS-ANA MªMATUTE,B1,N302
-3.527664295798794,40.348984007161739,Calle   Jovellanos N 28,JOVELLANOS-AV.PABLO IGLESIAS,B1,334
-3.52515108632946,40.348425220913349,Avda de Pablo Iglesias N 80,AV.PABLO IGLESIAS-JOVELLANOS,B1,332
-3.52524451606419,40.348325696258307,Avda de Pablo Iglesias N 80,AV.PABLO IGLESIAS-ROSA MONTERO,B1,330
-3.522035513469408,40.345652476905833,Avda de Pablo Iglesias N 87,AV.PABLO IGLESIAS-ANTONIO MUÑOZ MOLINA,B1,332
-3.522125950674901,40.34560307729997,Avda de Pablo Iglesias N 87,AV.PABLO IGLESIAS-JUAN CARLOS ONETTI,B1,330
-3.518486934999376,40.339402749377342,Avda de Levante N 185,AV.LEVANTE-CEMENTERIO,B2,332
-3.518534432105015,40.33931070601696,Avda de Levante N 185,AV.LEVANTE-CEMENTERIO,B2,330
-3.516775403795411,40.336336810871764,Avda de Levante N 230,AV.LEVANTE-CRISTINA IGLESIAS,B2,N302
-3.516651188867013,40.335844003089676,Avda de Levante N 230,AV.LEVANTE-MIQUEL BARCELÓ,B2,330
-3.514612256812837,40.332700821851297,Avda de Levante N 172,AV.LEVANTE-FERNANDO DE LOS RÍOS,B2,332
-3.514823625676583,40.332686341771385,Avda de Levante N 172,AV.LEVANTE-ITALIA,B2,330
-3.512765089047683,40.330288022662565,Avda  Francia N 62,AV.FRANCIA-AV.LEVANTE,B2,N302
-3.510604360011109,40.331002826401651,Avda   Francia N 62,AV.FRANCIA-AV.CAMPILLO DE SAN ISIDRO,B2,N302
-3.508807768213682,40.328549721100735,Calle   Miralrío N 34,MIRALRÍO-AV.CAMPILLO DE SAN ISIDRO,B2,N302
-3.51109947459134,40.32777339852872,Calle  Miralrío N 109,MIRALRÍO-LAGO CONSTANZA,B2,N302
-3.514121546094049,40.326759902987199,Calle   Miralrío N 22,MIRALRÍO-CISNE,B2,332
-3.517459271148816,40.325614492389285,Calle   Miralrío N 13,MIRALRÍO-SAN ISIDRO,B2,332
-3.528058743503828,40.349835450662717,Avda de Pablo Iglesias N 78,AV.PABLO IGLESIAS-ORÉGANO,B1,N301
-3.532238526340471,40.352008349238695,Avda de Pablo Iglesias N 77,AV.PABLO IGLESIAS-JORGE GUILLEN,B1,N301
-3.531646286176516,40.351853174639771,Calle de la Vid N SN,AV.PABLO IGLESIAS-VID,B1,N301
-3.534216342667871,40.354203688173115,Avda de Pablo Iglesias N 60,AV.PABLO IGLESIAS-SARAMAGO,B1,330
-3.534099011884862,40.354258284347651,Avda de Pablo Iglesias N 63,AV.PABLO IGLESIAS-SARAMAGO,B1,N301
-3.52583690174024,40.353110052394314,Avda   Ramón  y Cajal N 27,AV.RAMÓN Y CAJAL-ROBLEDAL,B1,331
-3.525800385244189,40.352994747609699,Avda   Ramón  y Cajal N 27,AV.RAMÓN Y CAJAL-JOVELLANOS,B1,334
-3.539367833600397,40.344324574330173,Avda de la Técnica SN SN,AV.TÉCNICA-JOAQUIN SOROLLA,B1,N302
-3.539377664124527,40.344269671630229,Avda de la Técnica N 29,AV.TÉCNICA-JOAQUÍN SOROLLA,B1,C-1
-3.551614556143804,40.35914923798348,Avda de Covibar N 1A,AV.COVIBAR-COLEGIO,B1,333
-3.551614842302254,40.358973152633354,Avda de Covibar N 1A,AV.COVIBAR-COLEGIO,B1,N301
-3.519790754938251,40.32805144319007,Calle de San Isidro N 1A,AV.FRANCIA-EST.RIVAS VACIAMADRID,B2,336
-3.54795062379488,40.369221087823895,Paseo de las Provincias N 3,PºLAS PROVINCIAS-CÁCERES,B1,N301
-3.547939622747616,40.367220163851457,Paseo del Ferrocarril N SN,PºFERROCARRIL-EST.RIVAS URBANIZACIONES,B1,330
-3.544023411280805,40.351704315546954,Calle del Electrodo N 30,ELECTRODO-CENTRO DE EMPRESAS,B1,C-1
-3.5480759204219,40.35454411418187,Calle del Electrodo N 1A,ELECTRODO-AYUNTAMIENTO,B1,C-1
-3.550374274105394,40.366507544321337,Avda del Deporte N S/N,AV.DEPORTE-PZA.LEÓN FELIPE,B1,C-1
-3.550541861375663,40.366612713271991,Avda del Deporte N S/N,AV.DEPORTE-PZA.FEDERICO GªLORCA,B1,N301
-3.531527507335704,40.369394815949626,Avda de los Almendros N 188,AV.ALMENDROS-PºLA CHOPERA,B1,N301
-3.539444876508738,40.360951369612124,Calle   Boros N 6,BOROS-SAUCES,B1,N302
-3.542684150610022,40.360178704754979,Calle de Junkal N 1,JUNKAL-SAUCES,B1,N302
-3.537800513851392,40.358831081072097,Avda de Pablo Iglesias N 1,AV.PABLO IGLESIAS-ACACIAS,B1,N302
-3.540783200737445,40.357669334140574,Calle de Junkal N 11B,JUNKAL-ACACIAS,B1,N302
-3.539477028357666,40.356051335081084,Avda de José Hierro N 16,AV.JOSÉ HIERRO-AZALEA,B1,N302
-3.535809912235036,40.353904825774777,Calle de José Saramago N 11,JOSÉ SARAMAGO-AV.PABLO IGLESIAS,B1,334
-3.539727136583015,40.351657974243757,Calle de la Fundición N 45,FUNDICIÓN-JOSÉ SARAMAGO,B1,N302
-3.539718040737031,40.351753018892154,Calle  del  Torno N SN,TORNO-FUNDICIÓN,B1,N302
-3.541768165276983,40.350327249738825,Calle del Torno N 4,TORNO-ELECTRODO,B1,N302
-3.542457604757349,40.34999030471014,Calle del Cincel N 6,CINCEL-ELECTRODO,B1,N302
-3.541065351998765,40.345749278568363,Avda de la Técnica N 21,AV.TÉCNICA-FRAGUA,B1,N302
-3.525393689463753,40.352286246931783,Calle   Jovellanos N 40,JOVELLANOS-PETUNIA,B1,N301
-3.524779073622841,40.352935360613635,Calle  Jovellanos N 48,JOVELLANOS-ÁNGEL SAAVEDRA,B1,N301
-3.537178146723096,40.342638393531068,Avda de la Técnica N 2A,AV.TÉCNICA-JUAN FRANCÉS,B1,C-1
-3.537263152336372,40.34275240689832,Avda de la Técnica N 2A,AV.TÉCNICA-JUAN FRANCÉS,B1,N302
-3.533568710773076,40.341108101189739,Avda de la Técnica N 2A,AV.TÉCNICA-CENTRO COMERCIAL,B1,C-1
-3.533737243959384,40.341214660153071,Avda de la Técnica N 2A,AV.TÉCNICA-CENTRO COMERCIAL,B1,N302
-3.541126155496785,40.345880501504929,Avda de la Técnica N 21,AV.TÉCNICA-YUNQUE,B1,N302
-3.521476964351256,40.32683444939493,Ctra de Valencia SN SN,CTRA.A3-EST.RIVAS VACIAMADRID,B2,351
-3.521455472294708,40.326817915137404,Ctra de Valencia SN SN,CTRA.A3-EST.RIVAS VACIAMADRID,B2,351
-3.521516739528755,40.326865054811101,Ctra de Valencia SN SN,CTRA.A3-EST.RIVAS VACIAMADRID,B2,351
-3.520527985679026,40.32673209364831,Ctra de Valencia SN SN,CTRA.A3-EST.RIVAS VACIAMADRID,B2,353
-3.520545442700545,40.326742853286333,Ctra de Valencia SN SN,CTRA.A3-EST.RIVAS VACIAMADRID,B2,353
-3.520557282737651,40.326751809293626,Ctra de Valencia SN SN,CTRA.A3-EST.RIVAS VACIAMADRID,B2,353
-3.542428568074556,40.36062508519673,Avda de los Almendros N 4,AV.ALMENDROS-JUNKAL,B1,331
-3.539683564715861,40.361989283588841,Avda de los Almendros N 16,AV.ALMENDROS-BOROS,B1,331
-3.537561286879682,40.363179353807354,Avda de los Almendros N 64,AV.ALMENDROS-URB.EL TEJAR,B1,331
-3.532610668167983,40.36533585715113,Avda de los Almendros N 130,AV.ALMENDROS-ACEBO,B1,331
-3.532524318840235,40.365450670490212,Avda de los Almendros N 130B,AV.ALMENDROS-RÍO JARAMA,B1,331
-3.537643941888298,40.363205997565174,Avda de los Almendros N 62,AV.ALMENDROS-ÓPERA,B1,331
-3.53973209034911,40.362041355588971,Avda de los Almendros N 16,AV.ALMENDROS-AV.ZARZUELA,B1,331
-3.542593875649765,40.360678365734586,Avda de los Almendros N 2,AV.ALMENDROS-INTEGRACIÓN,B1,333
-3.547763798601396,40.357645526855812,Calle de la Osa Mayor N 5,AV.MIGUEL HERNÁNDEZ-LUNA,B1,333
-3.547328679057896,40.359805845367525,Avda de Miguel Hernández N 3,AV.MIGUEL HERNÁNDEZ-LOS ASTROS,B1,333
-3.54771418595822,40.357419973918745,Avda de Miguel Hernández N 1,AV.MIGUEL HERNÁNDEZ-COLEGIO,B1,C-1
-3.550583919038708,40.356955907728455,Avda de Covibar N 1A,AV.COVIBAR-LA ROSA,B1,333
-3.552921127480382,40.361953863365088,Avda de Covibar N 1,AV.COVIBAR-PZA.VIOLETA PARRA,B1,C-1
-3.55174684395334,40.364580244338498,Avda de Covibar N 4,AV.COVIBAR-PZA.PAU CASALS,B1,C-1
-3.549010342907849,40.365333099675446,Avda de Covibar N 10,AV.COVIBAR-ABOGADOS DE ATOCHA,B1,333
-3.551882037162286,40.364517418969044,Avda de Covibar N 1,AV.COVIBAR-PZA.RAFAEL ALBERTI,B1,N301
-3.552846533141007,40.36157758284719,Avda de Covibar N SN,AV.COVIBAR-PZA.VIOLETA PARRA,B1,N302
-3.550670244064092,40.356922911140678,Avda de Covibar N 1A,AV.COVIBAR-LA ROSA,B1,N301
-3.531929739995569,40.37177105891282,Avda de los Almendros N 198,AV.ALMENDROS-COLEGIO,B1,N301
-3.531974773272708,40.371682760647538,Avda de los Almendros N 198,AV.ALMENDROS-COLEGIO,B1,333
-3.531634957040014,40.368826449152728,Paseo de la Chopera N 64,PºCHOPERA-INSTITUTO,B1,333
-3.548764592462653,40.364973682330195,Avda de Covibar N 10,AV.COVIBAR-CENTRO DE SALUD,B1,333
-3.512232426890652,40.328835706818282,Calle  Lago Garda N 2,AV.LEVANTE-LAGO GARDA,B2,332
-3.543208207488453,40.354642756671694,Calle de la Fundición N 7,CÉSAR MANRIQUE-FUNDICIÓN,B1,334
-3.543434864284699,40.354598003900421,Calle de la Carretilla N 35,CÉSAR MANRIQUE-FUNDICIÓN,B1,334
-3.519704903357809,40.327470310682102,Calle   Piscina Maspalomas N SN,PISCINA MASPALOMAS-EST.RIVAS VACIAMADRID,B2,330
-3.516095689743933,40.352720041999163,Calle   Fernando Trueba N 25,FERNANDO TRUEBA-INSTITUTO,B1,331
