nombre,fecha de inicio,fecha de fin,hora de inicio,hora de fin,lugar,dirección,precio,más información,imagen
"Taller sensorial","03/11/2017","03/11/2017","17:30:00","18:45:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=31860&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_21298_1.jpg"
"Apertura del Festeaf: adaptaciones de dos piezas teatrales","03/11/2017","03/11/2017","19:00:00","00:00:00","Auditorio Pilar Bardem","","Entrada 4 euros.","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=27448&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_21475_1.jpg"
"Dakota 2.0","04/11/2017","04/11/2017","20:00:00","00:00:00","Centro cultural Federico García Lorca","","Entrada 4 euros.","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32790&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22155_1.JPG"
"Las mariposas son libres","05/11/2017","05/11/2017","19:00:00","00:00:00","Centro cultural Federico García Lorca","","Entrada 4 euros.","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32792&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22156_1.JPG"
"Grupo de apoyo a la lactancia 'la liga de la leche'","09/11/2017","09/11/2017","17:30:00","19:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=31116&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_20651_1.jpg"
"Luz, Lúcete en la oscuridad","10/11/2017","10/11/2017","17:00:00","19:45:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=28664&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_19323_1.jpeg"
"Cuentos para niños y niñas","10/11/2017","10/11/2017","17:30:00","18:15:00","Biblioteca José Saramago","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32972&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_5458_1.jpg"
"Taller de embarazo y posparto","10/11/2017","10/11/2017","18:00:00","19:30:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32942&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_22240_1.jpg"
"Club de lectura juvenil","10/11/2017","10/11/2017","18:30:00","20:00:00","Biblioteca José Saramago","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=32970&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/2_5398_1.png"
"Taller de iniciación a la salsa","10/11/2017","10/11/2017","19:30:00","21:00:00","","","","http://www.rivasciudad.es:80/portal/contenedor_ficha.jsp?seccion=s_fact_d4_v1.jsp&contenido=31736&tipo=2&nivel=1400&language=es&codResi=1","http://www.rivasciudad.es:80/portal/RecursosWeb/IMAGENES/1/0_21193_1.jpg"
