carretera,causa,codEle,descripción,estado,fecha,hora,fechaFin,horaFin,icono,lat,lon,nivel,pkIni,pkFin,población,provincia,precisión,sentido,tipo,tipoIncidencia
"A-3","CIRCULACIÓN","1305353","RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular en: - La AUTOPISTA / AUTOVÍA A-3 a la altura de RIVAS-VACIAMADRID (MADRID) desde el km 17 al km 15 sentido CRECIENTE DE LA KILOMETRACIÓN hacia VALENCIA Advertencia: CARRIL DERECHO CERRADO","1","31/10/2017","16:45","?","?","INC_REN_TCN_LS3_CAC.png","40.34162","-3.5389764","AMARILLO","17.0","15.0","RIVAS-VACIAMADRID","MADRID","1","CRECIENTE DE LA KILOMETRACIÓN","Incidencia",""
"M-40","CIRCULACIÓN","1305445","RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular en: - La AUTOPISTA / AUTOVÍA M-40 a la altura de MADRID (MADRID) desde el km 23 al km 20 sentido CRECIENTE DE LA KILOMETRACIÓN hacia A-5 Advertencia: CARRIL DERECHO CERRADO","1","31/10/2017","17:13","?","?","INC_REN_TCN_LS3_CAC.png","40.364376","-3.6983628","AMARILLO","23.0","20.0","MADRID","MADRID","1","CRECIENTE DE LA KILOMETRACIÓN","Incidencia",""
