LON,LAT,DIRECCION
-3.549584098686165,40.354851727852179,ACCESO RIVAS
-3.546871107732999,40.35741395680585,AV. DE LOS ALMENDROS
-3.545434264871238,40.356305146350827,POLIDEPORTIVO CERRO EL TELÉGRAFO
-3.537688258774539,40.349497124770188,CL. FUNDICIÓN C/V CL.CLAVO
-3.531654888542197,40.336734238966272,CL. ISAAC PERAL
-3.511720087407682,40.327489903895298,AV. DE LEVANTE C/V CL. MIRALRÍO
-3.546767579285703,40.354312910211782,CL. ELECTRODO
-3.516000067462084,40.334876156299018,AV. LEVANTE C/V CL. MIGUEL BARCELÓ
-3.526122115449423,40.345868757742416,AV. DE JOSÉ HIERRO C/V CL. CARLOS BOUSOÑO
-3.545111667075546,40.357255249082598,POLIDEPORTIVO CERRO DEL TELÉGRAFO
-3.534257928966517,40.354391797394229,CL. DE JOSÉ SARAMAGO CON AV. DE PABLO IGLESIAS
-3.510034587709086,40.324593071644038,CL. MIRADOR C/V AV. LEVANTE
-3.512690595776459,40.323766322205699,DENTRO DEL POLIDEPORTIVO EL SURESTE C/V CL. MIRADOR
-3.517722536958535,40.325609663672985,CL. MIRALRIO C/V CL. SAN ISIDRO
-3.515194417762508,40.327857529234819,PZ. EUROPA C/V CL. CISNE
-3.512791524161027,40.328821168482904,AV. DE LEVANTE C/V PZ. EUROPA
-3.513484456583959,40.330162739788676,AV. DE FRANCIA C/V AV. DE LEVANTE
-3.523192946216411,40.335433218869014,CL. TOMAS EDISON C/V CL. MARIE CURIE
-3.52698928882416,40.334670360248033,CL. JUAN DE LA CIERVA C/V CL. TOMAS EDISON
-3.52948323680617,40.339504980093182,AV. DE AURELIO ÁLVAREZ C/V CL. JUAN DE LA CIERVA
-3.532918877889459,40.338851940725228,AV. AURELIO ÁLVAREZ C/V AV. FRANCISCO QUEVEDO
-3.53430841706115,40.338185097458556,AV. AURERLIO ÁLVAREZ C/V  CL.GUILLERMO MARCONI
-3.533489395944912,40.340984688580974,AV. DE FRANCISCO DE QUEVEDO C/V AV. DE LA TÉCNICA
-3.532432130291338,40.342583707662826,AV. FRANCISCO QUEVEDO C/V CL. ELECTRODO
-3.528936510319959,40.347124079990429,AV. DE JOSE HIERRO C/V AV. DE FRANCISCO DE QUEVEDO
-3.526885059710146,40.349260165434458,AV. PABLO IGLESIAS C/V CL. JOVELLANOS
-3.525305153183585,40.352669359650179,AV. RAMÓN Y CAJAL C/V CL. JOVELLANOS
-3.527391443289462,40.35653659647128,PARQUE BELLAVISTA
-3.528171821657153,40.354421406836053,AV. RAMÓN Y CAJAL C/V CL. PENSAMIENTO
-3.529883687563099,40.352940722415035,CL. PENSAMIENTO
-3.531608053000734,40.351424623218861,AV. PABLO IGLESIAS CON MARIO BARGAS LLOSA
-3.533715333671695,40.349597225325823,AV. DE JOSÉ HIERRO C/V RD. DE GLORIA FUENTES
