DISTRITO,SECCION,MESA,OPCION,VOTOS
01,004,A,IUCMLI,38
01,004,A,LCE,0
01,004,A,LV,3
01,004,A,LVGVE,2
01,004,A,MSR,0
01,004,A,PACMA,1
01,004,A,PCPE,0
01,004,A,PFV,0
01,004,A,PH,1
01,004,A,PMMJ,1
01,004,A,POSI,0
01,004,A,PP,76
01,004,A,PRC,0
01,004,A,PSA,0
01,004,A,PSOE,176
01,004,A,SAI,0
01,004,A,SZL,0
01,004,A,UCE,0
01,004,A,UCL,0
01,004,A,UNA,0
01,004,A,UPYD,24
01,004,A,UV,0
01,004,B,AA,0
01,004,B,AE,1
01,004,B,BL,6
01,004,B,CDL,1
01,004,B,CDS,0
01,004,B,CPE,0
01,004,B,DN,0
01,004,B,EU,2
01,004,B,FA,0
01,004,B,FEJ,0
01,004,B,FN,0
01,004,B,IARV,3
01,004,B,IF,0
01,004,B,IILSEP,0
01,004,B,IUCMLI,48
01,004,B,LCE,0
01,004,B,LV,1
01,004,B,LVGVE,4
01,004,B,MSR,0
01,004,B,PACMA,1
01,004,B,PCPE,0
01,004,B,PFV,1
01,004,B,PH,1
01,004,B,PMMJ,0
01,004,B,POSI,0
01,004,B,PP,103
01,004,B,PRC,0
01,004,B,PSA,0
01,004,B,PSOE,171
01,004,B,SAI,0
01,004,B,SZL,0
01,004,B,UCE,0
01,004,B,UCL,0
01,004,B,UNA,0
01,004,B,UPYD,24
01,004,B,UV,0
01,005,A,AA,0
01,005,A,AE,1
01,005,A,BL,6
01,005,A,CDL,0
01,005,A,CDS,1
01,005,A,CPE,0
01,005,A,DN,0
01,005,A,EU,0
01,005,A,FA,0
01,005,A,FEJ,0
01,005,A,FN,0
01,005,A,IARV,2
01,005,A,IF,0
01,005,A,IILSEP,2
01,005,A,IUCMLI,47
01,005,A,LCE,0
01,005,A,LV,0
01,005,A,LVGVE,0
01,005,A,MSR,0
01,005,A,PACMA,0
01,005,A,PCPE,0
01,005,A,PFV,0
01,005,A,PH,0
01,005,A,PMMJ,0
01,005,A,POSI,0
01,005,A,PP,129
01,005,A,PRC,0
01,005,A,PSA,0
01,005,A,PSOE,135
01,005,A,SAI,0
01,005,A,SZL,0
01,005,A,UCE,0
01,005,A,UCL,0
01,005,A,UNA,0
01,005,A,UPYD,25
01,005,A,UV,0
01,005,B,AA,0
01,005,B,AE,2
01,005,B,BL,6
01,005,B,CDL,0
01,005,B,CDS,1
01,005,B,CPE,1
01,005,B,DN,0
01,005,B,EU,0
01,005,B,FA,0
01,005,B,FEJ,0
01,005,B,FN,0
01,005,B,IARV,2
01,005,B,IF,0
01,005,B,IILSEP,5
01,005,B,IUCMLI,39
01,005,B,LCE,0
01,005,B,LV,1
01,005,B,LVGVE,3
01,005,B,MSR,0
01,005,B,PACMA,1
01,005,B,PCPE,0
01,005,B,PFV,0
01,005,B,PH,1
01,005,B,PMMJ,0
01,005,B,POSI,0
01,005,B,PP,133
01,005,B,PRC,0
01,005,B,PSA,0
01,005,B,PSOE,146
01,005,B,SAI,0
01,005,B,SZL,0
01,005,B,UCE,2
01,005,B,UCL,0
01,005,B,UNA,0
01,005,B,UPYD,42
01,005,B,UV,0
01,006,A,AA,0
01,006,A,AE,0
01,006,A,BL,2
01,006,A,CDL,0
01,006,A,CDS,0
01,006,A,CPE,0
01,006,A,DN,0
01,006,A,EU,0
01,006,A,FA,0
01,006,A,FEJ,0
01,006,A,FN,0
01,006,A,IARV,1
01,006,A,IF,0
01,006,A,IILSEP,1
01,006,A,IUCMLI,35
01,006,A,LCE,0
01,006,A,LV,0
01,006,A,LVGVE,1
01,006,A,MSR,0
01,006,A,PACMA,0
01,006,A,PCPE,2
01,006,A,PFV,0
01,006,A,PH,0
01,006,A,PMMJ,0
01,006,A,POSI,0
01,006,A,PP,140
01,006,A,PRC,0
01,006,A,PSA,0
01,006,A,PSOE,105
01,006,A,SAI,0
01,006,A,SZL,0
01,006,A,UCE,0
01,006,A,UCL,0
01,006,A,UNA,0
01,006,A,UPYD,4
01,006,A,UV,0
01,006,B,AA,0
01,006,B,AE,0
01,006,B,BL,0
01,006,B,CDL,0
01,006,B,CDS,0
01,006,B,CPE,0
01,006,B,DN,0
01,006,B,EU,0
01,006,B,FA,0
01,006,B,FEJ,0
01,006,B,FN,1
01,006,B,IARV,0
01,006,B,IF,1
01,006,B,IILSEP,0
01,006,B,IUCMLI,47
01,006,B,LCE,0
01,006,B,LV,1
01,006,B,LVGVE,0
01,006,B,MSR,148
01,006,B,PACMA,0
01,006,B,PCPE,0
01,006,B,PFV,0
01,006,B,PH,0
01,006,B,PMMJ,1
01,006,B,POSI,0
01,006,B,PP,137
01,006,B,PRC,0
01,006,B,PSA,0
01,006,B,PSOE,2
01,006,B,SAI,0
01,006,B,SZL,0
01,006,B,UCE,0
01,006,B,UCL,0
01,006,B,UNA,0
01,006,B,UPYD,32
01,006,B,UV,0
01,006,C,AA,0
01,006,C,AE,0
01,006,C,BL,0
01,006,C,CDL,0
01,006,C,CDS,0
01,006,C,CPE,0
01,006,C,DN,0
01,006,C,EU,0
01,006,C,FA,1
01,006,C,FEJ,0
01,006,C,FN,0
01,006,C,IARV,1
01,006,C,IF,0
01,006,C,IILSEP,1
01,006,C,IUCMLI,36
