uri,rdfs_label,geo_long,geo_lat
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/0,Asiento público 0,-6.39541592944,39.4791014429
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/1,Asiento público 1,-6.3954285031,39.4790884818
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/10,Asiento público 10,-6.39522518492,39.4790884289
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/100,Asiento público 100,-6.39590271223,39.4794802724
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/1000,Asiento público 1000,-6.35736915224,39.4959781453
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/1001,Asiento público 1001,-6.35716948654,39.4960080903
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/1002,Asiento público 1002,-6.35698409913,39.4960896332
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/1003,Asiento público 1003,-6.35657941727,39.495949946
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/1004,Asiento público 1004,-6.35664289357,39.4957936249
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/1005,Asiento público 1005,-6.35676937184,39.4958051447
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/1006,Asiento público 1006,-6.35688557984,39.4956691431
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/1007,Asiento público 1007,-6.3570041316,39.4956997091
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/1008,Asiento público 1008,-6.35726367344,39.4956479119
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/1009,Asiento público 1009,-6.35713143208,39.4955991387
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/101,Asiento público 101,-6.39589025473,39.4794932362
http://opendata.caceres.es/recurso/urbanismo-infraestructuras/mobiliario-urbano/AsientoPublico/1010,Asiento público 1010,-6.35739160147,39.4955759061
