uri,foaf_name,geo_lat,geo_long
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/117-parada-p-capellanias-clabradores-cruce-herreros,"P. Capellanias, c/Labradores (cruce Herreros)",39.4855756403,-6.42266474168
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/121-parada-puente-vadillo-cruce-betania,Puente Vadillo (cruce Betania),39.4783655805,-6.36667854241
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/122-parada-ronda-del-puente-vadillo,Ronda del Puente Vadillo,39.4758697519,-6.36586601204
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/124-parada-concordia-30,"Concordia, 30",39.4741440131,-6.36524532108
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/126-parada-fuente-concejo,Fuente Concejo,39.4727873722,-6.36819086433
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/130-parada-libra-impares-cruce-c-escorpio,Libra impares (cruce C/ Escorpio),39.4760028713,-6.39535208129
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/131-parada-libra-impares-cruce-c-osa-mayor,Libra impares (cruce C/ Osa Mayor),39.4751158906,-6.39275809557
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/132-parada-ad-bustamante-1,"A.D. Bustamante, 1",39.4720725964,-6.38841986747
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/134-parada-plaza-de-los-conquistadores-cruce-av-brocense,Plaza de los Conquistadores (cruce Av. Brocense),39.4689867084,-6.37341349157
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/135-parada-rda-s-francisco-4-cruce-cromero-ruiz,"Rda. S. Francisco, 4 (cruce c/Romero Ruiz)",39.4690549488,-6.36926143437
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/136-parada-rda-s-francisco-hospital-sp-alcantara,Rda. S. Francisco (Hospital S.P. Alcantara),39.4662222088,-6.36789208527
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/137-parada-av-hispanidad-juzgados,Av. Hispanidad (Juzgados),39.4625902316,-6.36822657136
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/139-parada-av-hispanidad-fte-pabellon-moctezuma,Av. Hispanidad (fte. Pabellon Moctezuma),39.4611136997,-6.37583645232
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/14-parada-rio-rodano-bda-de-la-abundancia,Rio Rodano (Bda. de la Abundancia),39.4522708193,-6.39161225027
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/140-parada-av-hispanidad-fte-pabellon-multiusos,Av. Hispanidad (fte. Pabellon Multiusos),39.4609524448,-6.37827148483
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/144-parada-pierre-de-coubertin-cruce-c-la-habana,Pierre de Coubertin (cruce C/ La Habana),39.4535031469,-6.37751686591
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/147-parada-av-hispanidad-49,"Av. Hispanidad, 49",39.4610048899,-6.37460862137
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/148-parada-av-hispanidad-37,"Av. Hispanidad, 37",39.4615358556,-6.37099747055
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/149-parada-av-hispanidad-9-frente-a-juzgados,"Av. Hispanidad, 9 (frente a Juzgados)",39.4625079663,-6.3677764091
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/15-parada-a-moret-cruce-c-danubio,A. Moret (cruce c/ Danubio),39.4518764982,-6.38969798923
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/150-parada-rda-s-francisco-fte-htal-s-p-alcantara,Rda. S. Francisco (fte. Htal. S. P. Alcantara),39.4661367274,-6.36769772147
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/151-parada-puente-s-franciscoresidencial-san-francisco,Puente S. Francisco(Residencial San Francisco),39.4692434463,-6.36923108464
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/152-parada-colon-cruce-pza-conquistadores,Colon (cruce Pza Conquistadores),39.4696019357,-6.37352982394
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/153-parada-a-d-bustamante-2-cruce-islas-canarias,"A. D. Bustamante, 2 (cruce Islas Canarias)",39.4723074118,-6.38844595378
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/154-parada-libra-pares-cruce-c-osa-mayor,"Libra, pares (cruce C/ Osa Mayor)",39.4752686516,-6.39274076497
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/155-parada-libra-pares-cruce-c-escorpio,Libra pares (cruce C/ Escorpio),39.4761831574,-6.39535697775
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/156-parada-av-hispanidad-estacion-autobuses,Av. Hispanidad (estacion autobuses),39.460846612,-6.38116930296
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/157-parada-arsenio-gallego-fte-centro-de-salud,Arsenio Gallego (fte. Centro de Salud),39.4864838978,-6.36515141059
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/160-parada-bda-cerro-de-los-pinos,Bda. Cerro de los Pinos,39.4555903315,-6.3918020558
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/161-parada-campus-filosofia-y-letras,Campus (Filosofia y Letras),39.4792106398,-6.33852606786
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/162-parada-av-antonio-hurtado-22,"Av. Antonio Hurtado, 22",39.4658210483,-6.37684505179
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/163-parada-av-cervantes-casa-cultura,Av. Cervantes (Casa Cultura),39.4587400564,-6.37046353765
http://opendata.caceres.es/recurso/transporte/autobuses/Parada/164-parada-club-de-tenis-cabezarrubia,Club de Tenis Cabezarrubia,39.4769344462,-6.40195495315
