uri,rdfs_comment,geo_long,geo_lat,om_seccionProcedencia,om_horarioEvento,event_place,om_categoriaEvento,rdfs_label,event_time_intervalStarts,event_time_intervalFinishes,subEvent
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/194,"actuación del grupo de teatro cambaluzateneo. título de la obra: ""cáceres, un sentimiento monumental""",-6.370159,39.496473,Cultura,viernes 20 de octubre a las 19:30 h en mejostilla-gredos,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/2-casa-de-cultura-mejostilla,Teatro/Cine,"Actuación del grupo de teatro cambaluzateneo. título de la obra: cáceres, un sentimiento monumental",2017-10-20T00:00:00Z,2017-10-20T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/191,presentacion del libro trece es una recopilación de 13 de sus relatos premiados. autora: montaña campón,-6.372852,39.475528,Cultura,"a las 19,00 horas",http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/86-palacio-de-la-isla,Presentación de libro,Presentacion del libro trece,2017-10-19T00:00:00Z,2017-10-19T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/133,concierto de verano de la banda municipal de música de cáceres jueves 22 de junio casa plata (parque de las pérgolas),-6.372852,39.475528,Cultura,jueves 22 de junio a las 21 h en el parque de las pérgolas,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/86-palacio-de-la-isla,Concierto,Concierto de verano de la banda municipal de música de cáceres jueves 22 de junio casa plata (parque de las pérgolas),2017-06-22T00:00:00Z,2017-06-22T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/143,cine de verano en el parque del principe,-6.38113,39.47596,Cultura,a partir de las 22:00 horas,http://opendata.caceres.es/recurso/medio-ambiente/parques/Parque/23-parque-del-principe,Concierto,Cine de verano en el parque del principe,2017-07-12T00:00:00Z,2017-08-09T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/167,agenda cultural septiembre 2017,0,0,CULTURA,lunes a viernes 8.00 a 13.00. 16.30 a 20.00 horas,,Otros,Agenda cultural septiembre 2017,2017-09-01T00:00:00Z,2017-09-30T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/164,"xxxix fiesta de la bicicleta, domingo 24 de septiembre de 2017el pelotón saldrá hacia las 10.00 horas de la avenida de españa (a la altura de doctor marañón) para enfilar hacia la plaza mayor por la calle san antón y gran vía. después, se seguirá por la calle general margallo para llegar a la plaza de toros y coger la avenida de hernán cortés para finalizar en el centro comercial ruta de la plata",-6.378428,39.470508,Deportes,,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3048,Deportes,Xxxix fiesta de la bicicleta,2017-09-24T00:00:00Z,2017-09-24T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/41,"la organización de los premios san pancracio de cine requiere a los galardonados (al menos ) media etiqueta en la asistencia a la gala benéfica de clausura. la organización (y la asociación de moda sostenible de extremadura ) aconseja, por respeto, el mismo protocolo a los aistnentes a la dicha gla . gracias",-6.37547,39.4732,Cultura,"20,30 horas gran teatro de cáceres",http://opendata.caceres.es/recurso/cultura-ocio/teatros/Teatro/0-gran-teatro,Festival,Premios san pancracio de cine 2017 24 aniversario,2017-03-18T00:00:00Z,2017-03-18T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/61,exposición fotográfica de semana santa pasión por cáceres las fotografías muestran las cofradías de la ciudad con sus maravillosas imágenes y tallas por las calles de cáceres.,-6.370543,39.458937,Cultura,durante todo el mes de abril en rodriguez moñino,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/1-casa-de-cultura-antonio-rodriguez-monino,Exposición,Exposición fotográfica de semana santa pasión por cáceres las fotografías muestran las cofradías de la ciudad con sus maravillosas imágenes y tallas por las calles de cáceres.,2017-04-03T00:00:00Z,2017-04-30T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/123,"taller infantil de pintura: pinta y diviértete en la casa de cultura ""la cañada"" edad: de 4 a 12 años",-6.383671,39.445666,Cultura,jueves 15 de junio a las 18:30 horas,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/3-casa-de-cultura-la-canada,Otros,Taller infantil de pintura: pinta y diviértete en la casa de cultura la cañada edad: de 4 a 12 años,2017-06-15T00:00:00Z,2017-06-15T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/3-0,,,,,,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/barrios/Barrio/47-parque-del-principe,,Salida pruebas 5 y 10 km,2017-03-12T10:30:00Z,2017-03-12T10:45:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/18,"taller de juegos bolos, lanzamiento de aro, fútbol chapa, laberinto...y muchos más!!!!",-6.370543,39.458937,Cultura,taller de juegos: a las 18:00 horas,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/1-casa-de-cultura-antonio-rodriguez-monino,Otros,"Taller de juegos bolos, lanzamiento de aro, fútbol chapa, laberinto...y muchos más!!!!",2017-02-09T00:00:00Z,2017-02-09T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/99," apoyar, dar a conocer y publicitar a artistas y fotógrafos dándoles la oportunidad de exponer manteniendo todos sus derechos de autor sobre las obras.  recaudar fondos benéficos para becar a niños sin recursos en el ""ii campamento solidario. "" salomé ollero""",-6.372852,39.475528,Cultura,"lunes a viernes 9,00 a15,00 h. y de 16,30 a 20,00 h",http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/86-palacio-de-la-isla,Exposición,Primer concurso de fotografía solidario a favor de niños sin recursos.extremadura en primavera,2017-06-26T00:00:00Z,2017-06-30T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/85,tríptico del mes de mayo de cultura cerca de tí,-6.370543,39.458937,Cultura,mes de mayo,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/1-casa-de-cultura-antonio-rodriguez-monino,Otros,Tríptico del mes de mayo de cultura cerca de tí,2017-05-05T00:00:00Z,2017-05-31T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/122,"exposición en la que podremos admirar más de medio centenar de obras realizadas por pintores y pintoras de dicha asociación, convirtiéndose en la más extensa colección de arte italiano contemporáneo que se ha expuesto en nuestra ciudad. entrega de premios 23 junio a las 19,30 h.",-6.372852,39.475528,Cultura,"lunes a viernes de 9,00 a 15,00 h.",http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/86-palacio-de-la-isla,Exposición - Entrega de premios.,Exposición colectiva de arteitaliano contemporáneo y entrega de premios arcobaleno,2017-06-20T00:00:00Z,2017-07-07T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/175,"exibición de ajedrez. partidas simultáneas domingo día 1 de octubre de 2017 en el paseo de cánovas de 11,30 a 14,00 horas",-6.37817,39.47048,Deportes,"de 11,30 a 14,00 horas",http://opendata.caceres.es/recurso/medio-ambiente/parques/Parque/7-parque-de-canovas,Deportes,Exibición de ajedrez,2017-10-01T00:00:00Z,2017-10-01T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/50,concierto banda municipal de música de cáceres un paseo por hollywood dirige fco javier cortés sánchez presenta fernando jiménez berrocal,-6.37493,39.47286,Cultura,"20,00 horas",,Concierto,Concierto banda municipal de música de cáceres un paseo por hollywood,2017-03-25T00:00:00Z,2017-03-25T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/70,"taller de san jorge los niños/as conocerán la leyenda de san jorge y a continuación harán actividades relacionadas con el cuento: diseño de escudo y espada, diseño de coronas, mural de san jorge...",-6.370543,39.458937,Cultura,jueves 20 de abril a las 18:00 horas,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/1-casa-de-cultura-antonio-rodriguez-monino,Otros,"Taller de san jorge los niños/as conocerán la leyenda de san jorge y a continuación harán actividades relacionadas con el cuento: diseño de escudo y espada, diseño de coronas, mural de san jorge...",2017-04-20T00:00:00Z,2017-04-20T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/94,"función de teatro a cargo del grupo cambaluzateneo harán un recorrido por cáceres, por sus fiestas, tradiciones y lugares.",-6.383671,39.445666,Cultura,viernes 19 de mayo a las 20:30,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/3-casa-de-cultura-la-canada,Teatro/Cine,"Función de teatro a cargo del grupo cambaluzateneo harán un recorrido por cáceres, por sus fiestas, tradiciones y lugares.",2017-05-19T00:00:00Z,2017-05-19T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/60,programación actividades culturales del mes de abril 2017,-6.372852,39.475528,Cultura,,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/86-palacio-de-la-isla,Otros,Programación actividades culturales mes abril 2017,2017-04-01T00:00:00Z,2017-04-30T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/12,exposición mi interior con vistas autora: ana hernández san pedro es una declaración de intenciones con la que ana abre y desnuda su interior artístico a la vista del expectador.,-6.372852,39.475528,Cultura,de lunes a viernes de 9 a15 y de 16.30 a 20.00h.,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/86-palacio-de-la-isla,Exposición,Exposición mi interior con vistas autora: ana hernández san pedro,2017-02-02T00:00:00Z,2017-02-27T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/79,"tríptico de mayo aqui podemos ver los talleres infantiles, actuación de teatro y exposiciones de este mes.",-6.370159,39.496473,Cultura,durante todo el mes de mayo,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/2-casa-de-cultura-mejostilla,Otros,"Tríptico de mayo con los talleres infantiles, actuación de teatro y exposiciones de este mes.",2017-05-02T00:00:00Z,2017-05-31T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/65,concierto de guitarra de femae concierto de los alumnos/as del aula de guitarra de la escuela municipal de música (femae),-6.383671,39.445666,Cultura,viernes día 7 de abril a las 20:00 horas,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/3-casa-de-cultura-la-canada,Concierto,Concierto de guitarra de femae concierto de los alumnos/as del aula de guitarra de la escuela municipal de música (femae),2017-04-07T00:00:00Z,2017-04-07T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/181,"programación cultura cerca de ti, mes de octubre",-6.370543,39.458937,Cultura,durante todo el mes de octubre,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/1-casa-de-cultura-antonio-rodriguez-monino,Otros,"Programación cultura cerca de ti, mes de octubre",2017-10-01T00:00:00Z,2017-10-31T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/48,"cultura cerca de tí taller de pintura : pinta y diviértete: pintura sobre cartón, cartulina, con sellos, acuarelas, témperas, lápices y rotuladores, tizas de colores..para niños y niñas de 5 a 12 años. les esperamos!!",-6.370543,39.458937,Cultura,jueves día 9 a las 18:00 horas,http://opendata.caceres.es/recurso/cultura-ocio/cultura/CasaCultura/1-casa-de-cultura-antonio-rodriguez-monino,Otros,"Cultura cerca de tí taller de pintura : pinta y diviértete: pintura sobre cartón, cartulina, con sellos, acuarelas, témperas, lápices y rotuladores, tizas de colores. de 5 a 12 años. les esperamos!!",2017-03-09T00:00:00Z,2017-03-09T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/161,"xxi campeonato de españa pesca blackbass desde embarcación categoría absoluta. tendrá lugar en el embalse de alcántara zona de tajomar, del 26 al 28 de octubre de 2017",-6.37134,39.47521,Deportes,,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/barrios/Barrio/50-plaza-mayor,Deportes,Xxi campeonato de españa pesca blackbass desde embarcación. categoría absoluta,2017-10-26T00:00:00Z,2017-10-29T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/88,la obra consta de 40/50 obras de cerámica realizadas en los últimos 3 años. entre ellas se encuentran algunas de sus nuevas obras sencillas en las que la función de los nuevos esmaltes y diferentes tipos de rakús es la de darles una nueva expresividad. ,-6.372852,39.475528,Cultura,"lunes a viernes de 9,00 a 15,00 y de 16,30 a 20,00 horas",http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/86-palacio-de-la-isla,Exposición,Exposición transición ana martinezblay medrano,2017-05-11T00:00:00Z,2017-06-06T00:00:00Z,""
http://opendata.caceres.es/recurso/cultura-ocio/agenda/Evento/121,"un año más, desde la red de bibliotecas municipales, se organiza esta actividad poética en torno a la noche de san juan. se tratará de una velada poéticomusical en la que tendrá cabida la lectura poética abierta a todos los entusiastas de la poesía, y la actuación del cantautor portugués jorge goís, que nos deleitará con una serie de canciones hispanoportuguesas. ¡ no te lo puedes perder!",-6.372852,39.475528,Cultura,"21,30 horas",http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/86-palacio-de-la-isla,Música y Poesía,Poesia a la noche de san juan,2017-06-22T00:00:00Z,2017-06-22T00:00:00Z,""
