uri,rdfs_label,om_ejercicioEconomico,om_presupuestoFormadoPor,om_entidadOrdenantePresupuesto,om_fechaAprobacionPresupuesto,om_presupuestoFormadoPor_numeroCapitulo,om_presupuestoFormadoPor_cantidadCapitulo,om_presupuestoFormadoPor_denominacionCapitulo,om_presupuestoFormadoPor_tipoApunteCapitulo,om_presupuestoFormadoPor_tipoOperacionCapitulo
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,Presupuesto del Ayuntamiento 2014,2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2014-1-AYTO-Gasto1,Ayuntamiento,2/12/2013,1,21450000,Gastos De Personal,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,Presupuesto del Ayuntamiento 2014,2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2014-1-AYTO-Gasto2,Ayuntamiento,2/12/2013,2,23385508.3,Gastos Corrientes En Bienes Y Servicios,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,Presupuesto del Ayuntamiento 2014,2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2014-1-AYTO-Gasto3,Ayuntamiento,2/12/2013,3,675638.12,Gastos Financieros,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,Presupuesto del Ayuntamiento 2014,2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2014-1-AYTO-Gasto4,Ayuntamiento,2/12/2013,4,9407084.35,Transferencias Corrientes,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,Presupuesto del Ayuntamiento 2014,2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2014-1-AYTO-Gasto6,Ayuntamiento,2/12/2013,6,5714330,Inversiones Reales,Gasto,No Financiera De Capital
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,Presupuesto del Ayuntamiento 2014,2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2014-1-AYTO-Gasto7,Ayuntamiento,2/12/2013,7,10000,Transferencias De Capital,Gasto,No Financiera De Capital
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,Presupuesto del Ayuntamiento 2014,2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2014-1-AYTO-Gasto8,Ayuntamiento,2/12/2013,8,100000,Activos Financieros,Gasto,Financiera
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,Presupuesto del Ayuntamiento 2014,2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2014-1-AYTO-Gasto9,Ayuntamiento,2/12/2013,9,7540151.71,Pasivos Financieros,Gasto,Financiera
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,Presupuesto del Ayuntamiento 2014,2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2014-1-AYTO-Ingreso1,Ayuntamiento,2/12/2013,1,33474590.96,Impuestos Directos,Ingreso,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,Presupuesto del Ayuntamiento 2014,2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2014-1-AYTO-Ingreso2,Ayuntamiento,2/12/2013,2,2703910.95,Impuestos Indirectos,Ingreso,No Financiera Corriente
