uri,geo_long,om_idParcela,geo_lat,om_medidaParcela,rdfs_label,om_tipoParcela
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a15-pulpo,-6.374475,A15,39.440598,17 m.,Pulpo,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a16-caballitos,-6.374411,A16,39.440481,12 m.,Caballitos,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a17-pista-infantil,-6.374715,A17,39.441603,13 m.,Pista Infantil,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a18-jumping,-6.374673,A18,39.441518,8 m.,Jumping,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a19-giro-loco,-6.374633,A19,39.441442,10 m.,Giro Loco,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a20-infantil,-6.374578,A20,39.441341,14 m.,Infantil,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a21-tren-de-la-bruja,-6.374512,A21,39.441226,14 m.,Tren De La Bruja,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a22-pista-de-motos,-6.374648,A22,39.441619,16 m,Pista De Motos,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a23-infantil,-6.37459,A23,39.441506,10 m,Infantil,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a24-pista-infantil,-6.374547,A24,39.441416,13 m,Pista Infantil,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a25-jumping,-6.374484,A25,39.441307,10 m,Jumping,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a26-baby,-6.374439,A26,39.441223,8 m,Baby,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a27-scalextric,-6.374377,A27,39.440986,15 m.,Scalextric,atraccion
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/a28-pista-infantil,-6.374316,A28,39.440879,12 m.,Pista Infantil,atraccion
