uri,om_ejecucionPresupuestoFormadoPor,rdfs_label,om_presupuestoEjecutado,om_trimestreEjecucionPresupuesto,om_ejecucionPresupuestoFormadoPor_reintegroDeGastos,om_ejecucionPresupuestoFormadoPor_pagosRealizados,om_ejecucionPresupuestoFormadoPor_numeroCapitulo,om_ejecucionPresupuestoFormadoPor_modificacionesCapitulo,om_ejecucionPresupuestoFormadoPor_estadoDeLaEjecucion,om_ejecucionPresupuestoFormadoPor_obligacionesReconocidas
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2016-4-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2016-4-AYTO-Gasto-1,Ejecución del cuarto trimestre del presupuesto del Ayuntamiento 2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,4,3756.53,7443964.23,1,1331498.39,17125799.33,6655403.58
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2016-4-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2016-4-AYTO-Gasto-2,Ejecución del cuarto trimestre del presupuesto del Ayuntamiento 2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,4,1203.95,6608126.63,2,-519035.05,14002500.46,8710586.27
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2016-4-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2016-4-AYTO-Gasto-3,Ejecución del cuarto trimestre del presupuesto del Ayuntamiento 2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,4,,788866.59,3,1634537.96,238628.3,1892909.66
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2016-4-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2016-4-AYTO-Gasto-4,Ejecución del cuarto trimestre del presupuesto del Ayuntamiento 2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,4,,2882327.77,4,213251.87,7474765.02,3137783.82
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2016-4-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2016-4-AYTO-Gasto-5,Ejecución del cuarto trimestre del presupuesto del Ayuntamiento 2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,4,,,5,-86416.75,203583.25,
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2016-4-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2016-4-AYTO-Gasto-6,Ejecución del cuarto trimestre del presupuesto del Ayuntamiento 2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,4,,335423.38,6,-172500.36,6250396.43,712623.21
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2016-4-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2016-4-AYTO-Gasto-7,Ejecución del cuarto trimestre del presupuesto del Ayuntamiento 2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,4,,567420.79,7,,32579.21,567420.79
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2016-4-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2016-4-AYTO-Gasto-8,Ejecución del cuarto trimestre del presupuesto del Ayuntamiento 2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,4,,7200,8,,92800,7200
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2016-4-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2016-4-AYTO-Gasto-9,Ejecución del cuarto trimestre del presupuesto del Ayuntamiento 2016,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2016-1-AYTO,4,,303215.86,9,,881828.66,508248.26
