uri,rdfs_comment,geo_long,geo_lat,om_situadoEnVia,rdfs_label,enlacesSIG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/315,La plaza de movilidad reducida 315 está situada en el barrio Parque Del Principe,-6.38671153455,39.4714866546,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-1125,Plaza de movilidad reducida 315,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=317; http://sig.caceres.es/fotosOriginales/MOVILIDAD/1125_2_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/90,La plaza de movilidad reducida 90 está situada en el barrio Los Fratres,-6.38328047718,39.4622148229,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3427,Plaza de movilidad reducida 90,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=91; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3427_2_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/62,La plaza de movilidad reducida 62 está situada en el barrio El Rodeo,-6.37279803298,39.4637662228,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3951,Plaza de movilidad reducida 62,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=63; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3951_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/232,La plaza de movilidad reducida 232 está situada en el barrio Nuevo Caceres,-6.37909164398,39.4601462347,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3625,Plaza de movilidad reducida 232,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=234; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3625_2_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/49,La plaza de movilidad reducida 49 está situada en el barrio Canovas,-6.37931985052,39.4690959915,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3048,Plaza de movilidad reducida 49,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=50; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3048_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/54,La plaza de movilidad reducida 54 está situada en el barrio Reyes Huertas,-6.37566552897,39.469615128,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-276,Plaza de movilidad reducida 54,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=55; http://sig.caceres.es/fotosOriginales/MOVILIDAD/276_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/465,La plaza de movilidad reducida 465 está situada en el barrio Vegas Del Mocho,-6.35871440985,39.4863617516,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3870,Plaza de movilidad reducida 465,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=469; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3870_4_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/71,La plaza de movilidad reducida 71 está situada en el barrio El Rodeo,-6.37098836201,39.4654562003,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3809,Plaza de movilidad reducida 71,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=72; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3809_4_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/214,La plaza de movilidad reducida 214 está situada en el barrio Rio Tinto,-6.39296042415,39.4442919422,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-4148,Plaza de movilidad reducida 214,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=216; http://sig.caceres.es/fotosOriginales/MOVILIDAD/4148_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/187,La plaza de movilidad reducida 187 está situada en el barrio Casa Plata,-6.3696425787,39.4479331532,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3984,Plaza de movilidad reducida 187,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=189; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3984_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/437,La plaza de movilidad reducida 437 está situada en el barrio Montesol,-6.36858655162,39.4887380576,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3932,Plaza de movilidad reducida 437,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=441; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3932_2_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/343,La plaza de movilidad reducida 343 está situada en el barrio R-66B El Arco,-6.39334436642,39.4738988638,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3390,Plaza de movilidad reducida 343,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=346; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3390_2_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/264,La plaza de movilidad reducida 264 está situada en el barrio Estacion,-6.39580635031,39.4677507507,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-4143,Plaza de movilidad reducida 264,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=266; http://sig.caceres.es/fotosOriginales/MOVILIDAD/4143_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/93,La plaza de movilidad reducida 93 está situada en el barrio Los Fratres,-6.38333940342,39.4621317677,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3427,Plaza de movilidad reducida 93,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=94; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3427_1_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/504,La plaza de movilidad reducida 504 está situada en el barrio Campus Universitario,-6.33309324443,39.4772608686,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3425,Plaza de movilidad reducida 504,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=508; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3425_29_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/446,La plaza de movilidad reducida 446 está situada en el barrio Montesol,-6.36777070255,39.4886771115,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/avda-3932,Plaza de movilidad reducida 446,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=450; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3932_7_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/341,La plaza de movilidad reducida 341 está situada en el barrio R-66B El Arco,-6.39378368539,39.4737841397,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3390,Plaza de movilidad reducida 341,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=344; http://sig.caceres.es/fotosOriginales/MOVILIDAD/3390_3_1.JPG
http://opendata.caceres.es/recurso/transporte/aparcamientos/PlazaMovilidadReducida/143,La plaza de movilidad reducida 143 está situada en el barrio Margallo,-6.37356768495,39.475683708,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-353,Plaza de movilidad reducida 143,http://sig.caceres.es/serweb/fichasig/fichamovilidadreducida.php?mslink=144; http://sig.caceres.es/fotosOriginales/MOVILIDAD/353_1_1.JPG
