uri,rdfs_label,om_ejercicioEconomico,om_presupuestoFormadoPor,om_entidadOrdenantePresupuesto,om_fechaAprobacionPresupuesto,om_presupuestoFormadoPor_numeroCapitulo,om_presupuestoFormadoPor_cantidadCapitulo,om_presupuestoFormadoPor_denominacionCapitulo,om_presupuestoFormadoPor_tipoApunteCapitulo,om_presupuestoFormadoPor_tipoOperacionCapitulo
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2012-1-AYTO,Presupuesto del Ayuntamiento 2012,2012,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2012-1-AYTO-Gasto1,Ayuntamiento,2/27/2012,1,23714000,Gastos De Personal,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2012-1-AYTO,Presupuesto del Ayuntamiento 2012,2012,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2012-1-AYTO-Gasto2,Ayuntamiento,2/27/2012,2,29297000,Gastos Corrientes En Bienes Y Servicios,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2012-1-AYTO,Presupuesto del Ayuntamiento 2012,2012,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2012-1-AYTO-Gasto3,Ayuntamiento,2/27/2012,3,2971000,Gastos Financieros,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2012-1-AYTO,Presupuesto del Ayuntamiento 2012,2012,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2012-1-AYTO-Gasto4,Ayuntamiento,2/27/2012,4,13933000,Transferencias Corrientes,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2012-1-AYTO,Presupuesto del Ayuntamiento 2012,2012,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2012-1-AYTO-Gasto6,Ayuntamiento,2/27/2012,6,6077000,Inversiones Reales,Gasto,No Financiera De Capital
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2012-1-AYTO,Presupuesto del Ayuntamiento 2012,2012,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2012-1-AYTO-Gasto7,Ayuntamiento,2/27/2012,7,183000,Transferencias De Capital,Gasto,No Financiera De Capital
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2012-1-AYTO,Presupuesto del Ayuntamiento 2012,2012,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2012-1-AYTO-Gasto8,Ayuntamiento,2/27/2012,8,100000,Activos Financieros,Gasto,Financiera
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2012-1-AYTO,Presupuesto del Ayuntamiento 2012,2012,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2012-1-AYTO-Gasto9,Ayuntamiento,2/27/2012,9,16456000,Pasivos Financieros,Gasto,Financiera
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2012-1-AYTO,Presupuesto del Ayuntamiento 2012,2012,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2012-1-AYTO-Ingreso1,Ayuntamiento,2/27/2012,1,30957000,Impuestos Directos,Ingreso,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2012-1-AYTO,Presupuesto del Ayuntamiento 2012,2012,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2012-1-AYTO-Ingreso2,Ayuntamiento,2/27/2012,2,3212000,Impuestos Indirectos,Ingreso,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2012-1-AYTO,Presupuesto del Ayuntamiento 2012,2012,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2012-1-AYTO-Ingreso3,Ayuntamiento,2/27/2012,3,7042000,"Tasas, Precios Públicos Y Otros Ingresos",Ingreso,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2012-1-AYTO,Presupuesto del Ayuntamiento 2012,2012,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2012-1-AYTO-Ingreso4,Ayuntamiento,2/27/2012,4,14818000,Transferencia Corrientes,Ingreso,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2012-1-AYTO,Presupuesto del Ayuntamiento 2012,2012,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2012-1-AYTO-Ingreso5,Ayuntamiento,2/27/2012,5,38043000,Ingresos Patrimoniales,Ingreso,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2012-1-AYTO,Presupuesto del Ayuntamiento 2012,2012,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2012-1-AYTO-Ingreso6,Ayuntamiento,2/27/2012,6,5714000,Enajenación de Inversiones Reales,Ingreso,No Financiera De Capital
