uri,geo_long,geo_lat,owl_sameAs,om_tipoMonumento,rdfs_label,om_tieneEnlaceSIG,schema_address_addressLocality,schema_address_addressCountry
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/11-casa-de-los-ribera,-6.3712626104,39.4742560994,,Casa,Casa de los Ribera,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1187,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/110-torre-de-carvajal,-6.36977553316,39.4746653532,,Torre,Torre de Carvajal,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1183,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/111-torre-de-espaderos,-6.36978343575,39.4751953028,,Torre,Torre de Espaderos,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1180,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/112-torre-de-la-hierba,-6.37149542656,39.4745731348,,Torre,Torre de la Hierba,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1195,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/113-torre-de-la-puerta-del-concejo,-6.36904907193,39.4732966356,,Torre,Torre de la Puerta del Concejo,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1212,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/114-torre-de-las-ciguenas,-6.3707592376,39.4731071209,,Torre,Torre de las Cigueñas,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1200,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/115-torre-de-los-pozos-o-del-gitano,-6.36919471844,39.4723939829,,Torre,Torre de los Pozos o del Gitano,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1209,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/116-torre-de-los-pulpitos,-6.37129009425,39.4748008545,,Torre,Torre de los Pulpitos,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1220,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/117-torre-de-los-sande,-6.37120283837,39.4732977204,,Torre,Torre de los Sande,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1199,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/118-torre-de-merida-este,-6.37109929022,39.4719748672,,Torre,Torre de Merida-Este,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1216,Cáceres,ES
