uri,om_ejecucionPresupuestoFormadoPor,rdfs_label,om_presupuestoEjecutado,om_trimestreEjecucionPresupuesto,om_ejecucionPresupuestoFormadoPor_reintegroDeGastos,om_ejecucionPresupuestoFormadoPor_pagosRealizados,om_ejecucionPresupuestoFormadoPor_numeroCapitulo,om_ejecucionPresupuestoFormadoPor_modificacionesCapitulo,om_ejecucionPresupuestoFormadoPor_estadoDeLaEjecucion,om_ejecucionPresupuestoFormadoPor_obligacionesReconocidas
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2014-3-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2014-3-AYTO-Gasto-1,Ejecución del tercer trimestre del presupuesto del Ayuntamiento 2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,3,13817.39,2.354474378E7,1,4606766.92,2484249.85,2.357251707E7
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2014-3-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2014-3-AYTO-Gasto-2,Ejecución del tercer trimestre del presupuesto del Ayuntamiento 2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,3,7492.25,1.682725732E7,2,-99167.93,892870.56,2.239346981E7
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2014-3-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2014-3-AYTO-Gasto-3,Ejecución del tercer trimestre del presupuesto del Ayuntamiento 2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,3,4.5,602570.33,3,23389,96406.96,602620.16
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2014-3-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2014-3-AYTO-Gasto-4,Ejecución del tercer trimestre del presupuesto del Ayuntamiento 2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,3,6298.31,4426062.53,4,264194.74,351507.94,9319771.15
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2014-3-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2014-3-AYTO-Gasto-6,Ejecución del tercer trimestre del presupuesto del Ayuntamiento 2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,3,137.92,1.090899692E7,6,1.617067771E7,9902570.09,1.198243762E7
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2014-3-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2014-3-AYTO-Gasto-7,Ejecución del tercer trimestre del presupuesto del Ayuntamiento 2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,3,,5602.5,7,11197.5,8772.39,12425.11
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2014-3-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2014-3-AYTO-Gasto-8,Ejecución del tercer trimestre del presupuesto del Ayuntamiento 2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,3,,25000,8,,75000,25000
http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionPresupuestoEntidadLocal/2014-3-AYTO,http://opendata.caceres.es/recurso/sector-publico/presupuestos/EjecucionCapituloPresupuestoEntidadLocalGasto/2014-3-AYTO-Gasto-9,Ejecución del tercer trimestre del presupuesto del Ayuntamiento 2014,http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2014-1-AYTO,3,,7540151.71,9,,,7540151.71
