uri,rdfs_label,om_tieneEnlaceSIG,om_situadoEnVia,om_numeroPlazas,schema_description,rdfs_comment,locn_geometry
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/16,Aparcamiento Ciudad Monumental 16,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=17,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3487,1,Aparcamiento 16 de la Ciudad Monumental en la calle Barrio De San Antonio,,"[[[-6.3695613545,39.4725722448],[-6.36956984045,39.4725585841],[-6.36952338923,39.4725412516],[-6.36951490328,39.4725549122],[-6.3695613545,39.4725722448]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/17,Aparcamiento Ciudad Monumental 17,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=18,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-3487,1,Aparcamiento 17 de la Ciudad Monumental en la calle Barrio De San Antonio,,"[[[-6.3695860856,39.472843331],[-6.36956708397,39.4728397268],[-6.36957906985,39.4728010537],[-6.36959772264,39.472804403],[-6.3695860856,39.472843331]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/19,Aparcamiento Ciudad Monumental 19,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=20,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-3547,1,Aparcamiento 19 de la Ciudad Monumental en la plaza Del Socorro,,"[[[-6.3695873355,39.4754332207],[-6.36957360266,39.4754435616],[-6.3695376724,39.4754149025],[-6.3695518707,39.4754044723],[-6.3695873355,39.4754332207]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/2,Aparcamiento Ciudad Monumental 2,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=3,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-23,5,Aparcamiento 2 de la Ciudad Monumental en la calle Adarve Del Obispo Alvarez De Castro,,"[[[-6.37020359187,39.4754142968],[-6.37030977591,39.4752535531],[-6.37025855513,39.4752489748],[-6.37015270484,39.4754091392],[-6.37020359187,39.4754142968]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/22,Aparcamiento Ciudad Monumental 22,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=23,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-3644,2,Aparcamiento 22 de la Ciudad Monumental en la plaza Conde De Canilleros,,"[[[-6.37043578059,39.4751286732],[-6.37041918351,39.4751206471],[-6.37035932426,39.4751964855],[-6.37037569279,39.4752041849],[-6.37043578059,39.4751286732]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/23,Aparcamiento Ciudad Monumental 23,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=24,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-3644,3,Aparcamiento 23 de la Ciudad Monumental en la plaza Conde De Canilleros,,"[[[-6.37061475075,39.4752422207],[-6.37046117449,39.4751694553],[-6.3704488078,39.4751812032],[-6.37060350884,39.4752542332],[-6.37061475075,39.4752422207]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/24,Aparcamiento Ciudad Monumental 24,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=25,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-375,4,Aparcamiento 24 de la Ciudad Monumental en la calle Pereros,,"[[[-6.37050660593,39.4723323109],[-6.37029679044,39.4724122786],[-6.37028815918,39.4723986756],[-6.37049797464,39.4723187079],[-6.37050660593,39.4723323109]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/25,Aparcamiento Ciudad Monumental 25,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=26,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/calle-375,4,Aparcamiento 25 de la Ciudad Monumental en la calle Pereros,,"[[[-6.37024880632,39.4724329882],[-6.37003978152,39.4725165176],[-6.37003082271,39.4725030513],[-6.37023984747,39.472419522],[-6.37024880632,39.4724329882]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/26,Aparcamiento Ciudad Monumental 26,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=27,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-4023,1,Aparcamiento 26 de la Ciudad Monumental en la plaza Pereros,,"[[[-6.3712497632,39.4720938278],[-6.37119896016,39.4720882078],[-6.37120166551,39.4720735178],[-6.37125246854,39.4720791378],[-6.3712497632,39.4720938278]]]"
http://opendata.caceres.es/recurso/transporte/aparcamientos/AparcamientoCiudadMonumental/27,Aparcamiento Ciudad Monumental 27,http://sig.caceres.es/serweb/fichasig/fichaparking.php?mslink=28,http://opendata.caceres.es/recurso/urbanismo-infraestructuras/vias/Via/plaza-4023,1,Aparcamiento 27 de la Ciudad Monumental en la plaza Pereros,,"[[[-6.37128884889,39.4721304906],[-6.37126884575,39.4721671179],[-6.37125121404,39.4721613339],[-6.37127121719,39.4721247066],[-6.37128884889,39.4721304906]]]"
