uri,rdfs_label,om_ejercicioEconomico,om_presupuestoFormadoPor,om_entidadOrdenantePresupuesto,om_fechaAprobacionPresupuesto,om_presupuestoFormadoPor_numeroCapitulo,om_presupuestoFormadoPor_cantidadCapitulo,om_presupuestoFormadoPor_denominacionCapitulo,om_presupuestoFormadoPor_tipoApunteCapitulo,om_presupuestoFormadoPor_tipoOperacionCapitulo
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Gasto1,Ayuntamiento,2/22/2013,1,21336000,Gastos De Personal,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Gasto2,Ayuntamiento,2/22/2013,2,23333000,Gastos Corrientes En Bienes Y Servicios,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Gasto3,Ayuntamiento,2/22/2013,3,1101000,Gastos Financieros,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Gasto4,Ayuntamiento,2/22/2013,4,10423000,Transferencias Corrientes,Gasto,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Gasto6,Ayuntamiento,2/22/2013,6,6124000,Inversiones Reales,Gasto,No Financiera De Capital
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Gasto7,Ayuntamiento,2/22/2013,7,328000,Transferencias De Capital,Gasto,No Financiera De Capital
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Gasto8,Ayuntamiento,2/22/2013,8,100000,Activos Financieros,Gasto,Financiera
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Gasto9,Ayuntamiento,2/22/2013,9,7969000,Pasivos Financieros,Gasto,Financiera
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Ingreso1,Ayuntamiento,2/22/2013,1,30099000,Impuestos Directos,Ingreso,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Ingreso2,Ayuntamiento,2/22/2013,2,2286000,Impuestos Indirectos,Ingreso,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Ingreso3,Ayuntamiento,2/22/2013,3,8414000,"Tasas, Precios Públicos Y Otros Ingresos",Ingreso,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Ingreso4,Ayuntamiento,2/22/2013,4,16310000,Transferencia Corrientes,Ingreso,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Ingreso5,Ayuntamiento,2/22/2013,5,7791000,Ingresos Patrimoniales,Ingreso,No Financiera Corriente
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Ingreso6,Ayuntamiento,2/22/2013,6,5714000,Enajenación de Inversiones Reales,Ingreso,No Financiera De Capital
http://opendata.caceres.es/recurso/sector-publico/presupuestos/PresupuestoEntidadLocal/2013-1-AYTO,Presupuesto del Ayuntamiento 2013,2013,http://opendata.caceres.es/recurso/sector-publico/presupuestos/CapituloPresupuestoEntidadLocal/2013-1-AYTO-Ingreso8,Ayuntamiento,2/22/2013,8,100000,Activos Financieros,Ingreso,Financiera
