dc:identifier,dc:modified,rdf:type,callej:sigla,callej:tipo-via,uri
BJADA,2017-10-30T23:06:28.949Z,callej:Tipo-via,BJADA,BAJADA,http://datos.santander.es/api/datos/callejero_tipovia/bjd.csv
CMNO,2017-10-30T23:06:28.949Z,callej:Tipo-via,CMNO,CAMINO,http://datos.santander.es/api/datos/callejero_tipovia/cmno.csv
FINCA,2017-10-30T23:06:28.949Z,callej:Tipo-via,FINCA,FINCA,http://datos.santander.es/api/datos/callejero_tipovia/finca.csv
PLZLA,2017-10-30T23:06:28.949Z,callej:Tipo-via,PLZLA,PLAZUELA,http://datos.santander.es/api/datos/callejero_tipovia/plzla.csv
BRC,2017-10-30T23:06:28.949Z,callej:Tipo-via,BRC,BARRANCO,http://datos.santander.es/api/datos/callejero_tipovia/brc.csv
PRAJE,2017-10-30T23:06:28.949Z,callej:Tipo-via,PRAJE,PARAJE,http://datos.santander.es/api/datos/callejero_tipovia/praje.csv
ETR,2017-10-30T23:06:28.949Z,callej:Tipo-via,ETR,ENTRADA,http://datos.santander.es/api/datos/callejero_tipovia/etr.csv
RBA,2017-10-30T23:06:28.949Z,callej:Tipo-via,RBA,RAMBLA,http://datos.santander.es/api/datos/callejero_tipovia/rba.csv
RPA,2017-10-30T23:06:28.949Z,callej:Tipo-via,RPA,RAMPA,http://datos.santander.es/api/datos/callejero_tipovia/rpa.csv
RUST,2017-10-30T23:06:28.948Z,callej:Tipo-via,RUST,RUSTICO,http://datos.santander.es/api/datos/callejero_tipovia/rst.csv
EXO,2017-10-30T23:06:28.948Z,callej:Tipo-via,EXO,EXTRAORDINARIO,http://datos.santander.es/api/datos/callejero_tipovia/exo.csv
MNP,2017-10-30T23:06:28.948Z,callej:Tipo-via,MNP,MUNICIPIO,http://datos.santander.es/api/datos/callejero_tipovia/mnp.csv
BULEV,2017-10-30T23:06:28.948Z,callej:Tipo-via,BULEV,BULEVAR,http://datos.santander.es/api/datos/callejero_tipovia/bulev.csv
MALEC,2017-10-30T23:06:28.948Z,callej:Tipo-via,MALEC,MALECON,http://datos.santander.es/api/datos/callejero_tipovia/malec.csv
LOCAD,2017-10-30T23:06:28.948Z,callej:Tipo-via,LOCAD,LOCALIDAD,http://datos.santander.es/api/datos/callejero_tipovia/lc.csv
ARB,2017-10-30T23:06:28.948Z,callej:Tipo-via,ARB,ARRABAL,http://datos.santander.es/api/datos/callejero_tipovia/arb.csv
CGO,2017-10-30T23:06:28.948Z,callej:Tipo-via,CGO,COLEGIO,http://datos.santander.es/api/datos/callejero_tipovia/cgo.csv
"*****",2017-10-30T23:06:28.948Z,callej:Tipo-via,*****,NO USAR,http://datos.santander.es/api/datos/callejero_tipovia/-.csv
EDF,2017-10-30T23:06:28.948Z,callej:Tipo-via,EDF,EDIFICIOS,http://datos.santander.es/api/datos/callejero_tipovia/edf.csv
RRA,2017-10-30T23:06:28.948Z,callej:Tipo-via,RRA,RIERA,http://datos.santander.es/api/datos/callejero_tipovia/rra.csv
AU,2017-10-30T23:06:28.948Z,callej:Tipo-via,AU,AUTOVIA,http://datos.santander.es/api/datos/callejero_tipovia/au.csv
ALAME,2017-10-30T23:06:28.948Z,callej:Tipo-via,ALAME,ALAMEDA,http://datos.santander.es/api/datos/callejero_tipovia/al.csv
AVDA,2017-10-30T23:06:28.948Z,callej:Tipo-via,AVDA,AVENIDA,http://datos.santander.es/api/datos/callejero_tipovia/av.csv
BARRO,2017-10-30T23:06:28.948Z,callej:Tipo-via,BARRO,BARRIO,http://datos.santander.es/api/datos/callejero_tipovia/bo.csv
CALLE,2017-10-30T23:06:28.948Z,callej:Tipo-via,CALLE,CALLE,http://datos.santander.es/api/datos/callejero_tipovia/cl.csv
CLLJA,2017-10-30T23:06:28.948Z,callej:Tipo-via,CLLJA,CALLEJA,http://datos.santander.es/api/datos/callejero_tipovia/cja.csv
COL,2017-10-30T23:06:28.948Z,callej:Tipo-via,COL,COLONIA,http://datos.santander.es/api/datos/callejero_tipovia/col.csv
CUEST,2017-10-30T23:06:28.948Z,callej:Tipo-via,CUEST,CUESTA,http://datos.santander.es/api/datos/callejero_tipovia/cst.csv
GRUP,2017-10-30T23:06:28.948Z,callej:Tipo-via,GRUP,GRUPO,http://datos.santander.es/api/datos/callejero_tipovia/grp.csv
