dc:identifier,ayto:wkt,dc:modified,uri
48,"POLYGON  (( 432789.56000000 4813915.80000000, 432789.62620000 4813915.82850000, 432795.63640000 4813902.49210000, 432798.34110000 4813896.38310000, 432800.51810000 4813901.05230000, 432802.97550000 4813905.13160000, 432804.81440000 4813907.83120000, 432808.59120000 4813911.18060000, 432813.31630000 4813914.34010000, 432827.68120000 4813923.66850000, 432836.24080000 4813929.15750000, 432844.83340000 4813934.74660000, 432838.72290000 4813933.39680000, 432793.19000000 4813923.16000000, 432792.44920000 4813922.93060000, 432791.74990000 4813922.59550000, 432791.10690000 4813922.16190000, 432790.53410000 4813921.63920000, 432790.04370000 4813921.03850000, 432789.64620000 4813920.37260000, 432789.34640000 4813919.64460000, 432789.15780000 4813918.88010000, 432789.08450000 4813918.09610000, 432789.12820000 4813917.30990000, 432789.28790000 4813916.53890000, 432789.56000000 4813915.80000000))",2017-10-31T03:39:59.997Z,http://datos.santander.es/api/datos/jardines/48.csv
64,"POLYGON  (( 436330.10000000 4814100.24000000, 436354.51500000 4814110.10500000, 436378.93000000 4814119.97000000, 436374.15000000 4814121.75500000, 436369.03790000 4814123.66190000, 436330.36000000 4814135.58000000, 436323.93000000 4814132.11000000, 436322.38000000 4814133.87000000, 436319.50000000 4814126.00000000, 436319.14430000 4814109.84040000, 436319.10590000 4814107.82990000, 436319.18560000 4814106.51620000, 436319.47960000 4814105.23340000, 436319.98000000 4814104.01620000, 436320.67330000 4814102.89750000, 436321.54050000 4814101.90760000, 436322.55840000 4814101.07340000, 436323.69930000 4814100.41730000, 436324.93230000 4814099.95720000, 436326.22410000 4814099.70560000, 436327.53970000 4814099.66910000, 436328.84340000 4814099.84890000, 436330.10000000 4814100.24000000))",2017-10-31T03:39:59.996Z,http://datos.santander.es/api/datos/jardines/64.csv
47,"POLYGON  (( 432671.52000000 4813891.24000000, 432671.86000000 4813892.05000000, 432691.71000000 4813886.60000000, 432692.42260000 4813885.16100000, 432693.77000000 4813882.44000000, 432694.20000000 4813882.33000000, 432695.41000000 4813883.55000000, 432697.08000000 4813885.78000000, 432698.55000000 4813888.15000000, 432699.85000000 4813891.10000000, 432700.44000000 4813893.53000000, 432700.56000000 4813896.46000000, 432700.25000000 4813898.85000000, 432699.62000000 4813901.54000000, 432698.58000000 4813904.21000000, 432696.93000000 4813906.95000000, 432695.18000000 4813909.01000000, 432692.70000000 4813910.73000000, 432688.76000000 4813912.32000000, 432685.97000000 4813912.79000000, 432683.61000000 4813912.82000000, 432680.59000000 4813912.58000000, 432677.79000000 4813911.76000000, 432675.42000000 4813910.68000000, 432673.35000000 4813909.31000000, 432672.07000000 4813907.80000000, 432664.23090000 4813893.35170000, 432671.52000000 4813891.24000000))",2017-10-31T03:39:59.996Z,http://datos.santander.es/api/datos/jardines/47.csv
61,"POLYGON  (( 437216.36000000 4813602.48000000, 437215.57000000 4813602.75310000, 437214.83330000 4813603.14800000, 437214.16850000 4813603.65470000, 437213.59260000 4813604.26050000, 437213.12000000 4813604.95000000, 437201.09030000 4813625.90130000, 437200.72050000 4813628.13520000, 437199.97030000 4813630.27160000, 437198.86240000 4813632.24640000, 437197.43000000 4813634.00000000, 437191.66000000 4813639.93000000, 437183.16000000 4813648.36000000, 437169.94000000 4813659.14000000, 437165.47000000 4813661.92000000, 437164.89820000 4813662.26110000, 437164.27750000 4813662.50200000, 437163.62530000 4813662.63570000, 437162.95990000 4813662.65860000, 437162.30000000 4813662.57000000, 437129.16000000 4813655.25000000, 437113.77000000 4813654.84000000, 437108.14000000 4813651.29000000, 437106.13000000 4813651.89000000, 437097.32500000 4813654.53500000, 437088.52000000 4813657.18000000, 437072.79000000 4813662.00000000, 437070.34000000 4813654.34000000, 437079.15000000 4813651.63000000, 437099.03000000 4813645.50000000, 437112.10000000 4813641.59000000, 437126.93000000 4813636.94000000, 437145.28690000 4813631.20460000, 437160.15190000 4813625.56620000, 437171.72000000 4813619.39000000, 437173.23000000 4813618.44000000, 437185.19000000 4813610.10000000, 437193.99000000 4813602.45000000, 437195.15000000 4813601.33000000, 437201.38380000 4813594.86430000, 437207.13920000 4813587.96910000, 437212.38650000 4813580.67990000, 437217.09890000 4813573.03400000, 437221.25220000 4813565.07060000, 437224.82520000 4813556.83040000, 437227.79950000 4813548.35570000, 437230.16000000 4813539.69000000, 437241.69610000 4813500.00000000, 437241.88000000 4813499.28000000, 437245.89000000 4813485.38000000, 437247.60000000 4813478.88000000, 437250.53000000 4813469.46000000, 437252.00000000 4813464.37000000, 437252.96000000 4813460.89000000, 437255.94000000 4813450.11000000, 437256.90000000 4813446.63000000, 437260.24000000 4813434.57000000, 437262.69500000 4813427.72000000, 437263.58000000 4813424.56000000, 437265.01000000 4813420.60000000, 437266.82000000 4813416.49000000, 437270.77930000 4813409.30920000, 437275.31000000 4813402.12000000, 437279.99000000 4813395.64000000, 437282.54000000 4813392.78000000, 437284.56000000 4813390.69000000, 437294.94000000 4813379.93000000, 437304.28970000 4813371.99990000, 437326.83780000 4813348.60910000, 437338.14000000 4813337.47000000, 437341.94000000 4813336.22000000, 437345.40000000 4813335.25000000, 437350.55000000 4813334.12000000, 437356.47140000 4813333.25930000, 437360.06220000 4813333.00290000, 437371.86000000 4813332.65000000, 437375.45000000 4813332.99000000, 437391.28000000 4813337.59000000, 437394.88610000 4813338.36120000, 437397.22310000 4813339.26530000, 437397.96000000 4813340.16940000, 437397.96000000 4813341.64000000, 437397.75000000 4813342.79000000, 437396.18000000 4813345.07000000, 437385.07000000 4813353.17000000, 437370.07000000 4813364.17000000, 437357.85000000 4813373.17000000, 437349.04000000 4813379.79000000, 437344.82000000 4813385.19000000, 437331.63000000 4813402.07000000, 437324.15820000 4813410.69810000, 437316.19000000 4813418.87000000, 437292.76000000 4813441.52000000, 437284.97000000 4813449.19000000, 437276.94000000 4813459.16000000, 437270.95500000 4813479.58000000, 437264.15000000 4813502.80000000, 437258.37000000 4813523.39000000, 437260.14470000 4813525.98000000, 437261.04000000 4813526.96000000, 437260.89000000 4813528.08000000, 437258.61000000 4813536.76000000, 437256.24000000 4813543.63000000, 437252.16000000 4813550.05000000, 437246.43500000 4813555.33500000, 437233.57000000 4813574.58000000, 437223.31000000 4813590.51000000, 437216.36000000 4813602.48000000))",2017-10-31T03:39:59.995Z,http://datos.santander.es/api/datos/jardines/61.csv
63,"POLYGON  (( 436568.19000000 4814030.00000000, 436567.57850000 4814031.29660000, 436566.77890000 4814032.48650000, 436565.80930000 4814033.54240000, 436564.69180000 4814034.44040000, 436563.45180000 4814035.15990000, 436562.66220000 4814035.53150000, 436561.82330000 4814035.77230000, 436560.95680000 4814035.87600000, 436560.08480000 4814035.84020000, 436559.22970000 4814035.66560000, 436558.41350000 4814035.35680000, 436557.65700000 4814034.92160000, 436556.97960000 4814034.37130000, 436556.39880000 4814033.71990000, 436555.92940000 4814032.98420000, 436555.58350000 4814032.18290000, 436555.11080000 4814030.21730000, 436554.98170000 4814028.19980000, 436555.20000000 4814026.19000000, 436555.23900000 4814024.05040000, 436558.96000000 4813982.52000000, 436560.71000000 4813961.48000000, 436561.21200000 4813959.68600000, 436562.00200000 4813957.99880000, 436563.05850000 4813956.46440000, 436564.35260000 4813955.12440000, 436565.84940000 4813954.01530000, 436567.50810000 4813953.16710000, 436569.28350000 4813952.60300000, 436571.12750000 4813952.33820000, 436572.99000000 4813952.38000000, 436604.12000000 4813960.02000000, 436604.77170000 4813960.23950000, 436605.37740000 4813960.56510000, 436605.92000000 4813960.98760000, 436606.38410000 4813961.49500000, 436606.75660000 4813962.07310000, 436607.02700000 4813962.70530000, 436607.18760000 4813963.37400000, 436607.23390000 4813964.06010000, 436607.16450000 4813964.74430000, 436606.98150000 4813965.40720000, 436606.69000000 4813966.03000000, 436590.88000000 4813993.30000000, 436577.05000000 4814015.10000000, 436568.19000000 4814030.00000000))",2017-10-31T03:39:59.995Z,http://datos.santander.es/api/datos/jardines/63.csv
60,"POLYGON  (( 436577.41000000 4813601.15000000, 436582.41000000 4813602.54000000, 436574.00000000 4813608.94000000, 436566.72000000 4813613.76000000, 436561.32000000 4813632.08000000, 436560.99000000 4813633.20000000, 436559.83260000 4813637.12140000, 436555.89440000 4813637.59520000, 436553.33640000 4813637.90300000, 436543.72000000 4813639.06000000, 436543.86000000 4813634.88000000, 436543.90000000 4813633.79000000, 436543.92000000 4813633.28000000, 436544.66000000 4813610.16000000, 436554.03000000 4813612.00000000, 436566.83000000 4813597.82000000, 436573.51000000 4813600.06000000, 436574.43000000 4813600.32000000, 436577.41000000 4813601.15000000))",2017-10-31T03:39:59.994Z,http://datos.santander.es/api/datos/jardines/60.csv
59,"MULTIPOLYGON  ((( 436573.45130000 4813911.92010000, 436613.17000000 4813911.12000000, 436630.48470000 4813910.77120000, 436629.90520000 4813909.36950000, 436630.39000000 4813909.25000000, 436633.31580000 4813908.54480000, 436636.24000000 4813907.84000000, 436636.81200000 4813907.66440000, 436643.30000000 4813912.68000000, 436643.40320000 4813912.71010000, 436643.45530000 4813912.72790000, 436643.52130000 4813912.75220000, 436643.57160000 4813912.77150000, 436643.63870000 4813912.79790000, 436643.71710000 4813912.82830000, 436643.78930000 4813912.85490000, 436643.87200000 4813912.88240000, 436643.96060000 4813912.90670000, 436644.06810000 4813912.92630000, 436644.14090000 4813912.93200000, 436644.22420000 4813912.92960000, 436644.33760000 4813912.91370000, 436644.43460000 4813912.89380000, 436644.59000000 4813912.86000000, 436644.41000000 4813913.47000000, 436644.23000000 4813914.08000000, 436642.79500000 4813914.31500000, 436641.32000000 4813914.56000000, 436639.61000000 4813914.76000000, 436639.67000000 4813915.11000000, 436639.76000000 4813917.34000000, 436639.68000000 4813918.34000000, 436629.56000000 4813925.99000000, 436626.50000000 4813928.30000000, 436622.06000000 4813931.66000000, 436620.14520000 4813932.70080000, 436618.07800000 4813933.39120000, 436615.92210000 4813933.71010000, 436613.74280000 4813933.64760000, 436613.72000000 4813933.72000000, 436612.99000000 4813936.10000000, 436611.10090000 4813935.61670000, 436573.45130000 4813911.92010000)),(( 436554.32120000 4813899.87970000, 436554.26000000 4813899.60000000, 436554.20000000 4813899.33000000, 436554.14000000 4813899.05000000, 436554.07000000 4813898.77000000, 436554.01000000 4813898.49000000, 436553.95000000 4813898.22000000, 436553.87290000 4813897.94150000, 436552.05000000 4813870.84000000, 436551.19280000 4813854.13890000, 436551.12000000 4813852.72000000, 436561.90000000 4813863.14000000, 436561.93040000 4813864.51000000, 436562.06410000 4813870.52530000, 436562.12150000 4813873.10840000, 436562.15000000 4813874.39000000, 436556.75000000 4813879.90000000, 436556.82690000 4813883.29000000, 436557.05410000 4813893.30990000, 436557.09120000 4813893.57920000, 436557.09820000 4813893.85930000, 436557.10490000 4813894.12910000, 436557.11170000 4813894.39920000, 436557.11840000 4813894.66900000, 436557.12540000 4813894.94910000, 436557.13210000 4813895.21920000, 436557.16010000 4813896.33900000, 436557.27660000 4813901.73980000, 436554.32120000 4813899.87970000)),(( 436557.27660000 4813901.73980000, 436573.45130000 4813911.92010000, 436567.50000000 4813912.04000000, 436557.34220000 4813902.44370000, 436557.28840000 4813902.28730000, 436557.27660000 4813901.73980000)))",2017-10-31T03:39:59.993Z,http://datos.santander.es/api/datos/jardines/59.csv
57,"POLYGON  (( 435574.01500000 4814792.23860000, 435574.96310000 4814787.38010000, 435575.44550000 4814782.45110000, 435575.45770000 4814777.49620000, 435574.99970000 4814772.56020000, 435574.07550000 4814767.68770000, 435572.69370000 4814762.92280000, 435570.86650000 4814758.30870000, 435568.60900000 4814753.88400000, 435566.34490000 4814750.00000000, 435554.98900000 4814730.51900000, 435554.27430000 4814728.92470000, 435554.11720000 4814727.18300000, 435554.53480000 4814725.48540000, 435555.48130000 4814724.01850000, 435556.85260000 4814722.94350000, 435558.49800000 4814722.37860000, 435560.23670000 4814722.38580000, 435561.87850000 4814722.96500000, 435582.55500000 4814730.42200000, 435600.62800000 4814736.94000000, 435623.58500000 4814745.25800000, 435636.67940000 4814750.00000000, 435653.16340000 4814755.96950000, 435647.23050000 4814772.60700000, 435646.10770000 4814775.75550000, 435656.36450000 4814779.50610000, 435667.32410000 4814783.51360000, 435668.67390000 4814788.34580000, 435669.61390000 4814790.74810000, 435673.32350000 4814798.28000000, 435674.75070000 4814800.71580000, 435676.18070000 4814802.70400000, 435680.59570000 4814808.20270000, 435682.42820000 4814810.17350000, 435686.08830000 4814813.45300000, 435686.31050000 4814813.42680000, 435686.00790000 4814815.89170000, 435685.98150000 4814816.14030000, 435685.73560000 4814818.67650000, 435685.70910000 4814818.92510000, 435685.47790000 4814821.46640000, 435685.42700000 4814821.46100000, 435685.40050000 4814821.70950000, 435685.45220000 4814821.71510000, 435685.18950000 4814824.25180000, 435685.13670000 4814824.24610000, 435685.11020000 4814824.49470000, 435685.16380000 4814824.50040000, 435684.90110000 4814827.03680000, 435684.85060000 4814827.03140000, 435684.82420000 4814827.28000000, 435684.87540000 4814827.28540000, 435684.61270000 4814829.82180000, 435684.56190000 4814829.81640000, 435684.53540000 4814830.06500000, 435684.58700000 4814830.07050000, 435684.32430000 4814832.60710000, 435684.27180000 4814832.60190000, 435684.24530000 4814832.85050000, 435684.29850000 4814832.85610000, 435684.03590000 4814835.39230000, 435683.98420000 4814835.38680000, 435683.95780000 4814835.63540000, 435684.01010000 4814835.64090000, 435683.70940000 4814838.17350000, 435683.68290000 4814838.42210000, 435683.43430000 4814841.20140000, 435683.38060000 4814841.19570000, 435683.35420000 4814841.44430000, 435683.40860000 4814841.45010000, 435683.14850000 4814843.96180000, 435683.09750000 4814843.95600000, 435683.06930000 4814844.20440000, 435683.12270000 4814844.21050000, 435683.02890000 4814845.11680000, 435682.70080000 4814845.35720000, 435675.27990000 4814842.20000000, 435667.36310000 4814838.83000000, 435660.86010000 4814836.05000000, 435654.32900000 4814833.27000000, 435649.74440000 4814831.31390000, 435649.74410000 4814831.31380000, 435648.79440000 4814828.84310000, 435647.58830000 4814826.48690000, 435646.13930000 4814824.27180000, 435644.46380000 4814822.22270000, 435642.58050000 4814820.36260000, 435640.51080000 4814818.71260000, 435638.27800000 4814817.29110000, 435635.90700000 4814816.11420000, 435633.42480000 4814815.19520000, 435630.85910000 4814814.54430000, 435628.23890000 4814814.16900000, 435625.59370000 4814814.07330000, 435622.95320000 4814814.25850000, 435620.34720000 4814814.72240000, 435617.80510000 4814815.45980000, 435615.35220000 4814816.46400000, 435615.35120000 4814816.46640000, 435600.21060000 4814810.22100000, 435589.91000000 4814805.97200000, 435595.40400000 4814793.14200000, 435576.99930000 4814785.26600000, 435575.82500000 4814788.01000000, 435574.01500000 4814792.23860000))",2017-10-31T03:39:59.983Z,http://datos.santander.es/api/datos/jardines/57.csv
58,"POLYGON  (( 436134.50070000 4814379.47710000, 436134.32380000 4814379.83070000, 436134.09340000 4814380.15210000, 436133.81520000 4814380.43300000, 436133.49620000 4814380.66670000, 436133.14430000 4814380.84700000, 436132.76840000 4814380.96970000, 436132.37780000 4814381.03150000, 436131.98240000 4814381.03100000, 436124.27360000 4814380.40970000, 436121.98330000 4814380.06790000, 436119.76110000 4814379.41700000, 436113.98000000 4814377.29000000, 436119.43000000 4814363.97000000, 436121.69130000 4814358.38840000, 436122.34000000 4814356.88000000, 436122.30780000 4814356.86690000, 436127.78000000 4814343.36000000, 436128.13000000 4814342.50000000, 436151.81000000 4814284.04000000, 436153.62000000 4814279.38000000, 436165.53000000 4814250.00000000, 436179.66000000 4814215.15000000, 436179.66010000 4814215.15000000, 436182.65970000 4814217.36970000, 436185.27930000 4814220.02720000, 436187.45580000 4814223.05840000, 436189.13660000 4814226.39000000, 436190.28110000 4814229.94180000, 436190.86180000 4814233.62790000, 436190.86450000 4814237.35950000, 436190.28940000 4814241.04660000, 436189.15010000 4814244.60000000, 436189.15000000 4814244.60000000, 436187.02000000 4814250.00000000, 436172.08000000 4814286.87000000, 436170.21000000 4814291.63000000, 436154.24500000 4814330.88500000, 436138.28000000 4814370.14000000, 436136.26000000 4814375.12000000, 436134.88000000 4814378.55000000, 436134.50070000 4814379.47710000))",2017-10-31T03:39:59.983Z,http://datos.santander.es/api/datos/jardines/58.csv
56,"POLYGON  (( 435429.65000000 4814611.16000000, 435429.56220000 4814610.88930000, 435429.47690000 4814610.62100000, 435429.38780000 4814610.34070000, 435429.30150000 4814610.06950000, 435429.21620000 4814609.80120000, 435429.13000000 4814609.53000000, 435428.50000000 4814607.40000000, 435428.42080000 4814607.12980000, 435427.70000000 4814604.67000000, 435436.82000000 4814587.95000000, 435437.98000000 4814585.80000000, 435439.66000000 4814582.73000000, 435440.84000000 4814580.58000000, 435441.59000000 4814579.41000000, 435442.82000000 4814578.32000000, 435444.76000000 4814577.42000000, 435447.48000000 4814577.22000000, 435449.92000000 4814577.92000000, 435453.70000000 4814579.93000000, 435459.91000000 4814583.13000000, 435470.38000000 4814588.54000000, 435473.22000000 4814590.01000000, 435477.66000000 4814597.43000000, 435474.58000000 4814599.88000000, 435471.22000000 4814602.25000000, 435467.33000000 4814604.68000000, 435463.51000000 4814606.79000000, 435459.22000000 4814608.98000000, 435455.03000000 4814610.82000000, 435451.03000000 4814612.34000000, 435446.13000000 4814613.78000000, 435439.33000000 4814616.06000000, 435433.59000000 4814617.89000000, 435431.68000000 4814618.42000000, 435431.28000000 4814617.00000000, 435431.20080000 4814616.72980000, 435431.11880000 4814616.45030000, 435431.03960000 4814616.18010000, 435430.96310000 4814615.91910000, 435430.88120000 4814615.63970000, 435430.79920000 4814615.36020000, 435430.72000000 4814615.09000000, 435429.82000000 4814611.70000000, 435429.73380000 4814611.42880000, 435429.65000000 4814611.16000000))",2017-10-31T03:39:59.982Z,http://datos.santander.es/api/datos/jardines/56.csv
