dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:status,uri
3842,2017-04-20T19:37:40Z,parking,43.463991,-3.797666,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3842.csv
3847,2017-04-20T19:36:26Z,parking,43.46403,-3.797213,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3847.csv
3846,2017-04-20T19:36:16Z,parking,43.464025,-3.797288,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3846.csv
3844,2017-04-20T19:29:40Z,parking,43.464001,-3.79754,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3844.csv
3845,2017-04-20T19:11:48Z,parking,43.46401,-3.797441,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3845.csv
3849,2017-04-20T18:59:00Z,parking,43.464047,-3.797063,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3849.csv
3843,2017-04-20T18:03:24Z,parking,43.463994,-3.797613,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3843.csv
3916,2017-04-20T17:41:10Z,parking,43.463971,-3.797849,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3916.csv
3809,1970-01-01T01:00:08Z,parking,43.464043,-3.799815,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3809.csv
3804,1970-01-01T01:00:08Z,parking,43.46424,-3.799855,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3804.csv
3808,1970-01-01T01:00:08Z,parking,43.464083,-3.799822,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3808.csv
3813,1970-01-01T01:00:08Z,parking,43.463869,-3.799786,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3813.csv
3811,1970-01-01T01:00:08Z,parking,43.463952,-3.799803,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3811.csv
3810,1970-01-01T01:00:08Z,parking,43.463992,-3.799808,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3810.csv
3814,1970-01-01T01:00:08Z,parking,43.463627,-3.799744,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3814.csv
