dc:identifier,dc:modified,ayto:residuo,ayto:latitud,ayto:longitud,ayto:capacidad,ayto:fechaAlta,ayto:estadoConservacion,ayto:direccion,ayto:codigoSensor,ayto:temperatura,uri
COST6024,2017-10-31T16:54:21.449Z,Organico,43.46701813,-3.79380131,2400.0,2014-07-17T06:44:09.000Z,Buen Estado,"Paseo Menéndez Pelayo\,  69",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6024.csv
COST6023,2017-10-31T16:54:21.449Z,Organico,43.46721649,-3.79280496,2400.0,2014-07-17T06:41:20.000Z,Buen Estado,"Paseo Menéndez Pelayo\,  95",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6023.csv
COST6022,2017-10-31T16:54:21.449Z,Organico,43.46739197,-3.79136038,2400.0,2014-07-17T06:36:12.000Z,Buen Estado,"Paseo Menéndez Pelayo\,  105",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6022.csv
COST6021,2017-10-31T16:54:21.449Z,Organico,43.467448,-3.7910359999999996,2400.0,2014-07-17T06:34:19.000Z,Buen Estado,"Paseo Menéndez Pelayo\, 109-111",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6021.csv
COST6020,2017-10-31T16:54:21.449Z,Organico,43.467633,-3.789946,2400.0,2014-07-17T06:32:19.000Z,Buen Estado,"Paseo de Menéndez Pelayo\,  113",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6020.csv
COST6019,2017-10-31T16:54:21.449Z,Papel,43.467777,-3.788204,2400.0,2014-07-17T06:28:31.000Z,Buen Estado,"Paseo Menéndez Pelayo\, 104-106",08EFAB000000108F,21.0882,http://datos.santander.es/api/datos/residuos_contenedores/cost6019.csv
COST6018,2017-10-31T16:54:21.449Z,Envases,43.467777,-3.788204,2400.0,2014-07-17T06:27:12.000Z,Buen Estado,"Paseo Menéndez Pelayo\, 104-106",08EFAB0000000E82,20.7733,http://datos.santander.es/api/datos/residuos_contenedores/cost6018.csv
COST5976,2017-10-31T16:54:21.449Z,Organico,43.467777,-3.788204,2400.0,2014-07-17T06:25:35.000Z,Buen Estado,"Paseo Menéndez Pelayo\, 104-106",,,http://datos.santander.es/api/datos/residuos_contenedores/cost5976.csv
COST6061,2017-10-31T16:54:21.448Z,Organico,43.4441396,-3.8522172,3200.0,2014-07-17T08:24:26.000Z,Buen Estado,"Santander\, Avenida San Martín del Pino",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6061.csv
COST6060,2017-10-31T16:54:21.448Z,Organico,43.465168,-3.7999376666667,2400.0,2014-07-17T08:24:09.000Z,Buen Estado,"Calle Lope de Vega\,  26",,,http://datos.santander.es/api/datos/residuos_contenedores/cost6060.csv
